# automacao/dominios-sem-pessoa.csv
#
# POR QUE ESTE ARQUIVO EXISTE. O Joe recomendou este arquivo em TRES rodadas seguidas (20/09 20h35,
# 20/09 22h35 e 21/09 00h35) e ninguem o escreveu; enquanto ele nao existia, "a veia dos 67 dominios
# do sudeste da Europa" era um NUMERO SEM LISTA e ficava "nao aberta" para sempre. Criado na rodada
# das 02h35 de 21/09 por ordem do maestro, que o chamou de entrega obrigatoria, nao opcional.
#
# O QUE ENTRA AQUI, e a distincao importa: este arquivo NAO e o dominios-sem-email.csv. Aquele lista
# dominio que nao PODE receber email (sem MX ou morto, medido por DNS). Este lista dominio que RECEBE
# email mas NAO PUBLICA ENDERECO DE PESSOA - so caixa funcional (info@, jobs@, contact@, office@),
# ou nada. Sao as casas em que o Joe ja gastou requisicao e voltou de maos vazias, e que nao devem
# ser reabertas sem uma tecnica NOVA (navegador, Impressum, politica de privacidade, log de commit).
#
# COMO USAR. Antes de abrir um dominio, procure-o aqui. Se estiver, leia a coluna o_que_foi_tentado:
# ela diz quais caminhos ja responderam o que, e quais das familias de ocultacao ja foram rodadas.
# Se voce tem tecnica nova, reabra E ATUALIZE A LINHA com a data nova. Se nao tem, nao gaste a
# requisicao.
#
# AS SEIS FAMILIAS DE OCULTACAO DE EMAIL JA MEDIDAS NA CAMPANHA, para a coluna o_que_foi_tentado:
#   1. data-cfemail (Cloudflare, hex com XOR pelo primeiro byte) - reversivel por curl
#   2. entidade HTML (antispambot() do WordPress) - reversivel por html.unescape
#   3. (at)/(dot) ou [at]/[dot com] em texto - reversivel a mao
#   4. base64 no texto visivel (achada na TrickStudio em 21/09 00h35) - reversivel por curl
#   5. remocao total (Joomla) - irreversivel por curl
#   6. substituicao por JavaScript, texto "[javascript protected email address]" (achada na Animoon
#      em 21/09 02h35) - EXIGE NAVEGADOR
#
# COLUNAS: dominio,casa,pais,o_que_foi_tentado,data
storytoys.com,StoryToys,Irlanda,"SEM LEITURA. / , /about e /contact devolvem 202 com 169 a 176 BYTES, em https:// e em http:// - parede de bot, nao pagina. Nenhuma familia pode ser rodada porque nao ha HTML. DIVIDA DE NAVEGADOR (Magico). Casa da Team17, apps 3D de crianca para LEGO, Disney, Marvel, Mattel",2026-09-21
threewise.co.uk,Threewise Entertainment,Reino Unido,"SEM LEITURA. https:// da curl 0 com zero byte (certificado TLS errado, DNS OK); http:// com -L redireciona para threewise.tumblr.com e devolve 429. Nenhuma familia rodada. Casa de IP e licenciamento (live action + animacao), sem pipeline declarado",2026-09-21
studio100international.com,Studio 100 International,Alemanha,"SEM PESSOA. / -> /en/ (200, 16.559); studio100media.com -> studio100group.com (200, 32.987). Familias 1,2,3,4 = zero endereco de qualquer tipo. E o braco de LICENCIAMENTO E DISTRIBUICAO do grupo; a producao fica na Studio 100 Animation e na Flying Bark, que sao outras entidades",2026-09-21
maurfilm.com,MAUR Film,Chequia,"TEM UM ENDERECO DE PESSOA e e de OUTRA pessoa: vandasova@maurfilm.com (a socia), nao do palestrante Martin Vandas (CEO). / -> /cs/ (200, 45.905). /kontakt NAO foi aberta, porque a casa morreu por DISCIPLINA antes: stop-motion e 2D de autor",2026-09-21
dwarfanimation.com,Dwarf Animation Studio,Franca,"SEM PESSOA, mas A CASA JA E FICHA (Olivier Pinol, pessoas.csv 19/09). 7 paginas: / (200, 135.920), /contact (181.252), /careers (127.692), /the-vision (182.764), /the-forge (169.201), /legal-notices (128.601); /about, /team, /jobs, /mentions-legales = 404. Wix. Familias 1,2,3,4 = zero. Publica so forge@ e marketing@. O /legal-notices nomeia 'Le Directeur de la publication du Site est Olivier Pinol'. /careers diz 'no position available'. DISCIPLINA FORTE: Ladybug & Cat Noir The Movie, Miraculous TV Shows, Trash Truck, Monsters at Work, My Dad the Bounty Hunter, pipeline em Unreal",2026-09-21
afilm.ee,A Film Estonia,Estonia,"TEM DOIS ENDERECOS DE PESSOA PUBLICADOS e nao e sem-pessoa - esta aqui como remissao: / (200, 10.822) publica, em mailto: e em texto puro, 'Kristel Toldsepp Executive Producer kristel@afilm.ee' e 'Meelis Arulepp Director meelis@afilm.ee'. A casa JA E FICHA de 20/09 (Meelis Arulepp) e a Kristel fica como SEGUNDA E ULTIMA pessoa, proibida ate a primeira carta sair. DISCIPLINA: a propria casa escreve tres vezes 'produced X minutes of 3D character animation'",2026-09-21
primalshapestudio.com,Primal Shape,Italia,"SEM PESSOA, e A CASA JA E FICHA (Barbara Dossi, 20/09) COM CANDIDATURA ENVIADA E CONFIRMADA em 20/09. / (200, 17.277), /contact (200, 18.235); /team = 404. Publica quatro caixas funcionais: info@, jobs@, production@, business@",2026-09-21
passion-pictures.com,Passion Pictures Paris,Franca / Reino Unido,"SEM PESSOA. passion-paris.com da curl 0 em https:// (certificado errado) e em http:// com -L cai em passion-pictures.com/paris (404 -> 200); /contact -> /contact-us/ (200, 10.214). Publica reception@passionpictures.com e passiondoccvs@thetalentmanager.com, as duas funcionais (e a segunda e de TERCEIRO, agencia)",2026-09-21
watchnextmedia.com,Watch Next Media,Franca,"SEM PESSOA, e A CASA JA RECEBEU CARTA E FOLLOW-UP em contact@watchnextmedia.com (28/08 e 07/09, confirmado por search_threads). /en/home/ (200, 11.418), /contact/ (200, 8.966); /the-team/, /en/the-team/ e /mentions-legales/ = 404 com ~8.500 bytes, apesar de o menu do site linkar 'The team' e 'Mentions legales'",2026-09-21
magoproduction.com,Mago Production,Espanha,"SEM PESSOA, e A CASA JA RECEBEU CARTA E FOLLOW-UP em jobs@magoproduction.com (02/09 e 07/09, com duas confirmacoes automaticas). / (200, 27.600), /contact/ (200, 24.405). Publica info@ e jobs@",2026-09-21
sem-dominio-publicado,Everybody on Board Productions,Franca,"NAO ABERTA POR FALTA DE DOMINIO. Casa inedita com projeto 3D no Cartoon Forum 2026 (Techniques 2D computer & 3D computer), pessoa nomeada pela feira: Didier Creste. A ficha do projeto publica <a href> SO para a co-produtora (Watch Next Media). NAO INVENTEI everybodyonboard.fr. Reabrir so quando o dominio aparecer publicado em fonte de fora",2026-09-21
sem-dominio-publicado,Will Production,Franca,"NAO ABERTA POR FALTA DE DOMINIO. Casa inedita com projeto 3D no Cartoon Forum 2026 (Techniques 2D computer & 3D computer), pessoa nomeada pela feira: Didier Falk. A ficha do projeto publica <a href> so para 20STM, Fabrique d'Images e TrickStudio. NAO INVENTEI willproduction.fr",2026-09-21
sem-dominio-publicado,Nalu Animation,pais nao publicado,"NAO ABERTA POR FALTA DE DOMINIO E DE PAIS, pela SEGUNDA rodada (ja registrado em 21/09 00h35). Pessoas nomeadas pela feira: Jeremy Chateigner, Thomas Blanc. Co-produtora do projeto da Mondo TV France",2026-09-21
oldrich.cz,OLDRICH,Chequia,SEM LEITURA. oldrich.tv nao resolve (DNS FAIL); oldrich.cz responde 503 com 114 bytes. Nenhuma familia rodada. Morreria por disciplina de todo modo: a bio da diretora Eliska Soffer Podzimek na feira e de animacao DESENHADA A MAO combinada com foto e video,2026-09-21
enclume-animation.be,Enclume Animation,Belgica,"SEM LEITURA. Codigo 0 em https:// E em http:// com -L, em www e sem www; www.enclume.be esta PARQUEADO (403 redirecionando para sedo.com/search/details). Nenhuma familia rodada. Dominio provavelmente errado - o nome vem so do campo company do palestrante da Cartoon (Marie Cirade, Production & Programmation)",2026-09-21
needproductions.com,Need Productions,Belgica,"SEM LEITURA. needproductions.com da codigo 0; needproductions.be tem DNS FAIL; www.need.be da codigo 0 em http:// e https://. Nenhuma familia rodada. Dominio nao confirmado - o nome vem so do campo company do palestrante da Cartoon (Anne-Laure Guegan, Producer)",2026-09-21
martiriofilms.com,Martirio Films,Espanha,"SEM LEITURA. Codigo 0 em https:// e em http:// com -L. Nenhuma familia rodada. Dominio nao confirmado - o nome vem so do campo company do palestrante da Cartoon (James A. Castillo, Director)",2026-09-21
miyu.fr,Miyu Productions,Franca,"SEM PESSOA. / (200, 9.423). Familias 1,2,3,4 = zero endereco de qualquer tipo. Casa de animacao de autor 2D; palestrante Pierre Baussaron, Producer / Manager",2026-09-21
specialtouchstudios.com,Special Touch Studios,Franca,"SEM PESSOA. / (200, 6.919). Publica so contact@specialtouchstudios.com. Familias 1,2,3,4 sem pessoa. Casa de animacao 2D de autor; palestrante Sebastien Onomo, President & Producer",2026-09-21
silexfilms.com,Silex Films,Franca,"SEM PESSOA. / -> www (200, 6.999). Publica so contact@silexfilms.com. Palestrante Judith Nora, Producer & President",2026-09-21
bobbypills.com,Bobbypills,Franca,"SEM PESSOA. / -> www (200, 135.365). Wix: os unicos acertos de email sao chaves de telemetria do sentry.wixpress.com, que NAO sao enderecos - armadilha para quem confia na regex crua. Casa de animacao 2D adulta; palestrante Morgann Gicquel, Producer - Crowdfunding Specialist",2026-09-21
wavecrestmedia.com,Wavecrest Media,Reino Unido,"SEM LEITURA UTIL. / devolve 200 com 114 BYTES - casca. Nenhuma familia pode ser rodada. Palestrante Antony Fraser, Founder & MD",2026-09-21
