ats,token,titulo,local,url,id,internal_job_id,disciplina_vini,ja_no_painel
bamboohr,imageengine,General Application - Layout/Matchmove,"Vancouver, British Columbia",https://imageengine.bamboohr.com/careers/18,18,,SIM,nova
bamboohr,imageengine,General Application - Production,"Vancouver, British Columbia",https://imageengine.bamboohr.com/careers/20,20,,SIM,nova
bamboohr,imageengine,General Application - Supervision,"Vancouver, British Columbia",https://imageengine.bamboohr.com/careers/23,23,,SIM,nova
bamboohr,imageengine,General Speculative Application,"Vancouver, British Columbia",https://imageengine.bamboohr.com/careers/24,24,,SIM,nova
bamboohr,imageengine,Look Development Artist - Senior (Short-Term contract),"Vancouver, British Columbia",https://imageengine.bamboohr.com/careers/28,28,,SIM,JA-FEITO
bamboohr,imageengine,Texture & Look Development Artist - Mid (Short-Term),"Vancouver, British Columbia",https://imageengine.bamboohr.com/careers/183,183,,SIM,nova
bamboohr,nwave,Meetup Talent - ANIMA,Brussels,https://nwave.bamboohr.com/careers/172,172,,SIM,nova
bamboohr,nwave,Meetup Talent - ESMA,Brussels,https://nwave.bamboohr.com/careers/185,185,,SIM,nova
bamboohr,nwave,Speculative Applications,Brussels,https://nwave.bamboohr.com/careers/121,121,,SIM,JA-FEITO
bamboohr,owi,3D Character Artist,"New Westminster, British Columbia",https://owi.bamboohr.com/careers/199,199,,SIM,JA-FEITO
bamboohr,owi,3D Generalist,"New Westminster, British Columbia",https://owi.bamboohr.com/careers/198,198,,SIM,nova
bamboohr,owi,General Application,"New Westminster, British Columbia",https://owi.bamboohr.com/careers/140,140,,SIM,nova
bamboohr,soulassembly,Speculative Applications - All Art Roles,"Leamington Spa, Warwickshire",https://soulassembly.bamboohr.com/careers/76,76,,SIM,JA-FEITO
bamboohr,soulassembly,Speculative Applications - All Programming Roles,"Leamington Spa, Warwickshire",https://soulassembly.bamboohr.com/careers/78,78,,SIM,nova
bamboohr,soulassembly,Speculative Applications - For All Design Roles,"Leamington Spa, Warwickshire",https://soulassembly.bamboohr.com/careers/77,77,,SIM,nova
bamboohr,stirlinganimationstudios,Character Modeling and Surfacing Artists,,https://stirlinganimationstudios.bamboohr.com/careers/77,77,,SIM,JA-FEITO
bamboohr,stirlinganimationstudios,Character Surfacing Artists,,https://stirlinganimationstudios.bamboohr.com/careers/79,79,,SIM,JA-FEITO
bamboohr,stirlinganimationstudios,Environment Modelers,,https://stirlinganimationstudios.bamboohr.com/careers/81,81,,SIM,nova
bamboohr,stirlinganimationstudios,Environment Surfacing Artist,,https://stirlinganimationstudios.bamboohr.com/careers/82,82,,SIM,nova
bamboohr,stirlinganimationstudios,Prop Modeling & Surfacing Artists,,https://stirlinganimationstudios.bamboohr.com/careers/80,80,,SIM,nova
bamboohr,stormindgames,Spontaneous Applications,,https://stormindgames.bamboohr.com/careers/203,203,,SIM,JA-FEITO
bamboohr,streamlinestudios,3D Character Artist,,https://streamlinestudios.bamboohr.com/careers/106,106,,SIM,nova
bamboohr,streamlinestudios,3D Environment Artist,,https://streamlinestudios.bamboohr.com/careers/169,169,,SIM,nova
bamboohr,streamlinestudios,General Application,,https://streamlinestudios.bamboohr.com/careers/163,163,,SIM,nova
bamboohr,streamlinestudios,Lead Character Artist,,https://streamlinestudios.bamboohr.com/careers/84,84,,SIM,JA-FEITO
bamboohr,streamlinestudios,Lead Environment Artist,,https://streamlinestudios.bamboohr.com/careers/81,81,,SIM,nova
breezy,agbo,Expression of Interest - Character Artist,"Los Angeles, United States",https://agbo.breezy.hr/p/49a139476416-expression-of-interest-character-artist,49a139476416,,SIM,JA-FEITO
breezy,agbo,Expression of Interest - Unreal Environment Artist,"Los Angeles, United States",https://agbo.breezy.hr/p/477c5544f2b1-expression-of-interest-unreal-environment-artist,477c5544f2b1,,SIM,nova
breezy,agbo,Senior Character Texture Artist,"Raleigh, United States",https://agbo.breezy.hr/p/cdc4c6df4fd8-senior-character-texture-artist,cdc4c6df4fd8,,SIM,JA-FEITO
breezy,playdead,3D Environment Artist,"Copenhagen, Denmark",https://playdead.breezy.hr/p/a235c228566a01-3d-environment-artist,a235c228566a01,,SIM,nova
breezy,playdead,Experienced Material and Texture Artist,"Copenhagen, Denmark",https://playdead.breezy.hr/p/d6b5a5e4f54a01-experienced-material-and-texture-artist,d6b5a5e4f54a01,,SIM,JA-FEITO
breezy,playdead,Speculative Applications,"Copenhagen, Denmark",https://playdead.breezy.hr/p/fbda7a56839001-speculative-applications,fbda7a56839001,,SIM,nova
breezy,warhorsestudios,Open Application,"Prague, Czech Republic",https://warhorsestudios.breezy.hr/p/fabe03688c9401-open-application,fabe03688c9401,,SIM,JA-FEITO
greenhouse,2k,Lead Character Artist,"Novato, California, United States",https://job-boards.greenhouse.io/2k/jobs/7888174003,7888174003,5834551003,SIM,JA-FEITO
greenhouse,2k,Lead Character Artist,"Montréal, Quebec, Canada",https://job-boards.greenhouse.io/2k/jobs/7888173003,7888173003,5834551003,SIM,JA-FEITO
greenhouse,2k,Senior Character Artist,"Burnaby, British Columbia, Canada",https://job-boards.greenhouse.io/2k/jobs/7835808003,7835808003,5809117003,SIM,JA-FEITO
greenhouse,bluehole,[Bluehole Studio] 3D Character Artists (Lead / Senior) - Project V,Pangyo,https://job-boards.greenhouse.io/bluehole/jobs/8517790002,8517790002,6395150002,SIM,JA-FEITO
greenhouse,bluehole,[Bluehole Studio] 3D Environment Artists (Lead / Senior) - Project V,Pangyo,https://job-boards.greenhouse.io/bluehole/jobs/8517791002,8517791002,6395160002,SIM,nova
greenhouse,bluehole,[Bluehole Studio] 리드 캐릭터 아티스트 (Lead Character Artist) - TERA2,Pangyo,https://job-boards.greenhouse.io/bluehole/jobs/8520212002,8520212002,6386636002,SIM,JA-FEITO
greenhouse,cloudchamberen,Lead Character Artist,"Novato, California, United States",https://job-boards.greenhouse.io/cloudchamberen/jobs/7888172003,7888172003,5834551003,SIM,JA-FEITO
greenhouse,cloudchamberen,Lead Character Artist,"Montréal, Quebec, Canada",https://job-boards.greenhouse.io/cloudchamberen/jobs/7888170003,7888170003,5834551003,SIM,JA-FEITO
greenhouse,crystaldynamics,General Application,Remote/Flexible,https://job-boards.greenhouse.io/crystaldynamics/jobs/4352498005,4352498005,,SIM,JA-FEITO
greenhouse,fanaticscollectibles,"Sr. Manager, Innovation/Materials Testing","Dallas, TX, United States",https://job-boards.greenhouse.io/fanaticscollectibles/jobs/4208178009,4208178009,4121808009,SIM,nova
greenhouse,hasbro,HR Generalist,Hong Kong,https://job-boards.greenhouse.io/hasbro/jobs/4288142009,4288142009,4169664009,SIM,nova
greenhouse,hasbro,Lead Character Artist,Canada,https://job-boards.greenhouse.io/hasbro/jobs/4318250009,4318250009,4186506009,SIM,JA-FEITO
greenhouse,hasbro,Manager Digital Product Design (Digital Sculpting),Hong Kong,https://job-boards.greenhouse.io/hasbro/jobs/4293782009,4293782009,4173280009,SIM,nova
greenhouse,hasbro,Sr. SAP S/4HANA Materials & Logistics Configuration Analyst,"Boston, Massachusetts, United States",https://job-boards.greenhouse.io/hasbro/jobs/4330595009,4330595009,4194020009,SIM,nova
greenhouse,highdive,Generalist Content Tech Director - Directeur Technique Généraliste de Contenu,Toronto,https://job-boards.greenhouse.io/highdive/jobs/4964067007,4964067007,4548034007,SIM,nova
greenhouse,highdive,Senior Modeler,Toronto,https://job-boards.greenhouse.io/highdive/jobs/5097897007,5097897007,4613483007,SIM,JA-FEITO
greenhouse,kswh,Spontaneous applications,"Remote anywhere or On-site Prague, Czech Republic",https://job-boards.eu.greenhouse.io/kswh/jobs/4880719101,4880719101,4045009101,SIM,JA-FEITO
greenhouse,loonshotgames,[Loonshot Games] 3D Character Artist - Project AA (3년 이상),Seoul,https://job-boards.greenhouse.io/loonshotgames/jobs/8725151002,8725151002,6488118002,SIM,JA-FEITO
greenhouse,loonshotgames,[Loonshot Games] 3D Environment Artist - Project AA (3년 이상),Seoul,https://job-boards.greenhouse.io/loonshotgames/jobs/8085897002,8085897002,6202395002,SIM,nova
greenhouse,loonshotgames,[Loonshot Games] 3D Environment Modeler - Project Camp (5년 이상),"Seoul; Seoul, South Korea",https://job-boards.greenhouse.io/loonshotgames/jobs/8651145002,8651145002,6455018002,SIM,nova
greenhouse,loonshotgames,[Loonshot Games] Pixel Artist (Character) - Project Camp (5년 이상),Seoul,https://job-boards.greenhouse.io/loonshotgames/jobs/8759149002,8759149002,6503755002,SIM,nova
greenhouse,mobentertainment,Senior Character Artist,United States,https://job-boards.greenhouse.io/mobentertainment/jobs/5207518007,5207518007,4666360007,SIM,JA-FEITO
greenhouse,mobentertainment,Senior Environment Artist,United States,https://job-boards.greenhouse.io/mobentertainment/jobs/5195729007,5195729007,4660644007,SIM,nova
greenhouse,ncamerica,Open Applications,"Irvine, California",https://job-boards.greenhouse.io/ncamerica/jobs/4052911009,4052911009,4036040009,SIM,JA-FEITO
greenhouse,scopely,Senior/Lead 3D Character Artist - WWE Champions,"IN - Bangalore, India",https://job-boards.greenhouse.io/scopely/jobs/5347401008?gh_jid=5347401008,5347401008,4514861008,SIM,nova
greenhouse,scopely,Talent Acquisition Sourcer,"MX - Mexico City, Mexico",https://job-boards.greenhouse.io/scopely/jobs/5233631008?gh_jid=5233631008,5233631008,4442809008,SIM,nova
greenhouse,sonypicturesimageworks,Artiste principal ou artiste principale en développement de l’apparence / Senior Look Development Artist,"Montréal, Quebec, Canada",https://job-boards.greenhouse.io/sonypicturesimageworks/jobs/7529417003,7529417003,4760783003,SIM,JA-FEITO
greenhouse,sonypicturesimageworks,Character FX Artist,"Vancouver, British Columbia, Canada",https://job-boards.greenhouse.io/sonypicturesimageworks/jobs/4363707003,4363707003,4243502003,SIM,JA-FEITO
greenhouse,sonypicturesimageworks,Environment Artist,"Vancouver, British Columbia, Canada",https://job-boards.greenhouse.io/sonypicturesimageworks/jobs/6669063003,6669063003,4654801003,SIM,JA-FEITO
greenhouse,sonypicturesimageworks,Experienced Character FX Artist,"Vancouver, British Columbia, Canada",https://job-boards.greenhouse.io/sonypicturesimageworks/jobs/4363708003,4363708003,4243502003,SIM,JA-FEITO
greenhouse,sonypicturesimageworks,Experienced Modeler,"Vancouver, British Columbia, Canada",https://job-boards.greenhouse.io/sonypicturesimageworks/jobs/4363749003,4363749003,4243531003,SIM,JA-FEITO
greenhouse,sonypicturesimageworks,Experienced Texture Artist,"Vancouver, British Columbia, Canada",https://job-boards.greenhouse.io/sonypicturesimageworks/jobs/4363799003,4363799003,4243562003,SIM,JA-FEITO
greenhouse,sonypicturesimageworks,Look Development Artist,"Vancouver, British Columbia, Canada",https://job-boards.greenhouse.io/sonypicturesimageworks/jobs/6659179003,6659179003,4760783003,SIM,JA-FEITO
greenhouse,sonypicturesimageworks,Modeler,"Vancouver, British Columbia, Canada",https://job-boards.greenhouse.io/sonypicturesimageworks/jobs/4363748003,4363748003,4243531003,SIM,JA-FEITO
greenhouse,sonypicturesimageworks,Texture Artist,"Vancouver, British Columbia, Canada",https://job-boards.greenhouse.io/sonypicturesimageworks/jobs/4363798003,4363798003,4243562003,SIM,JA-FEITO
greenhouse,swayboxstudios,CG Modeler,"New Orleans, LA",https://job-boards.greenhouse.io/swayboxstudios/jobs/4337820009,4337820009,4197637009,SIM,JA-FEITO
greenhouse,swayboxstudios,Senior CG Generalist (Modeler),"New Orleans, LA",https://job-boards.greenhouse.io/swayboxstudios/jobs/4337866009,4337866009,4197661009,SIM,JA-FEITO
greenhouse,swayboxstudios,Unreal Generalist,"New Orleans, LA",https://job-boards.greenhouse.io/swayboxstudios/jobs/4390537009,4390537009,4226353009,SIM,nova
greenhouse,tripwireinteractive,General Application,"Remote, USA",https://job-boards.greenhouse.io/tripwireinteractive/jobs/8282003002,8282003002,6301511002,SIM,JA-FEITO
greenhouse,unknownworlds,General Application,Remote,https://job-boards.greenhouse.io/unknownworlds/jobs/7535230002,7535230002,5958135002,SIM,JA-FEITO
greenhouse,wargamingen,3D Character Artist (World of Tanks:HEAT),Nicosia,https://job-boards.greenhouse.io/wargamingen/jobs/8161671,8161671,3532309,SIM,JA-FEITO
lever,avalanchestudios,Lead Character Artist,Stockholm,https://jobs.lever.co/avalanchestudios/8f7bd580-5877-446e-83cb-97bb1fce0f6a,8f7bd580-5877-446e-83cb-97bb1fce0f6a,,SIM,JA-FEITO
lever,bhvr,Senior 3D  Character Artist - 7 Days to Die | Artiste de personnages 3D  sénior·e - 7 Days to Die,"Montreal, QC",https://jobs.lever.co/bhvr/976b2a8c-9cb4-4066-a755-d0994af408c2,976b2a8c-9cb4-4066-a755-d0994af408c2,,SIM,nova
lever,bhvr,Senior 3D Character Artist - Dead By Daylight | Artiste de personnage sénior·e 3D  Dead By Daylight,"Montreal, QC",https://jobs.lever.co/bhvr/18024240-e637-409f-a647-b422541e2dc7,18024240-e637-409f-a647-b422541e2dc7,,SIM,JA-FEITO
lever,bhvr,Senior 3D Character Artist - Unannounced project | Artiste de personnage 3D sénior·e - Projet non annoncé,"Montreal, QC",https://jobs.lever.co/bhvr/86ddd557-7d9b-48f1-ab04-0a90ba38e2dc,86ddd557-7d9b-48f1-ab04-0a90ba38e2dc,,SIM,JA-FEITO
lever,bhvr,Senior Texture Artist  - Dead by Daylight | Artiste de Texture Senior·e - Dead by Daylight,"Montreal, QC",https://jobs.lever.co/bhvr/55fa65fe-50b8-41e2-a406-5f185c860295,55fa65fe-50b8-41e2-a406-5f185c860295,,SIM,JA-FEITO
lever,blackbirdinteractive,General Application,"Vancouver, BC, Canada",https://jobs.lever.co/blackbirdinteractive/498bb3c2-b23f-4aed-8fdd-ee80649e381d,498bb3c2-b23f-4aed-8fdd-ee80649e381d,,SIM,JA-FEITO
lever,dreamgames,Visual Development Artist,Istanbul,https://jobs.lever.co/dreamgames/7d2e95ca-ef9c-4ff8-b856-319eedc12b66,7d2e95ca-ef9c-4ff8-b856-319eedc12b66,,SIM,JA-FEITO
lever,jamcity,Principal 3D Generalist,"San Francisco, CA",https://jobs.lever.co/jamcity/14272af5-efc7-4150-8b59-dcabdaa8c578,14272af5-efc7-4150-8b59-dcabdaa8c578,,SIM,JA-FEITO
lever,kabam,General Application,Vancouver,https://jobs.lever.co/kabam/d62974d9-8d92-4c7b-8d56-8ee23d35904d,d62974d9-8d92-4c7b-8d56-8ee23d35904d,,SIM,JA-FEITO
lever,larian,Character Artist – Open Application | Artiste spécialiste des personnages - candidature libre,Any,https://jobs.lever.co/larian/64e1e658-7c7a-4c7f-b950-f997d40a9d8e,64e1e658-7c7a-4c7f-b950-f997d40a9d8e,,SIM,JA-FEITO
lever,larian,Cinematic Artist – Open Application | Artiste cinématique - candidature libre,Any,https://jobs.lever.co/larian/b17cce86-db83-402d-8851-a5a5db3e822b,b17cce86-db83-402d-8851-a5a5db3e822b,,SIM,nova
lever,larian,Environment Artist,Kuala Lumpur,https://jobs.lever.co/larian/200ba4bf-d44b-49fe-920b-0743eacfc29b,200ba4bf-d44b-49fe-920b-0743eacfc29b,,SIM,nova
lever,larian,Environment Artist | Artiste spécialisé dans les environnements,Quebec,https://jobs.lever.co/larian/1a8d0e75-f5b4-4977-81f5-b3094132323d,1a8d0e75-f5b4-4977-81f5-b3094132323d,,SIM,JA-FEITO
lever,larian,Environment Artist – Open Application | Artiste de l'environnement- candidature libre,Any,https://jobs.lever.co/larian/9bd7d394-e1cc-4acf-8176-68eb2b08aa18,9bd7d394-e1cc-4acf-8176-68eb2b08aa18,,SIM,nova
lever,larian,Gameplay Scripter – Open Application | Script de gameplay – Open Application,Any,https://jobs.lever.co/larian/2dadccc5-fd1a-4abd-a594-367827be9268,2dadccc5-fd1a-4abd-a594-367827be9268,,SIM,nova
lever,larian,VFX Artist – Open Application | Artiste spécialiste des effets visuels - candidature libre,Any,https://jobs.lever.co/larian/04cb183c-c7a0-42a5-93f9-8782b9b198a9,04cb183c-c7a0-42a5-93f9-8782b9b198a9,,SIM,nova
lever,skydance,Character Designer,"Santa Monica, Los Angeles",https://jobs.lever.co/skydance/9084fa54-a4e8-4886-abb1-5dd060c83663,9084fa54-a4e8-4886-abb1-5dd060c83663,,SIM,JA-FEITO
lever,skydance,Character Surfacing Trainee,Madrid,https://jobs.lever.co/skydance/7b435bb2-09fd-4f2f-8fca-9c2fa6666adc,7b435bb2-09fd-4f2f-8fca-9c2fa6666adc,,SIM,nova
lever,skydance,Environment Modeling Artist,Madrid,https://jobs.lever.co/skydance/ebbcdae8-e70b-48c3-ba2e-021ff7451fe1,ebbcdae8-e70b-48c3-ba2e-021ff7451fe1,,SIM,JA-FEITO
lever,skydance,Environment Surfacing Artist,Madrid,https://jobs.lever.co/skydance/c5793932-893f-418a-a24a-7749fcf1c90e,c5793932-893f-418a-a24a-7749fcf1c90e,,SIM,nova
lever,skydance,Environment Surfacing Lead Artist,Madrid,https://jobs.lever.co/skydance/f3ee86d4-f002-49c6-a032-95d2efadfb58,f3ee86d4-f002-49c6-a032-95d2efadfb58,,SIM,nova
lever,skydance,Environment Surfacing Trainee,Madrid,https://jobs.lever.co/skydance/f5cdab33-a028-4fe2-bc19-638926d0ca80,f5cdab33-a028-4fe2-bc19-638926d0ca80,,SIM,nova
lever,skydance,"Executive Assistant, Talent Acquisition & Human Resources","Santa Monica, Los Angeles",https://jobs.lever.co/skydance/7d70ddc2-ff6f-4a80-bd98-7f9ff05fb819,7d70ddc2-ff6f-4a80-bd98-7f9ff05fb819,,SIM,nova
lever,skydance,Junior Environment Surfacing Artist,Madrid,https://jobs.lever.co/skydance/4c18ce73-8217-44a7-af15-b5a5f18bc07e,4c18ce73-8217-44a7-af15-b5a5f18bc07e,,SIM,nova
lever,skydance,Senior Environment Surfacing Artist,Madrid,https://jobs.lever.co/skydance/90d2f2b7-537f-491d-8bf6-88a28c66e1fd,90d2f2b7-537f-491d-8bf6-88a28c66e1fd,,SIM,JA-FEITO
lever,skydance,Senior Grooming TD,Madrid,https://jobs.lever.co/skydance/9ad28cab-87cd-4235-ae9b-b4c53a3457e5,9ad28cab-87cd-4235-ae9b-b4c53a3457e5,,SIM,JA-FEITO
lever,thinkingbox,Talent Acquisition Specialist - Thinkingbox,Vancouver,https://jobs.lever.co/thinkingbox/4a6afa41-44d3-489e-ae73-088d6e640f69,4a6afa41-44d3-489e-ae73-088d6e640f69,,SIM,nova
recruitee,dovetailgames,Open Applications,Remote job,https://careers.dovetailgames.com/o/open-applications,1439246,,SIM,JA-FEITO
recruitee,framestore,3D Modeller - Short term contract,"Montreal, Quebec, Canada",https://framestore.recruitee.com/o/modeleurse-3d-3d-modeller-contrat-court-terme,2120070,,SIM,JA-FEITO
recruitee,framestore,Blender Generalist,"London, Greater London, United Kingdom",https://framestore.recruitee.com/o/blender-generalist,2709436,,SIM,JA-FEITO
recruitee,framestore,Blender Generalist - Visual Development Artist,"Montreal, Quebec, Canada",https://framestore.recruitee.com/o/generaliste-blender-artiste-au-development-visuel-blender-generalist-visual-development-artist,2718959,,SIM,JA-FEITO
recruitee,framestore,Creature FX TD,"London, Greater London, United Kingdom",https://framestore.recruitee.com/o/creature-fx-td-film-episodic,513351,,SIM,nova
recruitee,framestore,Creature FX TD (Freelancer),Remote job,https://framestore.recruitee.com/o/creature-fx-td-freelancer,2713294,,SIM,nova
recruitee,framestore,Creature FX Technical Director,"Montreal, Quebec, Canada",https://framestore.recruitee.com/o/directeurrice-technique-des-creatures-numeriques-creature-fx-td-2026,2695789,,SIM,nova
recruitee,framestore,Senior Creature FX TD,"Melbourne, Victoria, Australia",https://framestore.recruitee.com/o/senior-creature-fx-td-4,2728197,,SIM,nova
recruitee,framestore,Visual Development Artist - AI & Generative Tools,"London, Greater London, United Kingdom",https://framestore.recruitee.com/o/visual-development-artist-ai-generative-tools,2619285,,SIM,JA-FEITO
smartrecruiters,cdprojektred,Senior Environment Artist,"Boston, MA, us",https://jobs.smartrecruiters.com/cdprojektred/744000145348609,744000145348609,,SIM,JA-FEITO
smartrecruiters,cdprojektred,Spontaneous Application,"Multiple Locations: Poland, US, ca",https://jobs.smartrecruiters.com/cdprojektred/743999985526203,743999985526203,,SIM,JA-FEITO
smartrecruiters,gameloft,Candidature Spontanée - Spontaneous Application,"Montreal, QC, ca",https://jobs.smartrecruiters.com/gameloft/744000116612089,744000116612089,,SIM,JA-FEITO
smartrecruiters,ghostvfx,Modeling Supervisor,"Pune, MH, in",https://jobs.smartrecruiters.com/ghostvfx/743999853741301,743999853741301,,SIM,nova
smartrecruiters,giantssoftwaregmbh,Open Application,"Erlangen, BY, de",https://jobs.smartrecruiters.com/giantssoftwaregmbh/744000106829736,744000106829736,,SIM,JA-FEITO
smartrecruiters,keywordsstudios,Senior Character Artist Vic/SA/Qld,"Box Hill, VIC, au",https://jobs.smartrecruiters.com/keywordsstudios/744000130680219,744000130680219,,SIM,JA-FEITO
smartrecruiters,outpostvfx,Freelance Senior Environment Generalist,"Mumbai, MH, in",https://jobs.smartrecruiters.com/outpostvfx/744000143291457,744000143291457,,SIM,nova
smartrecruiters,outpostvfx,Freelance Senior Modeller,"Mumbai, MH, in",https://jobs.smartrecruiters.com/outpostvfx/744000080155909,744000080155909,,SIM,nova
smartrecruiters,outpostvfx,Freelance Senior Texturing and LookDev Artist,"Mumbai, MH, in",https://jobs.smartrecruiters.com/outpostvfx/744000080155504,744000080155504,,SIM,nova
smartrecruiters,outpostvfx,General Application - Expression of Interest,"Mumbai, MH, in",https://jobs.smartrecruiters.com/outpostvfx/744000080156084,744000080156084,,SIM,nova
smartrecruiters,outpostvfx,Senior Environment Artist,"London, England, gb",https://jobs.smartrecruiters.com/outpostvfx/744000142160019,744000142160019,,SIM,JA-FEITO
smartrecruiters,peoplecanfly,Artiste de personnage principal(e) / Principal Character Artist,"Montréal, QC, ca",https://jobs.smartrecruiters.com/peoplecanfly/744000134528029,744000134528029,,SIM,JA-FEITO
smartrecruiters,peoplecanfly,Senior Asset Artist (Hard Surface),"Warszawa, Województwo mazowieckie, pl",https://jobs.smartrecruiters.com/peoplecanfly/744000141244724,744000141244724,,SIM,JA-FEITO
smartrecruiters,rodeofx,Senior Lookdev Artist - Multiple Positions,"Montreal, QC, ca",https://jobs.smartrecruiters.com/rodeofx/744000145587059,744000145587059,,SIM,JA-FEITO
smartrecruiters,rodeofx,Senior Lookdev Artist - Multiple Positions,"Toronto, ON, ca",https://jobs.smartrecruiters.com/rodeofx/744000144123709,744000144123709,,SIM,JA-FEITO
smartrecruiters,techlandsa,Character Artist,"Wrocław, Dolnośląskie, pl",https://jobs.smartrecruiters.com/techlandsa/744000145235194,744000145235194,,SIM,JA-FEITO
smartrecruiters,techlandsa,Character Artist,"Warszawa, Województwo mazowieckie, pl",https://jobs.smartrecruiters.com/techlandsa/744000137670539,744000137670539,,SIM,JA-FEITO
smartrecruiters,ubisoft2,Lead Character Artist [Tom Clancy's The Division 2],"Malmö, Skåne County, se",https://jobs.smartrecruiters.com/ubisoft2/744000144027102,744000144027102,,SIM,JA-FEITO
smartrecruiters,ubisoft2,Senior Character Artist (Rainbow Six Siege),"Montreal, QC, ca",https://jobs.smartrecruiters.com/ubisoft2/744000145282762,744000145282762,,SIM,JA-FEITO
teamtailor,axolotgamesab,Open Application,,https://axolotgamesab.teamtailor.com/jobs/3583177-open-application,c4267d84-bd1e-4e6a-b4f4-7b9940111dc4,,SIM,JA-FEITO
teamtailor,beffio,Lead 3D Character Artist (Remote/Permanent),,https://beffio.teamtailor.com/jobs/6217989-lead-3d-character-artist-remote-permanent,1d105ba4-7803-4e73-a061-d16da19f5a27,,SIM,nova
teamtailor,beffio,"Senior Character Artist Unity3D Europe, Remote / Permanent",,https://beffio.teamtailor.com/jobs/7242656-senior-character-artist-unity3d-europe-remote-permanent,5741dafe-fdd4-40c4-b74f-4856b6aa5a11,,SIM,nova
teamtailor,beffio,Talent Acquisition Specialist (Gamedev) / Europe · Remote,,https://beffio.teamtailor.com/jobs/7468348-talent-acquisition-specialist-gamedev-europe-remote,b5afb0b1-4424-4b9b-bc23-f8e4a26e47c3,,SIM,nova
teamtailor,bulkheadinteractive,OPEN APPLICATION [IN-STUDIO],,https://bulkheadinteractive.teamtailor.com/jobs/5739695-open-application-in-studio,f4119500-a592-4880-aaa5-bb0ba9ed5731,,SIM,nova
teamtailor,bulkheadinteractive,OPEN APPLICATION [REMOTE],,https://bulkheadinteractive.teamtailor.com/jobs/5744150-open-application-remote,60a24fb4-9127-4ea8-90e8-42aeef899436,,SIM,nova
teamtailor,cigames,Open Application,,https://cigames.teamtailor.com/jobs/7918450-open-application,dd985203-13e4-4218-9983-f12782abd891,,SIM,JA-FEITO
teamtailor,embarkstudios,Environment Artist,,https://embarkstudios.teamtailor.com/jobs/7964466-environment-artist,93724dc1-9da2-40c5-87cc-49b5120dc2ff,,SIM,JA-FEITO
teamtailor,envarstudio,Senior 3D Environment Artist (Fixed term),,https://envarstudio.teamtailor.com/jobs/8281404-senior-3d-environment-artist-fixed-term,ba289b48-0d4e-4141-b10f-39c1d597b725,,SIM,nova
teamtailor,fatshark,Character Artist,,https://fatshark.teamtailor.com/jobs/8190501-character-artist,98c6393c-d05a-48c3-b504-074b9d2a343c,,SIM,JA-FEITO
