fonte,estudio,pais,cidade,site,ja_na_campanha,tem_vaga_disciplina,url_da_vaga,veto_encontrado,observacao
tinyurl.com/Animation-VFX-Game-job-studios -> planilha Google 1eR2oAXOuflr8CZeGoz3JTrsgNj3KuefbdXJOmNtjEVM,Disney Television Animation,United States,Glendale,,sim,sim,https://www.disneycareers.com/en/job/glendale/character-design-lead-disney-television-animation/391/99997785168,"fully on-site role based in Glendale, CA","[viva] planilha: Character Designer | data na planilha September 1, 2026. Character Design Lead, Disney Television Animation. FORA DA DISCIPLINA: design de personagem 2D, nao modelagem 3D."
tinyurl.com/Animation-VFX-Game-job-studios -> planilha Google 1eR2oAXOuflr8CZeGoz3JTrsgNj3KuefbdXJOmNtjEVM,Skydance Animation Madrid,Spain,Madrid,,sim,sim,https://jobs.lever.co/skydance/7b435bb2-09fd-4f2f-8fca-9c2fa6666adc,Must be available for at least 3 months onsite + Must be currently enrolled in your last year,"[viva] planilha: Surfacing Artist | data na planilha September 1, 2026. Character Surfacing TRAINEE, Madrid. ESTAGIO exigindo matricula em curso - fora do perfil de Senior."
tinyurl.com/Animation-VFX-Game-job-studios -> planilha Google 1eR2oAXOuflr8CZeGoz3JTrsgNj3KuefbdXJOmNtjEVM,Skydance Animation Madrid,Spain,Madrid,,sim,sim,https://jobs.lever.co/skydance/f5cdab33-a028-4fe2-bc19-638926d0ca80,Must be available for at least 3 months onsite + Must be currently enrolled in your last year,"[viva] planilha: Surfacing Artist | data na planilha September 1, 2026. Environment Surfacing TRAINEE, Madrid. ESTAGIO. Ambiente, disciplina media."
tinyurl.com/Animation-VFX-Game-job-studios -> planilha Google 1eR2oAXOuflr8CZeGoz3JTrsgNj3KuefbdXJOmNtjEVM,Avalanche Studios,Sweden,Stockholm,,sim,sim,https://jobs.lever.co/avalanchestudios/8f7bd580-5877-446e-83cb-97bb1fce0f6a,relocation assistance is not available for this role,"[viva] planilha: Character Artist | data na planilha September 1, 2026. Lead Character Artist, Estocolmo, permanente, hibrido. Nao ha veto legal escrito, mas o anuncio diz textualmente que NAO ha apoio de mudanca."
tinyurl.com/Animation-VFX-Game-job-studios -> planilha Google 1eR2oAXOuflr8CZeGoz3JTrsgNj3KuefbdXJOmNtjEVM,Insomniac Games,United States,Burbank,,sim,sim,https://job-boards.greenhouse.io/insomniac/jobs/6143980004,,"[viva] planilha: Character TD | data na planilha August 31, 2026. Character TD, Insomniac Games, Burbank. Os termos authorized/sponsorship aparecem como PERGUNTAS do formulario Greenhouse, nao como veto. Disciplina limitrofe: TD de personagem e mais tecnico que artistico."
tinyurl.com/Animation-VFX-Game-job-studios -> planilha Google 1eR2oAXOuflr8CZeGoz3JTrsgNj3KuefbdXJOmNtjEVM,Lakshya Digital,England,London,,sim,sim,https://apply.workable.com/keywords-intl1/j/CA33DB1208/,,"[viva] planilha: Character Artist | data na planilha August 31, 2026. Character Artist - Hair Specialist (Lakshya Digital / Keywords Studios), CONTRATO, REMOTO, locais declarados Canada e Reino Unido. Lida pela API v2 do Workable porque a pagina e JS. Busca literal de veto no texto integral: NENHUM. Grooming de cabelo/pelo em tempo real - disciplina alta."
tinyurl.com/Animation-VFX-Game-job-studios -> planilha Google 1eR2oAXOuflr8CZeGoz3JTrsgNj3KuefbdXJOmNtjEVM,Ubisoft,Canada,Montreal,,sim,sim,https://jobs.smartrecruiters.com/Ubisoft2/744000141713411-team-lead-modeling-unreal,,"[viva] planilha: Modeler | data na planilha August 31, 2026. Team Lead - Modeling (Unreal), Ubisoft Montreal. Anuncio integral no SmartRecruiters: nenhum veto encontrado."
tinyurl.com/Animation-VFX-Game-job-studios -> planilha Google 1eR2oAXOuflr8CZeGoz3JTrsgNj3KuefbdXJOmNtjEVM,Wargaming,Cyprus,Nicosia,,sim,sim,https://job-boards.greenhouse.io/wargamingen/jobs/8161671,,"[viva] planilha: Character Artist | data na planilha August 31, 2026. 3D Character Artist (World of Tanks:HEAT), Wargaming Nicosia. O anuncio diz ""This role is eligible for relocation & immigration support"" - e o CONTRARIO de veto. Unica das 6 URLs da Wargaming da planilha que continua viva."
tinyurl.com/Animation-VFX-Game-job-studios -> planilha Google 1eR2oAXOuflr8CZeGoz3JTrsgNj3KuefbdXJOmNtjEVM,Automatik VFX,Germany,Berlin,,nao,sim,https://www.linkedin.com/feed/update/urn:li:activity:7498743793677172736/,EU candidate can apply if they are willing to relocate,"[viva] planilha: Character Artist | data na planilha August 28, 2026. Character Artist, Automatik VFX Berlim. ESTUDIO NOVO. Post de LinkedIn com email direto jobs_berlin@automatik-vfx.com. Restricao escrita a candidato da UE."
tinyurl.com/Animation-VFX-Game-job-studios -> planilha Google 1eR2oAXOuflr8CZeGoz3JTrsgNj3KuefbdXJOmNtjEVM,Rising Sun Pictures,Australia,Adelaide,,sim,indeterminado,https://careers.rsp.com.au/job/Senior-Modelling-Artist/623-en_US,,"[nao confirmada] planilha: Modeler | data na planilha August 27, 2026. Senior Modelling Artist, Rising Sun Pictures, Adelaide. O ATS (SAP SuccessFactors) devolve ""The system can t display the job at this time"" para a requisicao 623 e a busca do quadro nao lista nada sem JS. NAO deu para confirmar se esta viva nem para ler o texto."
tinyurl.com/Animation-VFX-Game-job-studios -> planilha Google 1eR2oAXOuflr8CZeGoz3JTrsgNj3KuefbdXJOmNtjEVM,ILM - London,England,London,,sim,nao - anuncio caiu,https://jobs.disneycareers.com/job/london/lead-texture-artist-ilm-london/391/99760148800,,"[morta] planilha: Texture Artist | data na planilha August 27, 2026. Lead Texture Artist ILM Londres: a requisicao 99760148800 nao existe mais, o Disney Careers devolve a pagina generica ""Working at DISNEY"". Alem disso o painel ja registra que o Vini aplicou e foi recusado nesta requisicao."
tinyurl.com/Animation-VFX-Game-job-studios -> planilha Google 1eR2oAXOuflr8CZeGoz3JTrsgNj3KuefbdXJOmNtjEVM,ILM - London,England,London,,sim,nao - anuncio caiu,https://jobs.disneycareers.com/job/london/senior-texture-artist-ilm-london/391/99760148496,,"[morta] planilha: Texture Artist | data na planilha August 27, 2026. Senior Texture Artist ILM Londres (99760148496): mesma pagina generica, requisicao encerrada. O painel ja registra envio e recusa."
tinyurl.com/Animation-VFX-Game-job-studios -> planilha Google 1eR2oAXOuflr8CZeGoz3JTrsgNj3KuefbdXJOmNtjEVM,Framestore,Canada,Montreal,,sim,sim,https://framestore.recruitee.com/o/modeleurse-3d-3d-modeller-contrat-court-terme,,"[viva] planilha: Modeler | data na planilha August 27, 2026. 3D Modeller - Short term contract, Framestore Montreal, presencial. O formulario pergunta ""Will you need visa sponsorship?"" - PERGUNTA, nao veto. Nenhum veto escrito no corpo."
tinyurl.com/Animation-VFX-Game-job-studios -> planilha Google 1eR2oAXOuflr8CZeGoz3JTrsgNj3KuefbdXJOmNtjEVM,Skydance Animation Madrid,Spain,Madrid,,sim,sim,https://jobs.lever.co/skydance/4c18ce73-8217-44a7-af15-b5a5f18bc07e,,"[viva] planilha: Surfacing Artist | data na planilha August 27, 2026. Junior Environment Surfacing Artist, Skydance Madrid, full time, hibrido. Ambiente e nivel junior - fora do alvo de Senior."
tinyurl.com/Animation-VFX-Game-job-studios -> planilha Google 1eR2oAXOuflr8CZeGoz3JTrsgNj3KuefbdXJOmNtjEVM,Ubisoft,Canada,Montreal,,sim,nao - anuncio caiu,https://jobs.smartrecruiters.com/Ubisoft2/744000145742707-3d-character-modeler-march-of-giants,,"[morta] planilha: Modeler | data na planilha August 27, 2026. 3D Character Modeler - March of Giants, Ubisoft: o SmartRecruiters responde literalmente ""This job has expired""."
tinyurl.com/Animation-VFX-Game-job-studios -> planilha Google 1eR2oAXOuflr8CZeGoz3JTrsgNj3KuefbdXJOmNtjEVM,WildBrain Studios,Canada,Vancouver,,sim,sim,https://wildbrain-career.talent-soft.com/job/job-groom-supervisor-cg-feature-_5580.aspx,,"[viva] planilha: Groom Supervisor | data na planilha August 26, 2026. Groom Supervisor, CG (Feature), WildBrain Vancouver. Anuncio integral: nenhum veto de autorizacao. Vaga de SUPERVISAO de grooming."
tinyurl.com/Animation-VFX-Game-job-studios -> planilha Google 1eR2oAXOuflr8CZeGoz3JTrsgNj3KuefbdXJOmNtjEVM,Cloud Chamber,Canada,Montreal,,sim,sim,https://job-boards.greenhouse.io/cloudchamberen/jobs/7888170003,For candidates located in Quebec: requires professional proficiency in both French and English,"[viva] planilha: Character Artist | data na planilha August 25, 2026. Lead Character Artist, Cloud Chamber Montreal. O requisito de frances so se aplica a quem ja esta no Quebec. ""Are you authorized to work in North America?"" e pergunta de formulario."
tinyurl.com/Animation-VFX-Game-job-studios -> planilha Google 1eR2oAXOuflr8CZeGoz3JTrsgNj3KuefbdXJOmNtjEVM,Cloud Chamber,United States,Novato,,sim,sim,https://job-boards.greenhouse.io/cloudchamberen/jobs/7888172003,For candidates located in Quebec: requires professional proficiency in both French and English,"[viva] planilha: Character Artist | data na planilha August 25, 2026. Lead Character Artist, Cloud Chamber Novato (California). Mesma familia da anterior, requisicao diferente."
tinyurl.com/Animation-VFX-Game-job-studios -> planilha Google 1eR2oAXOuflr8CZeGoz3JTrsgNj3KuefbdXJOmNtjEVM,Ubisoft,Canada,Montreal,,sim,sim,https://jobs.smartrecruiters.com/Ubisoft2/744000145282762,,"[viva] planilha: Character Artist | data na planilha August 25, 2026. Senior Character Artist (Rainbow Six Siege), Ubisoft Montreal. Anuncio integral no SmartRecruiters: NENHUM veto. Disciplina alta, AAA."
tinyurl.com/Animation-VFX-Game-job-studios -> planilha Google 1eR2oAXOuflr8CZeGoz3JTrsgNj3KuefbdXJOmNtjEVM,Brown Bag Films,Ireland,Dublin,,sim,nao - anuncio caiu,https://milo-hr.my.salesforce-sites.com/recruit/fRecruit__ApplyJob?vacancyNo=VN1884&portal=Dublin,,"[morta] planilha: Texture Artist | data na planilha August 24, 2026. Texture Artist, Brown Bag Films Dublin: o portal Milo responde ""Error: That job is no longer open for applications."""
tinyurl.com/Animation-VFX-Game-job-studios -> planilha Google 1eR2oAXOuflr8CZeGoz3JTrsgNj3KuefbdXJOmNtjEVM,DNEG,Canada,Montreal,,sim,sim,https://jobs.jobvite.com/double-negative-visual-effects/job/ooyGAfwW,,"[viva] planilha: Modeler | data na planilha August 24, 2026. Modeleur de personnages / Character Modeler (DNEG Animation), Montreal, Hybrid Remote. Anuncio integral bilingue (8495 car.): busca literal de veto NAO retornou nada - ao contrario da irma de Londres."
tinyurl.com/Animation-VFX-Game-job-studios -> planilha Google 1eR2oAXOuflr8CZeGoz3JTrsgNj3KuefbdXJOmNtjEVM,3Doubles Producciones,Spain,Santa Cruz de Tenerife,,sim,sim,https://3doubles.factorial.es/job_posting/3d-modeler-lead-318348,,"[viva] planilha: Modeler | data na planilha August 21, 2026. 3D Modeler - Lead, 3Doubles Producciones, Tenerife. Presencial declarado, contrato full-time. Nenhum veto de autorizacao (as ocorrencias de ""permit"" sao do aviso de cookies em espanhol)."
tinyurl.com/Animation-VFX-Game-job-studios -> planilha Google 1eR2oAXOuflr8CZeGoz3JTrsgNj3KuefbdXJOmNtjEVM,Digital Domain,Canada,Vancouver,,sim,sim,https://www.linkedin.com/feed/update/urn:li:activity:7494111972645584896/,BC residents only. eligible to work in Canada,"[viva] planilha: Texture Artist | data na planilha August 21, 2026. Texture Artist, Digital Domain Vancouver, contrato de 1 mes, home office dentro da Columbia Britanica. VETO ESCRITO de residencia."
tinyurl.com/Animation-VFX-Game-job-studios -> planilha Google 1eR2oAXOuflr8CZeGoz3JTrsgNj3KuefbdXJOmNtjEVM,Stirling Animation Studio,Scotland,Stirling,,sim,sim,https://stirlinganimationstudios.bamboohr.com/careers/77,Artists must be based regionally within the UK (outside the M25),"[viva] planilha: Modeler/Surfacing Artist | data na planilha August 20, 2026. Character Modeling and Surfacing Artists, Stirling (Escocia), freelance, aberta 24/06/2026. Lida pela API JSON do BambooHR. VETO ESCRITO de base no Reino Unido."
tinyurl.com/Animation-VFX-Game-job-studios -> planilha Google 1eR2oAXOuflr8CZeGoz3JTrsgNj3KuefbdXJOmNtjEVM,Stirling Animation Studio,Scotland,Stirling,,sim,sim,https://stirlinganimationstudios.bamboohr.com/careers/80,Artists must be based regionally within the UK (outside the M25),"[viva] planilha: Modeler/Surfacing Artist | data na planilha August 20, 2026. Character Surfacing Artists, Stirling, freelance, aberta 17/07/2026. Mesmo veto de base."
tinyurl.com/Animation-VFX-Game-job-studios -> planilha Google 1eR2oAXOuflr8CZeGoz3JTrsgNj3KuefbdXJOmNtjEVM,Stirling Animation Studio,Scotland,Stirling,,sim,sim,https://stirlinganimationstudios.bamboohr.com/careers/81,Artists must be based regionally within the UK (outside the M25),"[viva] planilha: Modeler | data na planilha August 20, 2026. Prop Modeling & Surfacing Artists, Stirling, freelance. Mesmo veto de base."
tinyurl.com/Animation-VFX-Game-job-studios -> planilha Google 1eR2oAXOuflr8CZeGoz3JTrsgNj3KuefbdXJOmNtjEVM,Stirling Animation Studio,Scotland,Stirling,,sim,sim,https://stirlinganimationstudios.bamboohr.com/careers/82,Artists must be based regionally within the UK (outside the M25),"[viva] planilha: Surfacing Artist | data na planilha August 20, 2026. Environment Modelers, Stirling, freelance. Ambiente + mesmo veto de base."
tinyurl.com/Animation-VFX-Game-job-studios -> planilha Google 1eR2oAXOuflr8CZeGoz3JTrsgNj3KuefbdXJOmNtjEVM,Stirling Animation Studio,Scotland,Stirling,,sim,sim,https://stirlinganimationstudios.bamboohr.com/careers/79,Artists must be based regionally within the UK (outside the M25),"[viva] planilha: Surfacing Artist | data na planilha August 20, 2026. Environment Surfacing Artist, Stirling, freelance. Ambiente + mesmo veto de base."
tinyurl.com/Animation-VFX-Game-job-studios -> planilha Google 1eR2oAXOuflr8CZeGoz3JTrsgNj3KuefbdXJOmNtjEVM,Rodeo FX,Canada,Toronto,,sim,sim,https://jobs.smartrecruiters.com/RodeoFX/744000144123709,,"[viva] planilha: Look Development Artist | data na planilha August 20, 2026. Senior Lookdev Artist - Multiple Positions, Rodeo FX Toronto. Anuncio integral no SmartRecruiters: nenhum veto. A palavra ""hybrid"" so aparece na expressao ""hybrid environments (feature film, advertising, series)""."
tinyurl.com/Animation-VFX-Game-job-studios -> planilha Google 1eR2oAXOuflr8CZeGoz3JTrsgNj3KuefbdXJOmNtjEVM,Massive Entertainment,Sweden,Malmö,,sim,sim,https://jobs.smartrecruiters.com/Ubisoft2/744000144027102,,"[viva] planilha: Character Artist | data na planilha August 19, 2026. Lead Character Artist [Tom Clancy s The Division 2], Massive Entertainment (Ubisoft), Malmo. Anuncio integral: NENHUM veto."
tinyurl.com/Animation-VFX-Game-job-studios -> planilha Google 1eR2oAXOuflr8CZeGoz3JTrsgNj3KuefbdXJOmNtjEVM,Lighthouse Games,England,Leamington Spa,,sim,sim,https://apply.workable.com/lighthousegames/j/F7F90250DA/,,"[viva] planilha: Character Artist | data na planilha August 19, 2026. Lead Character Artist, Lighthouse Games, Royal Leamington Spa (Inglaterra), presencial. Lida pela API v2 do Workable porque a pagina e JS. Busca literal de veto no texto integral: NENHUM."
tinyurl.com/Animation-VFX-Game-job-studios -> planilha Google 1eR2oAXOuflr8CZeGoz3JTrsgNj3KuefbdXJOmNtjEVM,Awaken Realms,Poland,Wrocław,,sim,sim,https://www.skillshot.pl/jobs/39589-3d-character-artist-at-awaken-realms,,"[viva] planilha: Character Artist | data na planilha August 18, 2026. 3D Character Artist na Awaken Realms (Wroclaw), anunciada pelo portal polones Skillshot.pl. Anuncio integral: nenhum veto."
tinyurl.com/Animation-VFX-Game-job-studios -> planilha Google 1eR2oAXOuflr8CZeGoz3JTrsgNj3KuefbdXJOmNtjEVM,Mob Entertainment,United States,St. Louis,,sim,sim,https://job-boards.greenhouse.io/mobentertainment/jobs/5207518007,,"[viva] planilha: Character Artist | data na planilha August 18, 2026. Senior Character Artist, Mob Entertainment, St. Louis, USD 82-102k. As mencoes a sponsorship/authorized sao PERGUNTAS do formulario Greenhouse e do bloco de autodeclaracao de veterano dos EUA, nao veto."
tinyurl.com/Animation-VFX-Game-job-studios -> planilha Google 1eR2oAXOuflr8CZeGoz3JTrsgNj3KuefbdXJOmNtjEVM,Team from Earth,Cyprus,Limassol,,nao,sim,https://www.linkedin.com/feed/update/urn:li:activity:7495394621028560900/,candidates who are based in Europe,"[viva] planilha: Character Artist | data na planilha August 18, 2026. Middle & Senior 3D Character Artists, Team from Earth (Limassol, Chipre). ESTUDIO NOVO. Post de LinkedIn de Viktor Deksnis pedindo Marvelous Designer e hard surface. Restricao escrita de base na Europa."
tinyurl.com/Animation-VFX-Game-job-studios -> planilha Google 1eR2oAXOuflr8CZeGoz3JTrsgNj3KuefbdXJOmNtjEVM,Prismatic Studios,New Zealand,Auckland,,sim,nao - anuncio caiu,https://www.prismaticstudios.co.nz/careers/,,"[morta] planilha: Character Artist | data na planilha August 17, 2026. Prismatic Studios (Auckland): a pagina de carreiras declara textualmente ""We Currently Have No Open Positions"". Nao ha vaga de Character Artist no ar."
tinyurl.com/Animation-VFX-Game-job-studios -> planilha Google 1eR2oAXOuflr8CZeGoz3JTrsgNj3KuefbdXJOmNtjEVM,2K Sports Lab,Canada,Vancouver,,nao,sim,https://job-boards.greenhouse.io/2k/jobs/7835808003,,"[viva] planilha: Character Artist | data na planilha August 17, 2026. Senior Character Artist, 2K Sports Lab, Burnaby. ""2 days a week"" e ""legally authorized to work in the country"" sao PERGUNTAS do formulario Greenhouse. ESTUDIO NOVO PARA A CAMPANHA."
tinyurl.com/Animation-VFX-Game-job-studios -> planilha Google 1eR2oAXOuflr8CZeGoz3JTrsgNj3KuefbdXJOmNtjEVM,Frontier Developments,England,Cambridge,,sim,sim,https://jobs.eu.lever.co/frontier/3571ace3-9f1a-4db2-9e2b-5eb8c8487181,,"[viva] planilha: Character Artist | data na planilha August 12, 2026. Experienced Character Artist, Frontier Developments, Cambridge, permanente. O anuncio OFERECE pacote de mudanca (""We can provide a comprehensive relocation support package""), o oposto de veto. Presencial ou hibrido com minimo 3 dias."
tinyurl.com/Animation-VFX-Game-job-studios -> planilha Google 1eR2oAXOuflr8CZeGoz3JTrsgNj3KuefbdXJOmNtjEVM,Skydance Animation Madrid,Spain,Madrid,,sim,sim,https://jobs.lever.co/skydance/9ad28cab-87cd-4235-ae9b-b4c53a3457e5/,,"[viva] planilha: Groom TD | data na planilha August 12, 2026. Senior Grooming TD, Skydance Animation Madrid, full time, hibrido. Anuncio integral: nenhum veto (a palavra authorized so aparece no aviso antifraude do Skydance). Grooming e disciplina do Vini."
tinyurl.com/Animation-VFX-Game-job-studios -> planilha Google 1eR2oAXOuflr8CZeGoz3JTrsgNj3KuefbdXJOmNtjEVM,Asobo Studio,France,Bordeaux,,sim,sim,https://jobs.eu.lever.co/asobostudio/1ab1d28f-6f7c-4106-b43f-6ef78dcb7603,,"[viva] planilha: Character Artist | data na planilha August 11, 2026. Character Artist H/F (projeto narrativo nao anunciado), Asobo Studio, Bordeaux, presencial. Anuncio em frances; nenhum veto de autorizacao (a mencao a visa e do texto de igualdade de oportunidades)."
tinyurl.com/Animation-VFX-Game-job-studios -> planilha Google 1eR2oAXOuflr8CZeGoz3JTrsgNj3KuefbdXJOmNtjEVM,Teyon,Poland,Kraków,,sim,sim,"https://teyon.elevato.net/en/seniorlead-character-artist,j,158",,"[viva] planilha: Character Artist | data na planilha August 10, 2026. Senior/Lead Character Artist, Teyon, Cracovia. O anuncio OFERECE ""Relocation support for candidates willing to move to Krakow"". Modalidade: Krakow, remoto ou hibrido."
tinyurl.com/Animation-VFX-Game-job-studios -> planilha Google 1eR2oAXOuflr8CZeGoz3JTrsgNj3KuefbdXJOmNtjEVM,Skydance Animation Madrid,Spain,Madrid,,sim,sim,https://jobs.lever.co/skydance/90d2f2b7-537f-491d-8bf6-88a28c66e1fd/,,"[viva] planilha: Surfacing Artist | data na planilha August 7, 2026. Senior Environment Surfacing Artist, Skydance Madrid, hibrido. Ambiente - disciplina media."
tinyurl.com/Animation-VFX-Game-job-studios -> planilha Google 1eR2oAXOuflr8CZeGoz3JTrsgNj3KuefbdXJOmNtjEVM,Miraculous,France,Paris,,nao,indeterminado,https://www.linkedin.com/feed/update/urn:li:activity:7491476830961729538/,,"[nao confirmada] planilha: Modeler | data na planilha August 7, 2026. Modeler na Miraculous (Paris). ESTUDIO NOVO. A fonte e um post de LinkedIn que exige login para exibir o conteudo, entao nao deu para ler o anuncio nem confirmar se segue no ar."
tinyurl.com/Animation-VFX-Game-job-studios -> planilha Google 1eR2oAXOuflr8CZeGoz3JTrsgNj3KuefbdXJOmNtjEVM,Candlestick Games,Canada,Warkworth,,sim,nao - anuncio caiu,https://www.workwithindies.com/careers/candlestick-games-stylized-3d-character-artist,,"[morta] planilha: Character Artist | data na planilha August 6, 2026. Stylized 3D Character Artist, Candlestick Games (Ontario, remoto, CAD 25-30/h). A pagina do Work With Indies diz textualmente ""This position has been closed."""
tinyurl.com/Animation-VFX-Game-job-studios -> planilha Google 1eR2oAXOuflr8CZeGoz3JTrsgNj3KuefbdXJOmNtjEVM,Skeleton Key,Canada,Montreal,,sim,sim,https://job-boards.greenhouse.io/hasbro/jobs/4318250009,"hybrid role, requiring you to work onsite three days per week in Montreal","[viva] planilha: Character Artist | data na planilha August 6, 2026. Lead Character Artist, Skeleton Key (grupo Hasbro), Montreal. Sem veto de autorizacao; a condicao escrita e presenca de 3 dias."
tinyurl.com/Animation-VFX-Game-job-studios -> planilha Google 1eR2oAXOuflr8CZeGoz3JTrsgNj3KuefbdXJOmNtjEVM,Illumination Studios Paris,France,Paris,,sim,sim,https://jobs.lever.co/illumination/88ab5915-96db-448b-98d7-7d3385c5f0bf,,"[viva] planilha: Surfacing Artist | data na planilha August 5, 2026. CHARACTER SURFACING - STAGE 2026, Illumination Studios Paris. E ESTAGIO (""stage""), nao vaga de Senior."
