# FILA DA EUROPA (+ Oceania), colhida do gamedevmap em 08/09 a pedido do Vini.
# 4148 estudios unicos em 23 valores de pais. 2495 a campanha nunca tocou (nome nem dominio);
# 2072 desses tambem estao em escopo (tipo com time de arte).
# Colheita: https://www.gamedevmap.com/index.php?location=&country=<Pais>&state=&city=&query=&type=&start=<1|101|201|...>&count=100
#
# TRES ARMADILHAS MEDIDAS NESTA COLHEITA:
# (1) PAGINACAO NAO E page=. E start= com count=. Prova medida hoje na Suecia:
#     start=1   -> "10 Chambers" ... "Coldwood Interactive"
#     start=101 -> "Collecting Smiles" ... "Frostrok"   (nomes DIFERENTES, pagina de verdade)
#     page=2    -> "10 Chambers" ... "Coldwood Interactive"  (IDENTICA a pagina 1, armadilha)
#     Com page= a Suecia teria virado 100 estudios em vez de 644.
# (2) http:// PURO FALHA NESTE AMBIENTE (a ponte local responde "use CONNECT" e devolve 400 com
#     corpo vazio, fazendo o site parecer morto). Sempre https://.
# (3) O REINO UNIDO NAO EXISTE COMO UM PAIS SO no gamedevmap. country=United Kingdom devolve
#     apenas 17 residuos. O Reino Unido esta partido em England (790), Scotland (101), Wales (27)
#     e Northern Ireland (21) = 939. Quem pedir so "United Kingdom" perde 922 estudios.
#     Pela mesma logica a Tchequia e "Czechia", nao "Czech Republic" (que devolve zero).
# (4 - de 06/09, ainda vale) pagina de menos de 10 KB nao e pais vazio, e o firewall GoDaddy
#     recusando o IP. Espere 20s e repita.
#
# ORDENACAO: por densidade de cidade (Londres, Estocolmo, Helsinque, Copenhague, Malmo, Dublin,
# Berlim, Hamburgo, Munique, Paris, Bordeaux, Montpellier, Amsterda, Varsovia, Cracovia, Barcelona,
# Madri, Praga, Lisboa, Milao), depois pais e nome.
#
# COLUNAS: nome,tipo,cidade,estado,pais,site,conhecido,escopo,triagem
#   conhecido: NOVO | ja conhecido (painel/csv) | ja na fila gamedevmap 06/09
#   escopo:    em-escopo | fora-de-escopo (Investment, Organization, Health, School, Recruiting...)
#   triagem:   nao-triado | o veredito da triagem de 08/09 quando houve
nome,tipo,cidade,estado,pais,site,conhecido,escopo,triagem
Draknek & Friends,Developer,London,London,England,https://www.monsterexpedition.com,NOVO,em-escopo,porta-ok:https://www.monsterexpedition.com
Dream Games,Mobile,London,London,England,https://www.dreamgames.com/,ja conhecido (painel/csv),em-escopo,porta-ok:https://www.dreamgames.com/careers
Drest,Mobile,London,London,England,https://drest.com/,NOVO,em-escopo,porta-ok:https://drest.com/careers
EightyEight Games,Mobile,London,London,England,https://www.eightyeightgames.com,NOVO,em-escopo,porta-ok:https://www.eightyeightgames.com
Electric Saint,Developer,London,London,England,https://electricsaint.co.uk/,NOVO,em-escopo,porta-ok:https://electricsaint.co.uk
Electrolyte Games,Microstudio,London,London,England,https://www.electrolyte.co.uk,NOVO,em-escopo,porta-ok:https://www.electrolyte.co.uk
EMK Capital,Investment,London,London,England,https://www.emkcapital.com/,NOVO,fora-de-escopo,nao-triado
Endless Investments,Investment,London,London,England,https://www.endlessglobal.com/endless-investments,NOVO,fora-de-escopo,nao-triado
Engage VR,Extended Reality (XR),London,London,England,https://www.engagevr.io,NOVO,em-escopo,porta-ok:https://www.engagevr.io/careers
Enlight Software,Developer,London,London,England,https://www.enlight.com,NOVO,em-escopo,porta-ok:https://www.enlight.com
Epic Games,Developer and Publisher,London,London,England,https://epicgames.com/,ja conhecido (painel/csv),em-escopo,"site vivo, porta de carreiras nao localizada no HTML"
Episod Studio,Developer,London,London,England,https://www.episod.studio/,NOVO,em-escopo,porta-ok:https://www.episod.studio
Eteo Games,Developer,London,London,England,https://www.eteogames.com/,NOVO,em-escopo,porta-ok:https://www.eteogames.com
Evening Star,Developer,London,London,England,https://www.eveningstar.studio,NOVO,em-escopo,porta-ok:https://www.eveningstar.studio
Everguild,Developer,London,London,England,https://everguild.com/,ja na fila gamedevmap 06/09,em-escopo,porta-sem-resposta
Failbetter Games,Developer,London,London,England,https://www.failbettergames.com,NOVO,em-escopo,porta-ok:https://www.failbettergames.com/jobs
Fallen Flag Studios,Developer,London,London,England,https://www.fallenflagstudio.com,NOVO,em-escopo,porta-ok:https://www.fallenflagstudio.com
FanStudio,Developer,London,London,England,https://www.fanstudio.co.uk,NOVO,em-escopo,"form aberto permanente com opcao 3D Artist, sem vaga datada"
Fenris Creations,Online,London,London,England,https://ccpgames.com/,NOVO,em-escopo,porta-ok:https://ccpgames.com/careers
Feral Interactive,Publisher,London,London,England,https://www.feral.co.uk,NOVO,fora-de-escopo,nao-triado
Field of Vision,Extended Reality (XR),London,London,England,https://fieldof.vision/,NOVO,em-escopo,porta-ok:https://fieldof.vision
Firefly Studios,Developer,London,London,England,https://www.fireflyworlds.com,NOVO,em-escopo,porta-ok:https://www.fireflyworlds.com/careers
Fireshine Games (Enad Global 7),Publisher,London,London,England,https://fireshinegames.co.uk/,NOVO,fora-de-escopo,nao-triado
Fit XR,Extended Reality (XR),London,London,England,https://www.fitxr.com,NOVO,em-escopo,porta-ok:https://www.fitxr.com/careers
Floating Origin Interactive,Developer,London,London,England,https://www.floatingorigininteractive.com/,NOVO,em-escopo,porta-ok:https://www.floatingorigininteractive.com
Foam Sword Games,Mobile,London,London,England,https://www.foamswordgames.com,NOVO,em-escopo,porta-sem-resposta
Formation Games,Developer,London,London,England,https://formation.games/,NOVO,em-escopo,porta-ok:https://formation.games/careers
Foulball Hangover,Developer,London,London,England,https://foulballhangover.com/,NOVO,em-escopo,porta-ok:https://foulballhangover.com/jobs
Fourfold Games,Developer,London,London,England,https://fourfold.co/,NOVO,em-escopo,porta-ok:https://fourfold.co
Fumb Games,Mobile,London,London,England,https://fumb.games/,NOVO,em-escopo,porta-ok:https://fumb.games/careers
Fundamentally Games,Publisher,London,London,England,https://www.fundamentally.games,NOVO,fora-de-escopo,nao-triado
FundamentalVR,Serious Games,London,London,England,https://fundamentalsurgery.com/,NOVO,em-escopo,porta-sem-resposta
Fusebox Games (Nazara),Developer,London,London,England,https://fuseboxgames.com/,NOVO,em-escopo,porta-ok:https://fuseboxgames.com/careers
Future Games of London (Ubisoft),Mobile,London,London,England,https://www.futuregamesoflondon.com,NOVO,em-escopo,porta-ok:https://www.futuregamesoflondon.com/careers
Gaijin Entertainment,Developer,London,London,England,https://www.gaijinent.com,ja conhecido (painel/csv),em-escopo,VAGA VIVA Lead Material & Texture Artist (form proprio) - sem veto escrito; OFERECE realocacao; ja no painel PORTAIS
Galatico Studios,Developer,London,London,England,https://www.galaticostudios.co.uk/,NOVO,em-escopo,porta-ok:https://www.galaticostudios.co.uk
GamelabUK,Developer,London,London,England,https://www.gamelabuk.com,NOVO,em-escopo,porta-sem-resposta
Gameloft,Mobile,London,London,England,https://www.gameloft.com,ja conhecido (painel/csv),em-escopo,"quadro SmartRecruiters vivo com 44 vagas, nenhuma de personagem/modelagem na Europa"
Games Co London,Publisher,London,London,England,https://www.gamescolondon.com,NOVO,fora-de-escopo,nao-triado
Games London,Organization,London,London,England,https://games.london/,NOVO,fora-de-escopo,nao-triado
Games London Accelerator,Incubator/Accelerator,London,London,England,https://games.london/accelerator/,NOVO,fora-de-escopo,nao-triado
GamesAid,Organization,London,London,England,https://www.gamesaid.org/,NOVO,fora-de-escopo,nao-triado
gamoola,Developer,London,London,England,https://www.gamoola.com/,NOVO,em-escopo,porta-ok:https://www.gamoola.com
George Batchelor,Developer,London,London,England,https://www.georgebatchelor.com,NOVO,em-escopo,porta-ok:https://www.georgebatchelor.com
GestureTek Health,Health,London,London,England,https://www.gesturetekhealth.com,NOVO,fora-de-escopo,nao-triado
Ghost Citadel,Mobile,London,London,England,https://ghostcitadel.com/,NOVO,em-escopo,porta-ok:https://ghostcitadel.com
GigXR,Serious Games,London,London,England,https://gigxr.com/,NOVO,em-escopo,porta-ok:https://gigxr.com
Gizmo Garden,Developer,London,London,England,https://gizmo.garden/,NOVO,em-escopo,porta-ok:https://gizmo.garden
Goldhawk Interactive,Developer,London,London,England,https://www.goldhawkinteractive.com,NOVO,em-escopo,porta-sem-resposta
Gram Games (Zynga),Mobile,London,London,England,https://www.gram.gs,NOVO,em-escopo,porta-ok:https://www.gram.gs
Green Man Gaming,Developer and Publisher,London,London,England,http://www.corporate.greenmangaming.com/,NOVO,em-escopo,porta-ok:https://www.corporate.greenmangaming.com/careers
Grumpy Rhino Games,Mobile,London,London,England,https://www.grumpyrhinogames.com/,NOVO,em-escopo,porta-ok:https://www.grumpyrhinogames.com
Hand Circus,Developer,London,London,England,https://www.handcircus.com,NOVO,em-escopo,porta-ok:https://www.handcircus.com/careers
Hidden Place,Developer,London,London,England,https://hiddenplace.games,NOVO,em-escopo,porta-ok:https://hiddenplace.games/careers
Hiro Capital,Investment,London,London,England,https://hiro.capital/,NOVO,fora-de-escopo,nao-triado
Hobo Interactive,Developer,London,London,England,https://hobointeractive.com/,NOVO,em-escopo,porta-sem-resposta
Hole in the Sleeve Game Studios,Developer,London,London,England,https://www.holeinthesleevegamestudios.com/,NOVO,em-escopo,"Character Artist e da EQUIPE, nao vaga"
Hollow Ponds,Developer,London,London,England,http://thehollowponds.com/,NOVO,em-escopo,porta-ok:https://thehollowponds.com
Hound Picked Games,Publisher,London,London,England,https://www.houndpicked.com,NOVO,fora-de-escopo,nao-triado
Humble Grove,Developer,London,London,England,https://www.humblegrove.com,NOVO,em-escopo,porta-ok:https://www.humblegrove.com
Hundred Star Games,Developer,London,London,England,https://hundredstar.games/,NOVO,em-escopo,porta-ok:https://hundredstar.games
Huskrafts,Microstudio,London,London,England,https://huskrafts.com/,NOVO,em-escopo,porta-ok:https://huskrafts.com
Hutch Games,Mobile,London,London,England,https://hutch.io,NOVO,em-escopo,porta-ok:https://hutch.io/careers
IGDA England - London,Organization,London,London,England,https://igda.org/chapters/united-kingdom-london/,NOVO,fora-de-escopo,nao-triado
IMMERSIV GAMES,Developer,London,London,England,https://immersivgames.com/,NOVO,em-escopo,porta-sem-resposta
Improbable Games UK,Developer,London,London,England,https://www.improbable.io,NOVO,em-escopo,porta-ok:https://www.improbable.io/careers
Infinity Vector,Developer,London,London,England,https://infinityvector.com/,NOVO,em-escopo,"as mencoes a Environment Artist sao apresentacao do time, nao vaga"
Interior Night,Developer,London,London,England,https://www.interiornight.com,NOVO,em-escopo,vaga Mid-Senior Environment Artist 9 meses - VETO ESCRITO: UK based candidate e right to work in the UK
Jump Over the Age,Developer,London,London,England,https://www.jumpovertheage.com,NOVO,em-escopo,"Character Artist e credito de jogo, nao vaga"
Juno Capital Partners,Investment,London,London,England,https://junocapitalpartners.com/,NOVO,fora-de-escopo,nao-triado
Kayabros,Microstudio,London,London,England,https://kayabros.itch.io/,NOVO,em-escopo,porta-ok:https://kayabros.itch.io
Kedoo Entertainment,Publisher,London,London,England,https://www.kedoo.com,NOVO,fora-de-escopo,nao-triado
Kepler Interactive,Publisher,London,London,England,https://www.kepler-interactive.com,NOVO,fora-de-escopo,nao-triado
Kestrel Games,Developer,London,London,England,https://kestrelgames.com/,NOVO,em-escopo,porta-ok:https://kestrelgames.com
Kid Onion Studio,Developer,London,London,England,https://rivertailsthegame.com/,ja na fila gamedevmap 06/09,em-escopo,"site vivo, porta de carreiras nao localizada no HTML"
Kindred Spirit Games,Developer,London,London,England,https://kindredspiritgames.com/,NOVO,em-escopo,porta-ok:https://kindredspiritgames.com
King.com (Activision),Mobile,London,London,England,https://www.king.com,NOVO,em-escopo,porta-ok:https://www.king.com
Koffeecup,Developer,London,London,England,https://www.koffeecup.net/,NOVO,em-escopo,porta-ok:https://www.koffeecup.net
Kowloon Nights,Investment,London,London,England,https://www.kowloonnights.com/,NOVO,fora-de-escopo,nao-triado
Lambic Studios,Microstudio,London,London,England,https://lambicstudios.com/,NOVO,em-escopo,porta-ok:https://lambicstudios.com
LAVABIRD,Developer,London,London,England,https://lavabird.games/,NOVO,em-escopo,porta-ok:https://lavabird.games
Liquid City,Extended Reality (XR),London,London,England,https://liquid.city/,NOVO,em-escopo,porta-ok:https://liquid.city/careers
Little Orbit,Publisher,London,London,England,https://www.littleorbit.com,NOVO,fora-de-escopo,nao-triado
Lunar Division (Bithell Games),Publisher,London,London,England,https://lunardivision.net/,NOVO,fora-de-escopo,nao-triado
Lunaris Games,Developer,London,London,England,https://lunarisgames.itch.io/,NOVO,em-escopo,porta-ok:https://lunarisgames.itch.io
Lvp,Investment,London,London,England,https://londonvp.com/,NOVO,fora-de-escopo,nao-triado
Marmalade Game Studio,Developer,London,London,England,https://www.marmaladegamestudio.com,ja conhecido (painel/csv),em-escopo,porta-ok:https://www.marmaladegamestudio.com/careers
Maze Theory,Extended Reality (XR),London,London,England,https://www.maze-theory.com,NOVO,em-escopo,porta-ok:https://www.maze-theory.com/careers
Mediatonic,Developer,London,London,England,https://www.mediatonicgames.com,ja na fila gamedevmap 06/09,em-escopo,porta-ok:https://www.mediatonicgames.com/careers
Mercury Game Studio,Developer,London,London,England,https://www.mercurygamestudio.com/,NOVO,em-escopo,porta-ok:https://www.mercurygamestudio.com
Micazook,Mobile,London,London,England,https://www.micazook.com,NOVO,em-escopo,porta-ok:https://www.micazook.com/careers
Microsoft Lift London,Mobile,London,London,England,https://www.microsoft.com/games,NOVO,em-escopo,porta-ok:https://www.microsoft.com/games/careers
milktooth,Microstudio,London,London,England,https://www.milktooth.dev/,NOVO,em-escopo,porta-ok:https://www.milktooth.dev
Milo Games,Developer,London,London,England,https://milo-games.weebly.com/,NOVO,em-escopo,porta-ok:https://milo-games.weebly.com
Mind Candy,Mobile,London,London,England,https://www.mindcandy.com,NOVO,em-escopo,porta-ok:https://www.mindcandy.com
Mindthunk,Developer,London,London,England,https://mindthunk.com/,NOVO,em-escopo,porta-sem-resposta
Miniclip,Mobile,London,London,England,https://www.miniclip.com,NOVO,em-escopo,porta-ok:https://www.miniclip.com/careers
Mode 7,Developer,London,London,England,https://www.mode7.games/,NOVO,em-escopo,porta-ok:https://www.mode7.games
Modern Wolf,Publisher,London,London,England,https://www.modernwolf.net,NOVO,fora-de-escopo,nao-triado
Moon Active,Mobile,London,London,England,https://moonactive.com/,NOVO,em-escopo,porta-ok:https://moonactive.com/careers
Moonbug Entertainment,Developer,London,London,England,https://moonbug.com/,ja conhecido (painel/csv),em-escopo,porta-ok:https://www.moonbug.com/careers
MoonHub,Serious Games,London,London,England,https://www.themoonhub.com,NOVO,em-escopo,porta-ok:https://www.themoonhub.com
NaturalMotion Games (Zynga),Developer,London,London,England,https://naturalmotion.com/,ja conhecido (painel/csv),em-escopo,"quadro greenhouse vivo, 4 vagas, nenhuma da disciplina"
Nerial,Developer,London,London,England,https://www.nerial.co.uk/,NOVO,em-escopo,porta-ok:https://www.nerial.co.uk/careers
Netspeak Games,Developer,London,London,England,https://www.netspeakgames.com,NOVO,em-escopo,porta-ok:https://www.netspeakgames.com
Newfangled Games,Developer,London,London,England,https://www.newfangled.games,NOVO,em-escopo,porta-ok:https://www.newfangled.games
Nexus Studios,Developer,London,London,England,https://www.nexusstudios.com,ja conhecido (painel/csv),em-escopo,porta-ok:https://nexusstudios.com/
Niantic,Extended Reality (XR),London,London,England,https://nianticlabs.com/,NOVO,em-escopo,"quadro Greenhouse (scopely) vivo com 3D Artist junior/senior/lead em Barcelona - 3D generico de mobile, prioridade MEDIA"
Niffler,Developer and Publisher,London,London,England,http://www.niffler.co.uk/,NOVO,em-escopo,porta-sem-resposta
Nitrome,Online,London,London,England,https://www.nitrome.com,NOVO,em-escopo,porta-ok:https://www.nitrome.com/jobs/
NotGames,Developer,London,London,England,https://notgames.co.uk/,NOVO,em-escopo,porta-ok:https://notgames.co.uk/jobs
Odd Tales,Developer,London,London,England,https://www.oddtales.net,NOVO,em-escopo,porta-ok:https://www.oddtales.net
OKRE,Investment,London,London,England,https://okre.org/,NOVO,fora-de-escopo,nao-triado
Omeda Studios,Online,London,London,England,https://predecessorgame.com/,NOVO,em-escopo,porta-ok:https://predecessorgame.com
Onion Soup Interactive,Developer,London,London,England,https://www.onionsoupinteractive.com/,NOVO,em-escopo,porta-ok:https://www.onionsoupinteractive.com
Orbifold Software,Developer,London,London,England,https://orbifoldsoftware.com/,NOVO,em-escopo,porta-sem-resposta
Outfit7,Mobile,London,London,England,https://outfit7.com/,NOVO,em-escopo,porta-ok:https://outfit7.com/careers
outofthebit,Mobile,London,London,England,https://www.outofthebit.com,NOVO,em-escopo,porta-ok:https://www.outofthebit.com
Oxalis Games,Developer,London,London,England,https://oxalis.games/,NOVO,em-escopo,porta-ok:https://oxalis.games
Panic Barn!,Developer,London,London,England,https://www.panicbarn.com,NOVO,em-escopo,porta-ok:https://www.panicbarn.com
Panic Stations,Developer,London,London,England,https://www.panicstations.com/,NOVO,em-escopo,porta-ok:https://www.panicstations.com
Party for Introverts,Developer,London,London,England,https://partyforintroverts.com/,NOVO,em-escopo,porta-ok:https://partyforintroverts.com
Payload Studios,Developer,London,London,England,https://payloadstudios.com/,ja conhecido (painel/csv),em-escopo,"site vivo, porta de carreiras nao localizada no HTML"
Perp Games,Publisher,London,London,England,https://perpgames.com/,NOVO,fora-de-escopo,nao-triado
PES Productions Europe (Konami),Developer,London,London,England,https://www.konami.com,NOVO,em-escopo,porta-ok:https://www.konami.com
Pixel Spill,Developer,London,London,England,https://pixelspill.games/,NOVO,em-escopo,porta-ok:https://pixelspill.games
Pixel Trickery,Microstudio,London,London,England,http://www.pixeltrickerygames.com/,NOVO,em-escopo,porta-ok:https://www.pixeltrickerygames.com
Pixion Games,Mobile,London,London,England,https://www.pixiongames.com,NOVO,em-escopo,porta-ok:https://www.pixiongames.com/careers
Pixward Games,Developer,London,London,England,https://pixward-games.com/,NOVO,em-escopo,porta-ok:https://pixward-games.com/careers
PlanetPlay,Organization,London,London,England,https://planetplay.com/,NOVO,fora-de-escopo,nao-triado
Playdeo,Mobile,London,London,England,https://www.playdeo.co.uk,NOVO,em-escopo,porta-ok:https://www.playdeo.co.uk/careers
Playerthree,Developer,London,London,England,https://www.playerthree.com,NOVO,em-escopo,porta-sem-resposta
Playstack,Publisher,London,London,England,https://playstack.com/,NOVO,fora-de-escopo,nao-triado
Playwing,Mobile,London,London,England,https://www.playwing.com,NOVO,em-escopo,porta-sem-resposta
Poncle,Developer,London,London,England,https://poncle.games/,NOVO,em-escopo,porta-ok:https://poncle.games
Portkey Games (Warner Brothers Games),Mobile,London,London,England,https://www.portkeygames.com,NOVO,em-escopo,porta-ok:https://www.portkeygames.com
Postceramic Technology,Developer,London,London,England,https://postceramic.co.uk,NOVO,em-escopo,porta-ok:https://postceramic.co.uk
Preloaded,Developer,London,London,England,https://www.preloaded.com,NOVO,em-escopo,porta-ok:https://www.preloaded.com
Product Madness United Kingdom (Aristocrat),Mobile,London,London,England,https://productmadness.com/,NOVO,em-escopo,porta-ok:https://productmadness.com/careers
Psytec Games,Extended Reality (XR),London,London,England,https://www.psytecgames.com,NOVO,em-escopo,porta-ok:https://www.psytecgames.com/careers
QXR Studios,Extended Reality (XR),London,London,England,https://qxrstudios.com/,NOVO,em-escopo,porta-ok:https://qxrstudios.com
RapidEyeMovers,Developer,London,London,England,https://rapideyemovers.com/,NOVO,em-escopo,porta-ok:https://rapideyemovers.com
Reality Lab: London,Extended Reality (XR),London,London,England,https://www.realitylab.london,NOVO,em-escopo,porta-ok:https://www.realitylab.london
Robust Games,Developer,London,London,England,https://www.robust.games/,NOVO,em-escopo,porta-ok:https://www.robust.games
Rockstar International,Publisher,London,London,England,https://www.rockstargames.com,ja conhecido (painel/csv),fora-de-escopo,nao-triado
