estudio,cidade,pais,url,status_navegador,http,achado,observacao_curta
PixToon Animation Studio,Chișinău,Moldova,http://pixtoonstudio.com/,VAZIO_OU_JS,502,,"""bridge error write EPROTO C0AC2DB1497F0000:error:0A000438:SSL routines:ssl3_read_bytes:tlsv1 alert internal error:../deps/openssl/openssl/ssl/record/rec_layer_s3.c:918:SSL alert number 80"""
Polar Media,London,England,http://www.polarmedia.co.uk/home,VAZIO_OU_JS,200,,""""""
Potion Pictures,London,England,http://www.potionpictures.co.uk/join-us,VAZIO_OU_JS,404,,""""""
Pretty Simple,Paris,France,http://www.prettysimplegames.com/list/,VAZIO_OU_JS,400,,"""use CONNECT"""
Prima Linea Productions,Paris,France,http://www2.primalinea.com/presentation/,VAZIO_OU_JS,404,,"""Not Found The requested URL was not found on this server."""
Private Island,London,England,http://privateisland.tv/,VAZIO_OU_JS,200,,"""Skip to Content Work About News Contact Life is weird and so are our ads. Filming, Animating and Generating ᴺᵉˣᵗ ᴸᵉᵛᵉˡ Mixed-Media. TGL McDonalds Meta Quest Xbox Original Source See More"""
Prophecy,Berlin,Germany,http://www.prophecyfx.com/,VAZIO_OU_JS,502,,"""bridge error write EPROTO C0AC2DB1497F0000:error:0A000438:SSL routines:ssl3_read_bytes:tlsv1 alert internal error:../deps/openssl/openssl/ssl/record/rec_layer_s3.c:918:SSL alert number 80"""
Pure Rendering,Berlin,Germany,http://www.purerender.com/,VAZIO_OU_JS,502,,"""bridge error write EPROTO C0AC2DB1497F0000:error:0A000438:SSL routines:ssl3_read_bytes:tlsv1 alert internal error:../deps/openssl/openssl/ssl/record/rec_layer_s3.c:918:SSL alert number 80"""
Redvel Games,Málaga,Spain,http://redvelgames.com/jobs/,VAZIO_OU_JS,503,,"""Service Unavailable The server is temporarily unable to service your request due to maintenance downtime or capacity problems. Please try again later."""
Revenant,Glasgow,Scotland,https://revenant.tv/,VAZIO_OU_JS,400,,"""use CONNECT"""
Riverman Studio,Paris,France,http://riverman.fr/,VAZIO_OU_JS,200,,""".agence .studio Suivez notre actualité sur Facebook, Instagram et LinkedIn"""
Rocketflair,Belfast,Northern Ireland,http://rocketflair.com/jobs/,VAZIO_OU_JS,404,,"""ERROR: PAGE NOT FOUND 404 This page isn’t available. Go to Homepage"""
Rokabye,London,England,http://rokabye.co.uk/careers/,VAZIO_OU_JS,404,,"""404 This page could not be found."""
Rokyn Animation,Granada,Spain,http://rokyn-animation.com/,VAZIO_OU_JS,502,,"""bridge error write EPROTO C0AC2DB1497F0000:error:0A000438:SSL routines:ssl3_read_bytes:tlsv1 alert internal error:../deps/openssl/openssl/ssl/record/rec_layer_s3.c:918:SSL alert number 80"""
Rumpus,Bristol,England,http://rumpusanimation.com/,VAZIO_OU_JS,500,,"""Error establishing a database connection"""
nooh Studio,London,England,https://noohstudio.com/,VAZIO_OU_JS,400,,"""use CONNECT"""
