ats,token,status,n_vagas,conferido
recruitee,hiro,OK,0,SIM
recruitee,icon,OK,2,SIM
recruitee,illuvium,OK,0,SIM
recruitee,jump,OK,3,SIM
recruitee,knuddels,OK,5,SIM
recruitee,knuddelsgmbhcokg,OK,5,SIM
recruitee,lucidgames,OK,1,SIM
recruitee,matt,OK,8,SIM
recruitee,meta,OK,1,SIM
recruitee,million,OK,2,SIM
recruitee,nimble,OK,4,SIM
recruitee,opus,OK,25,SIM
recruitee,outbox,OK,1,SIM
recruitee,parallel,OK,6,SIM
recruitee,pineapple,OK,20,SIM
recruitee,playtestcloud,OK,1,SIM
recruitee,playtestcloudgmbh,OK,1,SIM
recruitee,primary,OK,1,SIM
recruitee,realitygames,OK,31,SIM
recruitee,redsky,OK,19,SIM
recruitee,reframe,OK,0,SIM
recruitee,rift,OK,6,SIM
recruitee,rock,OK,1,SIM
recruitee,rocketwerkz,OK,4,SIM
recruitee,rooster,OK,1,SIM
recruitee,sandbox,OK,0,SIM
recruitee,sisu,OK,132,SIM
recruitee,softgames,OK,5,SIM
recruitee,storm,OK,0,SIM
recruitee,talent,OK,1,SIM
recruitee,tbwa,OK,5,SIM
recruitee,tensquaregames,OK,11,SIM
recruitee,tributary,OK,1,SIM
recruitee,true,OK,7,SIM
recruitee,vertical,OK,2,SIM
recruitee,zero,OK,19,SIM
smartrecruiters,dontnod,OK,3,SIM
smartrecruiters,ludia1,OK,0,SIM
smartrecruiters,nbcuniversal,OK,0,SIM
teamtailor,10chambers,OK (dominio proprio https://careers.10chambers.com),0,SIM
teamtailor,above,OK,4,SIM
teamtailor,airshipinteractive,OK (dominio proprio https://careers.airshipinteractive.com),10,SIM
teamtailor,anima,OK,7,SIM
teamtailor,antagonist,OK (dominio proprio https://werken-bij.antagonist.nl),1,SIM
teamtailor,aonic,OK (dominio proprio https://careers.aonic.co),2,SIM
teamtailor,avantis,OK (dominio proprio https://careers.avantisgroup.com),13,SIM
teamtailor,awaceb,OK,1,SIM
teamtailor,axis,OK (dominio proprio https://karriere.axissolutions.no),2,SIM
teamtailor,beyondframesentertainment,OK (dominio proprio https:/),0,SIM
teamtailor,bica,OK (dominio proprio https://www.jobs.bica.services),13,SIM
teamtailor,black,OK,20,SIM
teamtailor,butter,OK (dominio proprio https://careers.allgravy.com),17,SIM
teamtailor,capsulestudio,OK (dominio proprio https://career.capsule.studio),1,SIM
teamtailor,captureage,OK (dominio proprio https://careers.captureage.com),1,SIM
teamtailor,chief,OK (dominio proprio https://karriar.chief.se),9,SIM
teamtailor,chopchop,OK (dominio proprio https://work.chopchop.se),20,SIM
teamtailor,curio,OK (dominio proprio https://careers.curiogroup.com),9,SIM
teamtailor,dare,OK (dominio proprio https://careers.dare.global),6,SIM
teamtailor,delve,OK,8,SIM
teamtailor,doktor,OK (dominio proprio https:/),20,SIM
teamtailor,eclipse,OK (dominio proprio https://karriar.eclipse.se),3,SIM
teamtailor,ember,OK (dominio proprio https://careers.ember.org.nz),13,SIM
teamtailor,envar,HTTP-404,0,SIM
teamtailor,erepublik,OK,0,SIM
teamtailor,facepunch,HTTP-404,0,SIM
teamtailor,firefly,OK (dominio proprio https://career.firefly.se),13,SIM
teamtailor,foolstheory,HTTP-404,0,SIM
teamtailor,fortis,OK (dominio proprio https://career.fortis.com.mt),4,SIM
teamtailor,fully,OK,2,SIM
teamtailor,funcom,OK (dominio proprio https:/),6,SIM
teamtailor,fundagames,HTTP-404,0,SIM
teamtailor,fuse,OK (dominio proprio https://careers.fuse.co.id),20,SIM
teamtailor,gamecan,HTTP-404,0,SIM
teamtailor,genius,OK (dominio proprio https://careers.genius.paris),3,SIM
teamtailor,ghostshipgames,HTTP-404,0,SIM
teamtailor,goals,OK (dominio proprio https://tt.playgoals.com),0,SIM
teamtailor,goodbyekansasstudios,HTTP-404,0,SIM
teamtailor,goodgamestudios,OK,6,SIM
teamtailor,grace,OK (dominio proprio https://jobb.gracestudio.se),3,SIM
teamtailor,graft,OK,5,SIM
teamtailor,groundcontrol,OK (dominio proprio https://careers.ground-control.co.uk),20,SIM
teamtailor,habitat,OK,20,SIM
teamtailor,here,OK (dominio proprio https://careers.hereweare.org.uk),4,SIM
teamtailor,hero,OK (dominio proprio https://career.hero.se),9,SIM
teamtailor,homa,OK (dominio proprio https://recrutamento.homa.pt),20,SIM
teamtailor,house,HTTP-403,0,NAO
teamtailor,impact,ERRO-ProxyError,0,NAO
teamtailor,infinity,OK (dominio proprio https://careers.infinity.co),7,SIM
teamtailor,invisiblewalls,HTTP-404,0,SIM
teamtailor,keengames,HTTP-404,0,SIM
teamtailor,keplerinteractive,OK (dominio proprio https://careers.kepler-interactive.com),6,SIM
teamtailor,kindabrave,OK (dominio proprio https://careers.kindabrave.com),0,SIM
teamtailor,kinetic,OK,2,SIM
teamtailor,lastarrowgames,OK (dominio proprio https://careers.lastarrowgames.com),1,SIM
teamtailor,level,OK (dominio proprio https://careers.flylevel.com),6,SIM
teamtailor,life,OK (dominio proprio https://jobb.lifebutiken.se),3,SIM
teamtailor,lightheartentertainment,OK (dominio proprio https://careers.lightheart.games),1,SIM
teamtailor,lingokids,OK (dominio proprio https:/),0,SIM
teamtailor,liquidswords,ERRO-SSLError,0,NAO
teamtailor,lunar,OK (dominio proprio https:/),17,SIM
teamtailor,madbox,OK (dominio proprio https://careers.madbox.io),13,SIM
teamtailor,made,OK,20,SIM
teamtailor,mill,HTTP-404,0,SIM
teamtailor,mind,OK,3,SIM
teamtailor,mindark,OK (dominio proprio https://career.mindark.com),0,SIM
teamtailor,minogames,HTTP-404,0,SIM
teamtailor,mobile,HTTP-403,0,NAO
teamtailor,monster,OK,4,SIM
teamtailor,neat,OK (dominio proprio https://careers.neat.no),19,SIM
teamtailor,neongiant,OK (dominio proprio https:/),1,SIM
teamtailor,newmoonproduction,OK,2,SIM
teamtailor,next,OK,20,SIM
teamtailor,ofmstudios,OK,0,SIM
teamtailor,once,OK (dominio proprio https://empleo.once.es),12,SIM
teamtailor,opusmajor,OK (dominio proprio https://career.opusmajor.io),0,SIM
teamtailor,osome,OK (dominio proprio https://careers.osome.com),14,SIM
teamtailor,paradox,HTTP-404,0,SIM
teamtailor,paradoxinteractive,HTTP-404,0,SIM
teamtailor,paradoxplaza,HTTP-404,0,SIM
teamtailor,parkerschauffeurs,OK,1,SIM
teamtailor,pixiongames,OK,3,SIM
teamtailor,power,OK,20,SIM
teamtailor,princessbento,OK (dominio proprio https://careers.princessbento.com),4,SIM
teamtailor,radicalforge,HTTP-404,0,SIM
teamtailor,rawfury,OK (dominio proprio https:/),2,SIM
teamtailor,revolution,OK,0,SIM
teamtailor,rhino,HTTP-403,0,NAO
teamtailor,salt,OK,2,SIM
teamtailor,sandboxinteractive,OK,9,SIM
teamtailor,seven,OK,20,SIM
teamtailor,sharkmob,OK (dominio proprio https://career.sharkmob.com),5,SIM
teamtailor,slug,HTTP-404,0,SIM
teamtailor,snowprint,HTTP-404,0,SIM
teamtailor,snowprintstudios,OK (dominio proprio https://career.snowprintstudios.com),2,SIM
teamtailor,squeeze,OK,10,SIM
teamtailor,stardust,OK,7,SIM
teamtailor,starship,OK,4,SIM
teamtailor,stillfrontgroup,OK,20,SIM
teamtailor,stim,OK,1,SIM
teamtailor,stunlockstudios,HTTP-404,0,SIM
teamtailor,sunday,OK (dominio proprio https://careers.sundayapp.com),20,SIM
teamtailor,sweet,OK,20,SIM
teamtailor,sweetspot,OK (dominio proprio https:/),0,SIM
teamtailor,swiftgames,OK,1,SIM
teamtailor,sybogames,HTTP-404,0,SIM
teamtailor,tapnation,OK (dominio proprio https://careers.tap-nation.io),2,SIM
teamtailor,territorystudio,OK,0,SIM
teamtailor,thegang,OK (dominio proprio https://careers.thegang.io),0,SIM
teamtailor,triband,OK (dominio proprio https://careers.triband.net),8,SIM
teamtailor,tribes,OK,12,SIM
teamtailor,tt,HTTP-404,0,SIM
teamtailor,unfold,OK (dominio proprio https://careers.unfold.no),1,SIM
teamtailor,united,HTTP-403,0,NAO
teamtailor,unleash,HTTP-404,0,SIM
teamtailor,vividgamessa,OK (dominio proprio https:/),2,SIM
teamtailor,waypoint,OK (dominio proprio https://careers.waypointports.com),4,SIM
teamtailor,yonder,OK,6,SIM
teamtailor,zero,OK,1,SIM
workable,bardel-entertainment,OK,12,SIM
workable,beamng,OK,5,SIM
workable,big-viking-games-3,OK,9,SIM
workable,cause-and-fx-ltd,OK,3,SIM
workable,double-eleven,OK,6,SIM
workable,escape-velocity-entertainment-inc,OK,9,SIM
workable,jagex-limited,OK,20,SIM
workable,keywords-intl1,OK,280,SIM
workable,kingsisle-entertainment-inc,OK,2,SIM
workable,lighthousegames,OK,27,SIM
workable,mino-games,OK,0,SIM
workable,nexusstudios,OK,2,SIM
workable,one-of-us,OK,23,SIM
workable,pikpok,OK,0,SIM
workable,pxo,OK,0,SIM
workable,rebellion,OK,36,SIM
workable,streamlinestudios,OK,0,SIM
workable,supermassivegames,HTTP-429 Cloudflare = NAO CONFERIDO,,NAO
workable,team-17-digital,OK,1,SIM
workable,velanstudios,OK,9,SIM
teamtailor-NO-CENSO,ankama,OK (remedido com o leitor consertado),12,SIM
teamtailor-NO-CENSO,axolotgamesab,OK (remedido com o leitor consertado),2,SIM
teamtailor-NO-CENSO,beffio,OK (remedido com o leitor consertado),20,SIM
teamtailor-NO-CENSO,blackkitestudios,OK (remedido com o leitor consertado),6,SIM
teamtailor-NO-CENSO,bulkheadinteractive,OK (remedido com o leitor consertado),6,SIM
teamtailor-NO-CENSO,cigames,OK (remedido com o leitor consertado),4,SIM
teamtailor-NO-CENSO,clickoutmedia,OK (remedido com o leitor consertado),2,SIM
teamtailor-NO-CENSO,coffeestainstudios,OK (remedido com o leitor consertado),2,SIM
teamtailor-NO-CENSO,embarkstudios,OK (remedido com o leitor consertado),18,SIM
teamtailor-NO-CENSO,envarstudio,OK (remedido com o leitor consertado),3,SIM
teamtailor-NO-CENSO,fatshark,OK (remedido com o leitor consertado),5,SIM
teamtailor-NO-CENSO,fundaygames,OK (remedido com o leitor consertado),2,SIM
teamtailor-NO-CENSO,gameboost,OK (remedido com o leitor consertado),9,SIM
teamtailor-NO-CENSO,gigglebug,OK (remedido com o leitor consertado),1,SIM
teamtailor-NO-CENSO,goodbyekansas,OK (remedido com o leitor consertado),3,SIM
teamtailor-NO-CENSO,hampastudio,OK (remedido com o leitor consertado),2,SIM
teamtailor-NO-CENSO,houseofhow,OK (remedido com o leitor consertado),6,SIM
teamtailor-NO-CENSO,ilpvfx,OK (remedido com o leitor consertado),2,SIM
teamtailor-NO-CENSO,ioi,OK (remedido com o leitor consertado),1,SIM
teamtailor-NO-CENSO,pfx,OK (remedido com o leitor consertado),8,SIM
teamtailor-NO-CENSO,playagames,OK (remedido com o leitor consertado),2,SIM
teamtailor-NO-CENSO,realtime,OK (remedido com o leitor consertado),1,SIM
teamtailor-NO-CENSO,sloclap,OK (remedido com o leitor consertado),1,SIM
teamtailor-NO-CENSO,starbreeze,OK (remedido com o leitor consertado),2,SIM
teamtailor-NO-CENSO,starstable,OK (remedido com o leitor consertado),1,SIM
teamtailor-NO-CENSO,stunlocksstudios,OK (remedido com o leitor consertado),4,SIM
teamtailor-NO-CENSO,sybo,OK (remedido com o leitor consertado),5,SIM
teamtailor-NO-CENSO,tacticaladventures,OK (remedido com o leitor consertado),2,SIM
teamtailor-NO-CENSO,twinharbour,OK (remedido com o leitor consertado),11,SIM
teamtailor-NO-CENSO,untoldstdfg1324556,OK (remedido com o leitor consertado),18,SIM
teamtailor-NO-CENSO,vinefx,OK (remedido com o leitor consertado),2,SIM
teamtailor-NO-CENSO,wetaworkshop,OK (remedido com o leitor consertado),4,SIM
