estudio,pais,cidade,site,ja_na_campanha,tem_vaga_disciplina,url_da_vaga,veto_encontrado,observacao
Benuts,Bélgica,La Hulpe,https://benuts.be/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/benuts/"
Digital District,Bélgica / França,Paris Mumbai Wavre,https://www.digital-district.fr/,nao,nao_verificado,,,Site nao respondeu ao curl (home inacessivel); board nao pode ser lido sem navegador. | ficha: https://3dvf.com/en/studio/digital-district/
Dreamwall,Bélgica,Charleroi,https://www.dreamwall.be/,sim,nao_verificado,,,Ja conhecido pela campanha (dominio): DreamWall. Nao revarrido nesta rodada. | ficha: https://3dvf.com/en/studio/dreamwall/
EVO,Bélgica,Froyennes,https://www.evolutioncom.eu/,nao,nao_encontrada,,,"Pagina de carreiras lida (https://www.evolutioncom.eu/recrutement/): nenhum titulo da disciplina no HTML. Pode ser quadro carregado por JavaScript, que nao da para ler sem navegador. | ficha: https://3dvf.com/en/studio/evo-nxeincbwe-froyennes/"
Komposit,Bélgica,Namur,https://www.komposit.be,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/komposit/"
Nozon,Bélgica,Bruxelles,https://www.nozon.com/,nao,nao_verificado,,,Site nao respondeu ao curl (home inacessivel); board nao pode ser lido sem navegador. | ficha: https://3dvf.com/en/studio/nozon/
nWave Studios,Bélgica,Forest,https://www.nwave.com/,sim,nao_verificado,,,Ja conhecido pela campanha (dominio): nWave Studios. Nao revarrido nesta rodada. | ficha: https://3dvf.com/en/studio/nwave/
UFX Studios,Bélgica,Bruxelles,http://www.ufxstudios.com/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/umedia/"
Tornado Studios,Bulgária,Ruse,https://tornado-studios.com/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/tornado-studios/"
10th Ave Animation,Canadá,St-Augustin-de-Desmaures,https://10ave.com/en/,sim,nao_verificado,,,Ja conhecido pela campanha (dominio): 10th Ave Productions. Nao revarrido nesta rodada. | ficha: https://3dvf.com/en/studio/10th-ave-animation/
A Thinking Ape,Canadá,Vancouver,https://athinkingape.com/,nao,nao_encontrada,,,ATS detectado (greenhouse) e consultado por API: nenhuma vaga da disciplina no retorno. | ficha: https://3dvf.com/en/studio/a-thinking-ape/
AA Studios,Canadá,Montreal,https://www.aastudios.ca,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/aa-studio/"
Alter Ego,Canadá,Toronto,https://www.alteregopost.com/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/alter-ego/"
Animatrik Film Design,Canadá,Vancouver,https://www.animatrik.com/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/animatrik-film-design/"
Animism Studios,Canadá,Vancouver,https://animism.studio/,nao,nao_verificado,,,Site nao respondeu ao curl (home inacessivel); board nao pode ser lido sem navegador. | ficha: https://3dvf.com/en/studio/animism-studios/
Aptitude X,Canadá,Montréal,https://www.aptitudex.com/,nao,nao_encontrada,,,"Pagina de carreiras lida (https://www.aptitudex.com/careers): nenhum titulo da disciplina no HTML. Pode ser quadro carregado por JavaScript, que nao da para ler sem navegador. | ficha: https://3dvf.com/en/studio/aptitude-x/"
Artifex Studios,Canadá,Vancouver,https://www.artifexstudios.com/,sim,nao_verificado,,,Ja conhecido pela campanha (nome): Artifex Animation Studios. Nao revarrido nesta rodada. | ficha: https://3dvf.com/en/studio/artifex-studios/
Atmosphere Visual Effects,Canadá,Vancouver,https://www.atmosphere-vfx.com/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/atmosphere-visual-effects/"
Bardel Entertainment,Canadá,Montréal Vancouver,https://bardel.ca/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/bardel-entertainment/"
Barnstorm VFX,Canadá,Vancouver,https://www.barnstormvfx.com/,sim,nao_verificado,,,"Ja conhecido pela campanha (nome): Barnstorm VFX (Environment Generalist, Vancouver) - A MAO POR reCAPTCHA DO BAMBOOHR. Nao revarrido nesta rodada. | ficha: https://3dvf.com/en/studio/barnstorm-vfx/"
Beenox,Canadá,Quebec,https://beenox.com/en/,nao,nao_encontrada,,,"Pagina de carreiras lida (https://beenox.com/en/careers/): nenhum titulo da disciplina no HTML. Pode ser quadro carregado por JavaScript, que nao da para ler sem navegador. | ficha: https://3dvf.com/en/studio/beenox/"
Big Jump Entertainment,Canadá,Ottawa,https://bigjumpent.com/,nao,nao_encontrada,,,"Pagina de carreiras lida (https://bigjumpent.com/careers/): nenhum titulo da disciplina no HTML. Pode ser quadro carregado por JavaScript, que nao da para ler sem navegador. | ficha: https://3dvf.com/en/studio/big-jump-entertainment/"
Big Studios Inc,Canadá,Toronto,https://www.bigstudios.com/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/big-studios-inc/"
BKOM Studios,Canadá,Quebec,https://www.bkomstudios.com/,nao,nao_encontrada,,,"Pagina de carreiras lida (https://jobs.bkom.com/jobs/Careers): nenhum titulo da disciplina no HTML. Pode ser quadro carregado por JavaScript, que nao da para ler sem navegador. | ficha: https://3dvf.com/en/studio/bkmo-studios/"
Blackbird Interactive,Canadá,Vancouver,https://blackbirdinteractive.com/,sim,nao_verificado,,,Ja conhecido pela campanha (nome): Blackbird Interactive. Nao revarrido nesta rodada. | ficha: https://3dvf.com/en/studio/blackbird-interactive/
BLVD,Canadá,Montreal,https://blvd-mtl.com/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/blvd/"
Bron Animation,Canadá,Burnaby,https://bronstudios.com/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/bron-studios/"
BUF Montreal,Canadá,Montreal,https://www.buf.com/,sim,nao_verificado,,,Ja conhecido pela campanha (dominio): BUF. Nao revarrido nesta rodada. | ficha: https://3dvf.com/en/studio/buf-montreal/
By The Booth,Canadá,Toronto,https://bythebooth.com/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/by-the-booth/"
Cartoon Conrad Productions,Canadá,Beaver Bank,https://cartoonconrad.com/,nao,nao_encontrada,,,"Pagina de carreiras lida (https://cartoonconrad.com/contact/jobs.html): nenhum titulo da disciplina no HTML. Pode ser quadro carregado por JavaScript, que nao da para ler sem navegador. | ficha: https://3dvf.com/en/studio/cartoon-conrad-productions/"
Chuck Gammage Animation,Canadá,Toronto,https://www.cganim.com/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/chuck-gammage-animation/"
Cinesite,Canadá,Vancouver,https://www.cinesite.com/,sim,nao_verificado,,,"Ja conhecido pela campanha (dominio): Cinesite (Holger Voss, Group Head of CG VFX). Nao revarrido nesta rodada. | ficha: https://3dvf.com/en/studio/cinesite/"
Company 3,Canadá,Los Angeles,https://www.company3.com/,nao,nao_encontrada,,,"Pagina de carreiras lida (https://www.company3.com/careers/): nenhum titulo da disciplina no HTML. Pode ser quadro carregado por JavaScript, que nao da para ler sem navegador. | ficha: https://3dvf.com/en/studio/company-three/"
Copernicus Animation Studios,Canadá,Halifax,https://www.copernicusstudios.com/,sim,nao_verificado,,,Ja conhecido pela campanha (nome): Copernicus Studios. Nao revarrido nesta rodada. | ficha: https://3dvf.com/en/studio/copernicus-animation-studios/
CoSA Visual Effects,Canadá,Vancouver,https://cosavfx.com/,nao,nao_verificado,,,Site nao respondeu ao curl (home inacessivel); board nao pode ser lido sem navegador. | ficha: https://3dvf.com/en/studio/cosa-visual-effects/
Crafty Apes,Canadá,Vancouver,https://www.craftyapes.com/,sim,nao_verificado,,,Ja conhecido pela campanha (nome): Crafty Apes (Vancouver e mais cinco escritorios) - quadro no Dayforce LIDO em 07/09: sem v. Nao revarrido nesta rodada. | ficha: https://3dvf.com/en/studio/crafty-apes/
Deluxe Animation,Canadá,Toronto,https://www.deluxeanimation.com/,nao,nao_verificado,,,Site nao respondeu ao curl (home inacessivel); board nao pode ser lido sem navegador. | ficha: https://3dvf.com/en/studio/deluxe-animation/
Digital Dimension,Canadá,Montreal,https://www.digitaldimension.com/,sim,nao_verificado,,,Ja conhecido pela campanha (dominio): Digital Dimension (Saturday). Nao revarrido nesta rodada. | ficha: https://3dvf.com/en/studio/digital-dimension/
Digital Ronin,Canadá,Hammonds Plains,https://digitalronin.ca/#home,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/digital-ronin/"
DNEG,Canadá,Vancouver,https://www.dneg.com/,sim,nao_verificado,,,Ja conhecido pela campanha (dominio): DNEG Animation. Nao revarrido nesta rodada. | ficha: https://3dvf.com/en/studio/dneg/
Down Smash Studios,Canadá,Richmond Hill,https://www.downsmashstudios.com/#/home,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/down-smash-studios/"
Drink Box Studios,Canadá,Toronto,https://drinkboxstudios.com/blog/,sim,nao_verificado,,,Ja conhecido pela campanha (dominio): DrinkBox Studios. Nao revarrido nesta rodada. | ficha: https://3dvf.com/en/studio/drink-box-studios/
Eggplant Picture &#038; Sound,Canadá,Toronto Eggplant Picture & Sound,https://www.eggplantps.com/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/eggplant-picture-sound/"
Electronic Arts Vancouver,Canadá,Burnaby,https://www.ea.com/,sim,nao_verificado,,,"Ja conhecido pela campanha (dominio): Electronic Arts / Respawn Entertainment (Ryan Lastimosa, Franchise Art Director). Nao revarrido nesta rodada. | ficha: https://3dvf.com/en/studio/electronic-arts-vancouver/"
Elliot Animation,Canadá,Toronto,https://elliottanimation.ca/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/elliot-animation/"
FatBelly VFX,Canadá,Vancouver,,nao,nao_verificado,,,Sem site publicado na ficha 3DVF. | ficha: https://3dvf.com/en/studio/fatbelly-vfx/
Felix &#038; Paul Studios,Canadá,Montreal Felix & Paul Studios,https://www.felixandpaul.com/,nao,nao_encontrada,,,ATS detectado (bamboohr) e consultado por API: nenhuma vaga da disciplina no retorno. | ficha: https://3dvf.com/en/studio/felix-paul-studios/
Folks VFX,Canadá,Toronto,https://folksvfx.com/,nao,nao_encontrada,,,"Pagina de carreiras lida (https://folksvfx.com/careers/): nenhum titulo da disciplina no HTML. Pode ser quadro carregado por JavaScript, que nao da para ler sem navegador. | ficha: https://3dvf.com/en/studio/folks-vfx/"
Fort York VFX,Canadá,Toronto,https://www.fortyork.tv/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/fort-york-vfx/"
Framestore,Canadá,Montreal,https://www.framestore.com/,sim,nao_verificado,,,Ja conhecido pela campanha (dominio): Framestore. Nao revarrido nesta rodada. | ficha: https://3dvf.com/en/studio/framestore/
Frima Studio,Canadá,Quebec,https://www.frimastudio.com/en/,sim,nao_verificado,,,"Ja conhecido pela campanha (dominio): Frima Studio (Jimmy Lemay, VP Développement des marchés). Nao revarrido nesta rodada. | ficha: https://3dvf.com/en/studio/frima-studio/"
Fuse FX,Canadá,Vancouver,https://fusefx.com/,nao,nao_encontrada,,,"Pagina de carreiras lida (https://folksvfx.com/careers/): nenhum titulo da disciplina no HTML. Pode ser quadro carregado por JavaScript, que nao da para ler sem navegador. | ficha: https://3dvf.com/en/studio/fuse-fx/"
Gallus Entertainment,Canadá,Sudbury,https://gallusentertainment.com/,nao,nao_verificado,,,Site nao respondeu ao curl (home inacessivel); board nao pode ser lido sem navegador. | ficha: https://3dvf.com/en/studio/gallus-entertainment/
Gasket Games,Canadá,Vancouver,https://www.gasketgames.com/,nao,nao_encontrada,,,ATS detectado (bamboohr/bamboohr) e consultado por API: nenhuma vaga da disciplina no retorno. | ficha: https://3dvf.com/en/studio/gasket-games/
Goldtooth,Canadá,Vancouver,https://goldtooth.com/,nao,nao_encontrada,,,"Pagina de carreiras lida (https://goldtooth.com/careers/): nenhum titulo da disciplina no HTML. Pode ser quadro carregado por JavaScript, que nao da para ler sem navegador. | ficha: https://3dvf.com/en/studio/goldtooth/"
Guru Studio,Canadá,Toronto,https://gurustudio.com/,sim,nao_verificado,,,Ja conhecido pela campanha (dominio): Guru Studio. Nao revarrido nesta rodada. | ficha: https://3dvf.com/en/studio/guru-studio/
Head Gear Animation,Canadá,Toronto,https://www.headgearanimation.com/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/head-gear-animation/"
Hoplite Studio,Canadá,Montréal,https://hoplitevfx.com/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/hoplite/"
Hothead Games,Canadá,Vancouver,https://hotheadgames.com/,sim,nao_verificado,,,Ja conhecido pela campanha (dominio): Hothead Games. Nao revarrido nesta rodada. | ficha: https://3dvf.com/en/studio/hothead-games/
House Of Cool,Canadá,Toronto,https://houseofcool.com/,sim,nao_verificado,,,Ja conhecido pela campanha (dominio): House of Cool. Nao revarrido nesta rodada. | ficha: https://3dvf.com/en/studio/house-of-cool/
Huminah Huminah Animation,Canadá,Dartmouth,https://hhanimation.com/MainPage/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/huminah-huminah-animation/"
Hybride,Canadá,Montreal,https://hybride.com/,sim,nao_verificado,,,Ja conhecido pela campanha (dominio): Hybride. Nao revarrido nesta rodada. | ficha: https://3dvf.com/en/studio/hybride/
Ice VFX,Canadá,Montreal,https://www.icevfx.com/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/ice-vfx/"
ICON Creative Studio,Canadá,Vancouver Vancouver,https://www.iconcreativestudio.com/,sim,nao_verificado,,,Ja conhecido pela campanha (dominio): ICON Creative Studio. Nao revarrido nesta rodada. | ficha: https://3dvf.com/en/studio/icon-creative-studio/
Image Engine,Canadá,Vancouver,https://image-engine.com/,sim,nao_verificado,,,"Ja conhecido pela campanha (dominio): Image Engine (Barry Poon, Head of Assets). Nao revarrido nesta rodada. | ficha: https://3dvf.com/en/studio/image-engine/"
Industrial Brothers,Canadá,Toronto,https://www.industrialbrothers.com/,sim,nao_verificado,,,Ja conhecido pela campanha (dominio): Industrial Brothers. Nao revarrido nesta rodada. | ficha: https://3dvf.com/en/studio/industrial-brothers/
IOM Media,Canadá,Halifax,https://www.iom-media.com/,sim,nao_verificado,,,Ja conhecido pela campanha (dominio): IoM Media. Nao revarrido nesta rodada. | ficha: https://3dvf.com/en/studio/iom-media/
Jam Filled Entertainment,Canadá,Ottawa,https://www.jamfilled.com/,sim,nao_verificado,,,Ja conhecido pela campanha (dominio): Jam Filled Entertainment. Nao revarrido nesta rodada. | ficha: https://3dvf.com/en/studio/jam-filled-entertainment/
Kalos Studios,Canadá,Vancouver,https://www.kalosstudios.com/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/kalos-studios/"
Kerosene VFX,Canadá,Toronto,https://www.kerosenevfx.com/,sim,nao_verificado,,,Ja conhecido pela campanha (dominio): Kerosene VFX. Nao revarrido nesta rodada. | ficha: https://3dvf.com/en/studio/kerosene-vfx/
Key Frame Digital,Canadá,St Catharines,https://keyframe.ca/,sim,nao_verificado,,,Ja conhecido pela campanha (dominio): Keyframe Digital Productions. Nao revarrido nesta rodada. | ficha: https://3dvf.com/en/studio/key-frame-digital/
Klei Entertainment,Canadá,Vancouver,https://www.klei.com/,sim,nao_verificado,,,"Ja conhecido pela campanha (dominio): Klei Entertainment (Vancouver) - SEM-PORTA, quadro com zero vaga e so email. Nao revarrido nesta rodada. | ficha: https://3dvf.com/en/studio/klei-entertainment/"
Kreaturz,Canadá,Blainville,https://kreaturz.com/,nao,nao_verificado,,,Site nao respondeu ao curl (home inacessivel); board nao pode ser lido sem navegador. | ficha: https://3dvf.com/en/studio/kreaturz/
L&rsquo;Atelier Animation,Canadá,Montréal L'Atelier Animation,https://www.latelieranimation.com/,sim,nao_verificado,,,Ja conhecido pela campanha (dominio): LAtelier Animation (Candidature spontanee / Spontaneous application). Nao revarrido nesta rodada. | ficha: https://3dvf.com/en/studio/latelier-animation/
Linetest,Canadá,Vancouver,https://linetest.tv/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/linetest/"
Little Blackstone Studios,Canadá,Toronto,https://www.littleblackstone.ca/lbs2014/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/little-blackstone-studios/"
Lux Visual Effects,Canadá,Squamish,https://www.luxvfx.com/,nao,nao_verificado,,,"Home lida, sem link de carreiras identificavel; nenhum ATS detectado. | ficha: https://3dvf.com/en/studio/lux-visual-effects/"
Mainframe Studios,Canadá,Vancouver,https://www.mainframe.ca/,sim,nao_verificado,,,Ja conhecido pela campanha (dominio): Mainframe Studios. Nao revarrido nesta rodada. | ficha: https://3dvf.com/en/studio/mainframe-studios/
