data,estudio,email,draft_id,thread_id,fecho,coorte
2026-09-07,This Game Studio,info@thisgamestudio.com,r3260868995050560593,1a05b4b39e165a3d,A,26/08-01/09
2026-09-07,Wildseed Studios,jobs@wildseedstudios.com,r-4103012248195360129,1a05e00629f8c755,A,26/08-01/09
2026-09-07,KOG,KOG@kog.co.kr,r-3166022848231743870,1a06251184eeb004,A,26/08-01/09
2026-09-07,Ironroot Games,careers@ironrootgames.com,r-7934958738904813473,1a062513308dc070,A,26/08-01/09
2026-09-07,Blue Isle Studios,jobs@blueislestudios.com,r-1395529005032248636,1a062510d238ab8e,A,26/08-01/09
2026-09-07,Artzee,talents@artzee.sg,r9109906672441757182,1a06250c1f45f68d,A,26/08-01/09
2026-09-07,Singularity 6,hello@singularity6.com,r5817012241368366009,1a06250b6433b234,A,26/08-01/09
2026-09-07,Aggro Crab,contact@aggrocrab.com,r7017016674460213795,1a0625092f6091cc,A,26/08-01/09
2026-09-07,Sunblink Entertainment,info@sunblink.com,r2781143636428464497,1a0625071aeaddb6,A,26/08-01/09
2026-09-07,Sparky Animation,jobs@sparkyanim.com,r1035590792525938451,1a062505ef240b93,A,26/08-01/09
2026-09-07,Sans Strings Studio,talent@sansstrings.studio,r-9027395105154140014,1a06250454be9c6a,A,26/08-01/09
2026-09-07,Young Horses,jobs@younghorsesgames.com,r-1851103393193569484,1a0625010907adce,A,26/08-01/09
2026-09-07,HOUND13,hr@hound13.com,r-3170883182641303678,1a06250101abb4f6,A,26/08-01/09
2026-09-07,Playful Studios,hiring@playfulstudios.com,r7735259629573120591,1a0624fed83c4ca6,A,26/08-01/09
2026-09-07,Devsisters,career@devsisters.com,r-2351670654524066701,1a0624fe8daa8208,A,26/08-01/09
2026-09-07,Hidden Path Entertainment,jobs@hiddenpath.com,r6033399557868965954,1a0624fc7c40437e,A,26/08-01/09
2026-09-07,Pearl Abyss,recruit@pearlabyss.com,r7777943532174272803,1a0624fc0798839e,A,26/08-01/09
2026-09-07,Moonbug Entertainment,hr@moonbug.com,r-5981793951672055412,1a0624fa0ede387c,A,26/08-01/09
2026-09-07,SHIFT UP,recruit@shiftup.co.kr,r6854540722319341186,1a0624f98238c6f7,A,26/08-01/09
2026-09-07,BUCK,jobs@buck.co,r-191216882560604578,1a0624f57bfd69c0,A,26/08-01/09
2026-09-07,Runaway Play,kylie@runawayplay.com,r-374279901412814974,1a0624f1e03f066e,A,26/08-01/09
2026-09-07,Blind Squirrel Games,careers@blindsquirrelgames.com,r6424224460369263711,1a0624f09248780f,A,26/08-01/09
2026-09-07,Cirkus,work@cirkus.nz,r-6315056506814470605,1a0624ef7b172b75,A,26/08-01/09
2026-09-07,Liquid Development,jobs@liquiddevelopment.com,r4236042594992600716,1a0624ee3d1e4623,A,26/08-01/09
2026-09-07,Flux Media,talent@fluxmedia.co.nz,r-3182217530033804731,1a0624ec142471b8,A,26/08-01/09
2026-09-07,Gunfire Games,jobs@gunfiregames.com,r-3051755783851009343,1a0624eb9a6be289,A,26/08-01/09
2026-09-07,Grinding Gear Games,jobs@grindinggear.com,r5852758898271263200,1a0624e9b75c2ce2,A,26/08-01/09
2026-09-07,Deck Nine Games,jobs@deckninegames.com,r3949035258420837673,1a0624e866139b86,A,26/08-01/09
2026-09-07,Weta FX,recruitment@wetafx.co.nz,r8421648351847058553,1a0624e6f7f20c6c,A,26/08-01/09
2026-09-07,Traega Entertainment,jobs@traega.com,r-8723147741316066352,1a0624e63b4236a2,A,26/08-01/09
2026-09-07,Weta Workshop,recruitment@wetaworkshop.co.nz,r-5501150057412317812,1a0624e4954e754b,A,26/08-01/09
2026-09-07,Heart Machine,jobs@heart-machine.com,r-3020393731184761660,1a0624e3d57dac4f,A,26/08-01/09
2026-09-07,Rising Sun Pictures,recruitment@rsp.com.au,r-1343778166484114331,1a0624e1d4454ceb,A,26/08-01/09
2026-09-07,Hipster Whale,jobs@hipsterwhale.com,r-7235810282557250256,1a0624df46115cb4,A,26/08-01/09
2026-09-07,Yukfoo Animation,work@yukfoo.net,r5440984227798538427,1a0624dcd50bdcb0,A,26/08-01/09
2026-09-07,Kapow Pictures,producer@kapowpictures.com,r-4118174440011143750,1a0624d9eb343707,A,26/08-01/09
2026-09-07,Mighty Coconut,jobs@mightycoconut.com,r-8080391128869409487,1a0624d7ba519064,A,26/08-01/09
2026-09-07,Elysium Studios,info@elysiumstudios.tv,r-5821234980253677817,1a0624d7939ab244,A,26/08-01/09
2026-09-07,Robot Playground Media,hello@robotplaygroundmedia.com,r-2660918616993145364,1a06250e79c63460,A,26/08-01/09
2026-09-07,Robot Entertainment,recruiting@robotentertainment.com,r-1081678839260925398,1a0624d2fe616bef,A,26/08-01/09
2026-09-07,Bohemia Interactive,jobs@bohemia.net,r-6354424173710861468,1a0624315a4b06ea,A,26/08-01/09
2026-09-07,Vertigo Games,jobs@vertigo-games.com,r7843721261763821050,1a06242c8ba0bdf3,A,26/08-01/09
2026-09-07,Bubblebird Studio,contact@bubblebirdstudio.com,r-321349786517252933,1a062429e0312c87,A,26/08-01/09
2026-09-07,Fabrique Fantastique,info@fabriquefantastique.be,r-1256092665417900056,1a062421fe34ba02,A,26/08-01/09
2026-09-07,Abrakam Entertainment,careers@abrakam.com,r4860138726119802343,1a06241f9ea51bc9,A,26/08-01/09
2026-09-07,Triangle Factory,work@triangle-factory.be,r-2272155766357965949,1a06241d328ba401,A,26/08-01/09
2026-09-07,Glowfish Interactive,jobs@glowfishinteractive.com,r-8667085239063485061,1a06241ad997a838,A,26/08-01/09
2026-09-07,Appeal Studios,job@appeal-studios.com,r3398676912961548667,1a062418685991d6,A,26/08-01/09
2026-09-07,Millimages,recrutement@millimages.com,r-5951690142818875143,1a062415f39258df,A,26/08-01/09
2026-09-07,Twin Win Games,info@twinwingames.com,r-3628800914925824734,1a06241540baea01,A,26/08-01/09
2026-09-07,Eisko,contact@eisko.com,r6477225612186064779,1a0624138eece94d,A,26/08-01/09
2026-09-07,Terminal FX,info@terminalfx.com,r-6721761502376125644,1a0624131630ca88,A,26/08-01/09
2026-09-07,Trimaran VFX,contact@trimaran.com,r-2540488198935460053,1a062410fdd50a30,A,26/08-01/09
2026-09-07,Eschatology Entertainment,info@ee.games,r-4631984002445196547,1a062410acfb19f7,A,26/08-01/09
2026-09-07,Hocus Pocus Studio,job@hocuspocus-studio.fr,r-2653650772417712075,1a06240cff118f19,A,26/08-01/09
2026-09-07,Team Clout,job@clout.games,r2049423745799764192,1a06240afdf02499,A,26/08-01/09
2026-09-07,BUF,jobs_paris@buf.com,r-2620226903337747091,1a06240aa3f626fd,A,26/08-01/09
2026-09-07,Unfrozen,job@unfrozen.studio,r7328596549081581826,1a06240884e2b0dc,A,26/08-01/09
2026-09-07,Old Skull Games,contact@oldskullgames.com,r7681760677736304569,1a06240808f6e7ad,A,26/08-01/09
2026-09-07,VEA Games,info@veagames.com,r7666523985669472188,1a062405f88d8da0,A,26/08-01/09
2026-09-07,Tindalos Interactive,contact@tindalos-interactive.com,r4917478169752810259,1a062405b36623da,A,26/08-01/09
2026-09-07,Microids,recruitment@microids.com,r3581511761110244,1a0624034574c126,A,26/08-01/09
2026-09-07,Tactical Adventures,jobs@tactical-adventures.com,r-1003992540135464226,1a062400d9575d45,A,26/08-01/09
2026-09-07,Eden Games,job@edengames.com,r-5444495994203381584,1a0623fe69abc4a1,A,26/08-01/09
2026-09-07,The Animation Band,info@theanimationband.it,r-5852766375579671466,1a0623fe02188e94,A,26/08-01/09
2026-09-07,Artefacts Studio,job@artefacts-studio.fr,r4247976502595813895,1a0623fbd0b22ecb,A,26/08-01/09
2026-09-07,Studio Evil,jobs@studioevil.com,r-8393483721947222687,1a0623f94d510fb0,A,26/08-01/09
2026-09-07,Moonraker VFX,hello@moonrakervfx.com,r-9125565656111380757,1a0623f701cb7a0b,A,26/08-01/09
2026-09-07,Raylight Games,jobs@raylightgames.com,r7472949565093754513,1a0623f05c20de50,A,26/08-01/09
2026-09-07,Bossa Studios,jobs@bossastudios.com,r3922381972145174441,1a0632264b697aa7,A,02/09
2026-09-07,Cinemotion,info@cinemotion.bg,r-6077872487756017850,1a06322695cff2c8,B,02/09
2026-09-07,Artjail,jobs.toronto@artjail.com,r-5324504774231186672,1a063228cfa17a52,A,02/09
2026-09-07,CAOZ,info@caoz.com,r-8985834119434193603,1a063228f03d7558,B,02/09
2026-09-07,Krillbite Studio,application@krillbite.com,r-857501792141984705,1a06322b445befb1,A,02/09
2026-09-07,Hybride,cv@hybride.com,r4624974248670904665,1a06322d7ced75c1,B,02/09
2026-09-07,Jo-Mei Games,info@jo-mei.com,r8693404979339301891,1a06322dfd9e412a,A,02/09
2026-09-07,Day For Nite,contact@dayfornite.com,r7217604280356570062,1a06322fd4831741,B,02/09
2026-09-07,Flickerpix,jobs@flickerpix.com,r3202787509637304098,1a06322ff45b30f7,A,02/09
2026-09-07,Digital Rain Studios,office@digitalrain.at,r-2867603301021262138,1a06323058b2cbcf,B,02/09
2026-09-07,Playfight,hello@playfight.com,r5199718406153430539,1a0632322882a2e9,A,02/09
2026-09-07,Hahn Film,info@hahnfilm.com,r6160560583324099926,1a0632327ba9d2a5,B,02/09
2026-09-07,Reactiv,hiring@getreactiv.com,r6309622505223322893,1a06323481aabdfa,A,02/09
2026-09-07,The Thinklab,info@thethinklab.com,r-6900231174923028553,1a063235060f8d57,B,02/09
2026-09-07,SnowDog Studio,info@snowdogfx.com,r904407191426918844,1a063236e3518486,A,02/09
2026-09-07,DrinkBox Studios,jobs@drinkboxstudios.com,r-243714591995280841,1a063236f10f8cc1,B,02/09
2026-09-07,Mago Production,jobs@magoproduction.com,r893779418649304659,1a0632374249078a,A,02/09
2026-09-07,Gunzilla Games,job@gunzillagames.com,r-5476559024440121714,1a06323baf0add9a,B,02/09
2026-09-07,AAA Game Art Studio,hr@aaagameartstudio.com,r-8805711071910035622,1a06323c9c5aed39,A,02/09
2026-09-07,SEHSUCHT,contact@sehsucht.de,r-1828053571013317028,1a06323e5eb22963,B,02/09
2026-09-07,Mundfish,hr@mundfish.com,r-177017539787888571,1a06323f2720d8f9,A,02/09
2026-09-07,13AM Games,contact@13amgames.com,r7848139621861878329,1a06324044e39763,B,02/09
2026-09-07,Polynoid,contact@polynoid.tv,r-5236396173332217021,1a06324098bfbc67,A,02/09
2026-09-07,Cut to Bits,info@cuttobits.com,r8408382761743561070,1a063242a2be5e40,B,02/09
2026-09-07,NOLABEL,office@nolabel.com.pl,r-8480078582819150350,1a06324328d4a130,A,02/09
2026-09-07,Mascista,info@mascista.com,r8518310624911195219,1a063243ef20cffe,B,02/09
2026-09-07,Badi Badi,hello@badibadi.com,r-4471171186021446277,1a06324573ba7fef,A,02/09
2026-09-07,Monigotes Estudio,info@monigotestudio.es,r-2109001730126307124,1a06324671ee3a4a,B,02/09
2026-09-07,Siege Camp,jobs@siegecamp.com,r-6382738743669677968,1a0632478461ff7f,A,02/09
2026-09-07,User T38,jobs@usert38.com,r6678764605470936378,1a06324b2885e89a,B,02/09
2026-09-07,viennaFX,office@vfx.at,r-9065917405987359439,1a06324c05a6f430,A,02/09
2026-09-07,Look North World,resumes@looknorth.world,r-3556707450331700682,1a06324c1bc46a07,B,02/09
2026-09-07,Dibulitoon Studio,dibu@dibulitoon.com,r2592541698214060960,1a06324d779b40bb,A,02/09
2026-09-07,About Fun,hr@about-fun.com,r8548446153448022047,1a06324e775ddf9e,B,02/09
2026-09-07,Harebrained Schemes,info@hbs-studios.com,r8646069485189076410,1a0632504fbb509a,A,02/09
2026-09-07,Red Monk Studio,info@redmonkstudio.com,r-5899370718102990177,1a063250daf22f4b,B,02/09
2026-09-07,Mirage VFX,jobs@mirage-vfx.com,r6900488368936299677,1a063250fe72ded5,A,02/09
2026-09-07,Witch Beam,info@witchbeam.com.au,r7656299633742949315,1a063255910804f8,B,02/09
2026-09-07,Babaroga,contact@babaroga.com,r-5644559950743686418,1a06325772d9031a,A,02/09
2026-09-07,HiFi 3D,staffing@hifi3d.com,r-1753840470650857090,1a063259b9376666,B,02/09
2026-09-07,Divine Studios,hello@divinestudios.io,r-2719402120160885593,1a063259c06acf8a,A,02/09
2026-09-07,Atent Games,contact@atentgames.com,r-4268503855412995279,1a06325a8edc3dd8,B,02/09
2026-09-07,The Juggernaut,contact@thejuggernaut.ca,r-3270665960896395490,1a06325c0ffe4d7a,A,02/09
2026-09-07,Flightless,info@flightless.co.nz,r7616239267492466025,1a06325c2f94a3a5,B,02/09
2026-09-07,Lumatic,info@lumatic.xyz,r-3722422568205457429,1a06325cf7043890,A,02/09
2026-09-07,Trust Studio,truststudio@truststudio.co.kr,r527832166474888667,1a06325ef07b51cc,B,02/09
2026-09-07,Resin,production@resin.com.au,r6685472561717451115,1a063260d6ba65b8,A,02/09
2026-09-07,Alt.VFX,recruitment@altvfx.com,r-8270030490701433683,1a0633acd21ed25c,B,02/09
2026-09-07,Nabi Studios,hampus@nabistudios.com,r-5275933778576313553,1a0633b17d879a6d,A,02/09
2026-09-07,Dreamcraft Entertainment,jobs@dreamcraft.com,r1173821755618666357,1a060770e0976689,B,02/09
2026-09-07,Panache Digital Games,jobs@panachedigitalgames.com,r-6292963669721863260,1a06250e171fdd53,A,02/09
2026-09-07,Stardust Effects,elena@stardusteffects.no,r-1663000975361662947,1a06259454a25e34,B,02/09
2026-09-07,Tumblehead,contact@tumblehead.com,r4680793052879466883,1a062591e828d6f0,A,02/09
2026-09-07,UPP,joinupp@upp.cz,r7308616330205695470,1a06258e62ce0df7,B,02/09
2026-09-07,Limbic Entertainment,applications@limbic-entertainment.com,r-6236066124653282657,1a06258bca884a05,A,02/09
2026-09-07,Filmic Art,jobb@filmic.se,r1868770600746245484,1a0625830f63b076,B,02/09
2026-09-07,Angry Mob Games,contact@angrymobgames.com,r2436210528355529261,1a0625790a593011,A,02/09
2026-09-07,Illusion Ray,jobs@illusionray.com,r-5906973742630652088,1a0625741c9ba19a,B,02/09
2026-09-07,Snapshot Games,jobs@snapshotgames.com,r-8774636420308309836,1a06256f28a57d24,A,02/09
2026-09-07,Haemimont Games,jobs@haemimontgames.com,r-8899311253911369889,1a06256bf878af74,B,02/09
2026-09-07,Stunlock Studios,contact@stunlockstudios.com,r-738746389062922799,1a0625698bb7a310,A,02/09
2026-09-07,Fast Travel Games,career@fasttravelgames.com,r2106246162371605281,1a06255fb6c4cced,B,02/09
2026-09-07,Traumhaus Studios,jobs@traumhaus-studios.de,r-1534950522602749710,1a06255abeef7f84,A,02/09
2026-09-07,Animationsfabrik,anne.weiss@animationsfabrik.de,r-3144824379434028974,1a062558551cad17,B,02/09
2026-09-07,MagicLab,jobs@magiclab.cz,r-5669665774280790146,1a062555c8521b69,A,02/09
2026-09-07,Eallin,jobs@eallin.com,r6387859476108882753,1a06254fe0a5d695,B,02/09
