data,estudio,email,thread_id,draft_id,status
2026-09-07,KOG,KOG@kog.co.kr,1a06251184eeb004,r-3166022848231743870,enviado na thread pelo Vini em 07/09
2026-09-07,Ironroot Games,careers@ironrootgames.com,1a062513308dc070,r-7934958738904813473,enviado na thread pelo Vini em 07/09
2026-09-07,Blue Isle Studios,jobs@blueislestudios.com,1a062510d238ab8e,r-1395529005032248636,enviado na thread pelo Vini em 07/09
2026-09-07,Artzee,talents@artzee.sg,1a06250c1f45f68d,r9109906672441757182,enviado na thread pelo Vini em 07/09
2026-09-07,Singularity 6,hello@singularity6.com,1a06250b6433b234,r5817012241368366009,enviado na thread pelo Vini em 07/09
2026-09-07,Aggro Crab,contact@aggrocrab.com,1a0625092f6091cc,r7017016674460213795,enviado na thread pelo Vini em 07/09
2026-09-07,Sunblink Entertainment,info@sunblink.com,1a0625071aeaddb6,r2781143636428464497,enviado na thread pelo Vini em 07/09
2026-09-07,Sparky Animation,jobs@sparkyanim.com,1a062505ef240b93,r1035590792525938451,enviado na thread pelo Vini em 07/09
2026-09-07,Sans Strings Studio,talent@sansstrings.studio,1a06250454be9c6a,r-9027395105154140014,enviado na thread pelo Vini em 07/09
2026-09-07,Young Horses,jobs@younghorsesgames.com,1a0625010907adce,r-1851103393193569484,enviado na thread pelo Vini em 07/09
2026-09-07,HOUND13,hr@hound13.com,1a06250101abb4f6,r-3170883182641303678,enviado na thread pelo Vini em 07/09
2026-09-07,Playful Studios,hiring@playfulstudios.com,1a0624fed83c4ca6,r7735259629573120591,enviado na thread pelo Vini em 07/09
2026-09-07,Devsisters,career@devsisters.com,1a0624fe8daa8208,r-2351670654524066701,enviado na thread pelo Vini em 07/09
2026-09-07,Hidden Path Entertainment,jobs@hiddenpath.com,1a0624fc7c40437e,r6033399557868965954,enviado na thread pelo Vini em 07/09
2026-09-07,Pearl Abyss,recruit@pearlabyss.com,1a0624fc0798839e,r7777943532174272803,enviado na thread pelo Vini em 07/09
2026-09-07,Moonbug Entertainment,hr@moonbug.com,1a0624fa0ede387c,r-5981793951672055412,enviado na thread pelo Vini em 07/09
2026-09-07,SHIFT UP,recruit@shiftup.co.kr,1a0624f98238c6f7,r6854540722319341186,enviado na thread pelo Vini em 07/09
2026-09-07,BUCK,jobs@buck.co,1a0624f57bfd69c0,r-191216882560604578,enviado na thread pelo Vini em 07/09
2026-09-07,Runaway Play,kylie@runawayplay.com,1a0624f1e03f066e,r-374279901412814974,enviado na thread pelo Vini em 07/09
2026-09-07,Blind Squirrel Games,careers@blindsquirrelgames.com,1a0624f09248780f,r6424224460369263711,enviado na thread pelo Vini em 07/09
2026-09-07,Cirkus,work@cirkus.nz,1a0624ef7b172b75,r-6315056506814470605,enviado na thread pelo Vini em 07/09
2026-09-07,Liquid Development,jobs@liquiddevelopment.com,1a0624ee3d1e4623,r4236042594992600716,enviado na thread pelo Vini em 07/09
2026-09-07,Flux Media,talent@fluxmedia.co.nz,1a0624ec142471b8,r-3182217530033804731,enviado na thread pelo Vini em 07/09
2026-09-07,Gunfire Games,jobs@gunfiregames.com,1a0624eb9a6be289,r-3051755783851009343,enviado na thread pelo Vini em 07/09
2026-09-07,Grinding Gear Games,jobs@grindinggear.com,1a0624e9b75c2ce2,r5852758898271263200,enviado na thread pelo Vini em 07/09
2026-09-07,Deck Nine Games,jobs@deckninegames.com,1a0624e866139b86,r3949035258420837673,enviado na thread pelo Vini em 07/09
2026-09-07,Weta FX,recruitment@wetafx.co.nz,1a0624e6f7f20c6c,r8421648351847058553,enviado na thread pelo Vini em 07/09
2026-09-07,Traega Entertainment,jobs@traega.com,1a0624e63b4236a2,r-8723147741316066352,enviado na thread pelo Vini em 07/09
2026-09-07,Weta Workshop,recruitment@wetaworkshop.co.nz,1a0624e4954e754b,r-5501150057412317812,enviado na thread pelo Vini em 07/09
2026-09-07,Heart Machine,jobs@heart-machine.com,1a0624e3d57dac4f,r-3020393731184761660,enviado na thread pelo Vini em 07/09
2026-09-07,Rising Sun Pictures,recruitment@rsp.com.au,1a0624e1d4454ceb,r-1343778166484114331,enviado na thread pelo Vini em 07/09
2026-09-07,Hipster Whale,jobs@hipsterwhale.com,1a0624df46115cb4,r-7235810282557250256,enviado na thread pelo Vini em 07/09
2026-09-07,Yukfoo Animation,work@yukfoo.net,1a0624dcd50bdcb0,r5440984227798538427,enviado na thread pelo Vini em 07/09
2026-09-07,Kapow Pictures,producer@kapowpictures.com,1a0624d9eb343707,r-4118174440011143750,enviado na thread pelo Vini em 07/09
2026-09-07,Mighty Coconut,jobs@mightycoconut.com,1a0624d7ba519064,r-8080391128869409487,enviado na thread pelo Vini em 07/09
2026-09-07,Elysium Studios,info@elysiumstudios.tv,1a0624d7939ab244,r-5821234980253677817,enviado na thread pelo Vini em 07/09
2026-09-07,Robot Playground Media,hello@robotplaygroundmedia.com,1a06250e79c63460,r-2660918616993145364,enviado na thread pelo Vini em 07/09
2026-09-07,Robot Entertainment,recruiting@robotentertainment.com,1a0624d2fe616bef,r-1081678839260925398,enviado na thread pelo Vini em 07/09
2026-09-07,Bohemia Interactive,jobs@bohemia.net,1a0624315a4b06ea,r-6354424173710861468,enviado na thread pelo Vini em 07/09
2026-09-07,Vertigo Games,jobs@vertigo-games.com,1a06242c8ba0bdf3,r7843721261763821050,enviado na thread pelo Vini em 07/09
2026-09-07,Bubblebird Studio,contact@bubblebirdstudio.com,1a062429e0312c87,r-321349786517252933,enviado na thread pelo Vini em 07/09
2026-09-07,Fabrique Fantastique,info@fabriquefantastique.be,1a062421fe34ba02,r-1256092665417900056,enviado na thread pelo Vini em 07/09
2026-09-07,Abrakam Entertainment,careers@abrakam.com,1a06241f9ea51bc9,r4860138726119802343,enviado na thread pelo Vini em 07/09
2026-09-07,Triangle Factory,work@triangle-factory.be,1a06241d328ba401,r-2272155766357965949,enviado na thread pelo Vini em 07/09
2026-09-07,Glowfish Interactive,jobs@glowfishinteractive.com,1a06241ad997a838,r-8667085239063485061,enviado na thread pelo Vini em 07/09
2026-09-07,Appeal Studios,job@appeal-studios.com,1a062418685991d6,r3398676912961548667,enviado na thread pelo Vini em 07/09
2026-09-07,Millimages,recrutement@millimages.com,1a062415f39258df,r-5951690142818875143,enviado na thread pelo Vini em 07/09
2026-09-07,Twin Win Games,info@twinwingames.com,1a06241540baea01,r-3628800914925824734,enviado na thread pelo Vini em 07/09
2026-09-07,Eisko,contact@eisko.com,1a0624138eece94d,r6477225612186064779,enviado na thread pelo Vini em 07/09
2026-09-07,Terminal FX,info@terminalfx.com,1a0624131630ca88,r-6721761502376125644,enviado na thread pelo Vini em 07/09
2026-09-07,Trimaran VFX,contact@trimaran.com,1a062410fdd50a30,r-2540488198935460053,enviado na thread pelo Vini em 07/09
2026-09-07,Eschatology Entertainment,info@ee.games,1a062410acfb19f7,r-4631984002445196547,enviado na thread pelo Vini em 07/09
2026-09-07,Hocus Pocus Studio,job@hocuspocus-studio.fr,1a06240cff118f19,r-2653650772417712075,enviado na thread pelo Vini em 07/09
2026-09-07,Team Clout,job@clout.games,1a06240afdf02499,r2049423745799764192,enviado na thread pelo Vini em 07/09
2026-09-07,BUF,jobs_paris@buf.com,1a06240aa3f626fd,r-2620226903337747091,enviado na thread pelo Vini em 07/09
2026-09-07,Unfrozen,job@unfrozen.studio,1a06240884e2b0dc,r7328596549081581826,enviado na thread pelo Vini em 07/09
2026-09-07,Old Skull Games,contact@oldskullgames.com,1a06240808f6e7ad,r7681760677736304569,enviado na thread pelo Vini em 07/09
2026-09-07,VEA Games,info@veagames.com,1a062405f88d8da0,r7666523985669472188,enviado na thread pelo Vini em 07/09
2026-09-07,Tindalos Interactive,contact@tindalos-interactive.com,1a062405b36623da,r4917478169752810259,enviado na thread pelo Vini em 07/09
2026-09-07,Microids,recruitment@microids.com,1a0624034574c126,r3581511761110244,enviado na thread pelo Vini em 07/09
2026-09-07,Tactical Adventures,jobs@tactical-adventures.com,1a062400d9575d45,r-1003992540135464226,enviado na thread pelo Vini em 07/09
2026-09-07,Eden Games,job@edengames.com,1a0623fe69abc4a1,r-5444495994203381584,enviado na thread pelo Vini em 07/09
2026-09-07,The Animation Band,info@theanimationband.it,1a0623fe02188e94,r-5852766375579671466,enviado na thread pelo Vini em 07/09
2026-09-07,Artefacts Studio,job@artefacts-studio.fr,1a0623fbd0b22ecb,r4247976502595813895,enviado na thread pelo Vini em 07/09
2026-09-07,Studio Evil,jobs@studioevil.com,1a0623f94d510fb0,r-8393483721947222687,enviado na thread pelo Vini em 07/09
2026-09-07,Moonraker VFX,hello@moonrakervfx.com,1a0623f701cb7a0b,r-9125565656111380757,enviado na thread pelo Vini em 07/09
2026-09-07,Raylight Games,jobs@raylightgames.com,1a0623f05c20de50,r7472949565093754513,enviado na thread pelo Vini em 07/09
