data,regiao,estudio,email,draft_id
2026-09-02,eu_west,Bohemia Interactive,jobs@bohemia.net,r5567751525216686697
2026-09-02,eu_south,Illusorium Studios,cv@illusoriumstudios.com,r4145768328386285484
2026-09-02,eu_south,Alkimia Interactive (THQ Nordic Barcelona),jobs@thqnordicbcn.com,r-2585469796641094530
2026-09-02,eu_south,Crema,info@cremagames.com,r-7427228054163804189
2026-09-02,eu_south,Chibig,info@chibig.com,r-9216567523551511226
2026-09-02,eu_south,Infinigon Games,info@infinigongames.com,r-4922553421100614338
2026-09-02,eu_south,TomaVision,hola@tomavision.net,r-6335079542520683417
2026-09-02,eu_south,The Breach Studios,info@thebreachstudios.com,r-4325557695374869017
2026-09-02,eu_south,Drakhar Studio,jobs@drakharstudio.com,r-4183240897680458297
2026-09-02,eu_south,Mercurysteam,info@mercurysteam.com,r7705355462612764048
2026-09-02,eu_south,El Ranchito,jobs@elranchito.es,r6940288801279848981
2026-09-02,eu_south,Antaruxa,info@antaruxa.com,r-2759882930487171915
2026-09-02,eu_south,Melbot Studios,info@melbot.es,r8474600745315064965
2026-09-02,eu_south,Morgana Studios,info@morganastudios.com,r-3336669887658847767
2026-09-02,eu_south,Alive VFX,empleo@alivevfx.com,r4938725504206242316
2026-09-02,eu_south,Dark Cloud Games,rh@darkcloud.games,r7286573911176252850
2026-09-02,eu_south,Nu Boyana Portugal / Lusco Fusco Animation,hello@nuboyana.pt,r2460557109166310046
2026-09-02,eu_south,Ground Control Studios,jobs@gcontrolgames.com,r1278139006813974958
2026-09-02,eu_south,Jyamma Games,careers@jyammagames.com,r-1384908109677749992
2026-09-02,eu_south,Reply Game Studios,jobs.rgs@reply.it,r-7907412665669853201
2026-09-02,eu_south,Raylight Games,jobs@raylightgames.com,r-3072196317129079257
2026-09-02,eu_south,Studio Bozzetto & Co,studio@studiobozzetto.com,r1055482169290012010
2026-09-02,eu_south,Studio Evil,jobs@studioevil.com,r-1700979195378940510
2026-09-02,eu_south,34BigThings,careers@34bigthings.com,r-4077047147146099498
2026-09-02,eu_south,The Animation Band,info@theanimationband.it,r-1589497859966296594
2026-09-02,eu_south,4A Games (Malta),contact@4a-games.com.mt,r-6406352574581155106
2026-09-02,eu_south,Electric Square (Malta),charlotte.pook@electricsquare.com,r1959255658711316012
2026-09-02,eu_south,VEA Games,info@veagames.com,r-8668179017068550229
2026-09-02,eu_south,Unfrozen,job@unfrozen.studio,r2559836331923061554
2026-09-02,eu_south,Team Clout,job@clout.games,r1705594012697347162
2026-09-02,eu_south,Pushka Studios,hr@pushkastudios.com,r7654777735323128648
2026-09-02,eu_south,Eschatology Entertainment,info@ee.games,r4595989893871694473
2026-09-02,eu_south,Terminal FX,info@terminalfx.com,r-7653731886400638928
2026-09-02,eu_south,Twin Win Games,info@twinwingames.com,r7967263472138287642
2026-09-02,eu_north,Milford,careers@milford.se,r8922901525790363243
2026-09-02,eu_north,Brikk Animation,work@brikk.se,r3969723670108677256
2026-09-02,eu_north,Light Brick Studio,jobs@lightbrick.com,r8869038078022137453
2026-09-02,eu_north,Flashbulb Games,job@flashbulbgames.com,r3656314911076933349
2026-09-02,eu_north,Purple Lamp (THQ Nordic),office@purplelamp.com,r5447689541795958794
2026-09-02,eu_north,Black Forest Games (THQ Nordic),jobs@bfgames.biz,r111874087818378213
2026-09-02,eu_north,Frozenbyte,jobs@frozenbyte.com,r2266533113711744576
2026-09-02,eu_north,No Brakes Games,jobs@nobrakesgames.com,r5835862465290164236
2026-09-02,eu_north,Eallin,jobs@eallin.com,r-8222226949547266870
2026-09-02,eu_north,Alien Studio,jobs@alien.sk,r-2026550952674361523
2026-09-02,eu_north,MagicLab,jobs@magiclab.cz,r-6654323293565940761
2026-09-02,eu_north,Animationsfabrik,anne.weiss@animationsfabrik.de,r-6383234957266901585
2026-09-02,eu_north,Traumhaus Studios,jobs@traumhaus-studios.de,r6108140380319176905
2026-09-02,eu_north,Caligari Film,jobs@caligari.film,r1836169979685833315
2026-09-02,eu_north,Fast Travel Games,career@fasttravelgames.com,r-43836524090397719
2026-09-02,eu_north,Might and Delight,jobs@mightanddelight.com,r8464556872159769196
2026-09-02,eu_north,Landfall,info@landfall.se,r398039756856878262
2026-09-02,eu_north,Star Stable Entertainment,contact@starstable.com,r-9058217147945292528
2026-09-02,eu_north,Stunlock Studios,contact@stunlockstudios.com,r-7955783824578686115
2026-09-02,eu_north,Haemimont Games,jobs@haemimontgames.com,r-797001182121610249
2026-09-02,eu_north,Snapshot Games,jobs@snapshotgames.com,r-1728651281998360707
2026-09-02,eu_north,11 bit studios,jobs@11bitstudios.com,r-8295288786859156519
2026-09-02,eu_north,Illusion Ray,jobs@illusionray.com,r6461608662894259548
2026-09-02,eu_north,Vile Monarch,jobs@vilemonarch.com,r-2357065126593817916
2026-09-02,eu_north,Angry Mob Games,contact@angrymobgames.com,r-1521837420793572813
2026-09-02,eu_north,Henchman & Goon,jobs@henchmangoon.com,r6049198591229203524
2026-09-02,eu_north,Tumblehead,contact@tumblehead.com,r-3243626116475237586
2026-09-02,eu_north,Stardust Effects,elena@stardusteffects.no,r187990746159820167
2026-09-02,eu_north,Filmic Art,jobb@filmic.se,r476013538842945075
2026-09-02,eu_north,Parasol Island,hr@parasol-island.com,r-1812434793624251146
2026-09-02,eu_north,Mimic Productions,careers@mimicproductions.com,r6457889524072063556
2026-09-02,eu_north,Limbic Entertainment,applications@limbic-entertainment.com,r-2019240881889095016
2026-09-02,eu_north,UPP,joinupp@upp.cz,r-5485769247256523740
2026-09-02,na,Robot Entertainment,recruiting@robotentertainment.com,r7172951523955685623
2026-09-02,na,Owlchemy Labs,jobs@owlchemylabs.com,r6746014878818379941
2026-09-02,na,Mighty Coconut,jobs@mightycoconut.com,r9116516310010443287
2026-09-02,na,Raccoon Logic,jobs@raccoonlogic.com,r7741247159847759568
2026-09-02,na,KingsIsle Entertainment,info@kingsisle.com,r-7701336171274288249
2026-09-02,na,Playable Worlds,jobs@playableworlds.com,r-3470681170637391742
2026-09-02,na,Crytivo,jobs@crytivo.com,r-510719120661586733
2026-09-02,na,Heart Machine,jobs@heart-machine.com,r-3064192680574976836
2026-09-02,na,Traega Entertainment,jobs@traega.com,r-6516894672794608326
2026-09-02,na,Deck Nine Games,jobs@deckninegames.com,r-8917167042705132885
2026-09-02,na,Gunfire Games,jobs@gunfiregames.com,r-1186030011899037693
2026-09-02,na,Liquid Development,jobs@liquiddevelopment.com,r5287394174900904608
2026-09-02,na,Blind Squirrel Games,careers@blindsquirrelgames.com,r5540038120118917390
2026-09-02,na,Budge Studios,jobs@budgestudios.ca,r8681371554623320309
2026-09-02,na,BUCK,jobs@buck.co,r-6857170493080338099
2026-09-02,na,Nathan Love,jobs@nathanlove.com,r-7292376299314913111
2026-09-02,na,Moonbug Entertainment,hr@moonbug.com,r-771770449452373154
2026-09-02,na,Hidden Path Entertainment,jobs@hiddenpath.com,r-145326991467601742
2026-09-02,na,Playful Studios,hiring@playfulstudios.com,r7816928722310240762
2026-09-02,na,Young Horses,jobs@younghorsesgames.com,r-6764269143794474895
2026-09-02,na,Sans Strings Studio,talent@sansstrings.studio,r-2351719692129882355
2026-09-02,na,Sunblink Entertainment,info@sunblink.com,r5652882078468081957
2026-09-02,na,Aggro Crab,contact@aggrocrab.com,r-1472079531739281802
2026-09-02,na,Singularity 6,hello@singularity6.com,r-3807812001003962560
2026-09-02,na,Panache Digital Games,jobs@panachedigitalgames.com,r-2949326695826693354
2026-09-02,na,Blue Isle Studios,jobs@blueislestudios.com,r740181957172071807
2026-09-02,na,Ironroot Games,careers@ironrootgames.com,r5656523865074097333
2026-09-02,na,Drifter Entertainment,jobs@drifter.games,r-5329310537601415769
2026-09-02,na,Other Ocean Interactive,employment@otherocean.com,r5959211043011427166
2026-09-02,na,Uken Games,jobs@uken.com,r1732845169103382642
2026-09-02,na,Hothead Games,contact@hotheadgames.com,r-7556053965084388339
2026-09-02,na,Luma Pictures,recruiting@lumapictures.com,r-1555719432218351804
2026-09-02,na,Tippett Studio,jobs@tippett.com,r2125845430336004635
2026-09-02,na,SHED,info@shedmtl.com,r4148973023229934411
2026-09-02,na,Sword and Wand,careers@swordandwand.com,r-7928575856704254475
2026-09-02,na,Cayplay Studio,jobs@cayplay.com,r3441089529549498675
2026-09-02,na,Ruckus Games,contact@ruckus-games.com,r3046069464157006908
2026-09-02,na,Frima Studio,info@frimastudio.com,r-1644864773032556294
2026-09-02,na,Artifex Animation Studios,jobs@aavfx.com,r1747042034094320628
2026-09-02,na,Noodlecake Studios,careers@noodlecake.com,r5001243910391183837
2026-09-02,oce_asia,Cosmic Dino Studio,hello@cosmicdinostudio.com,r-925927740253675136
2026-09-02,oce_asia,Elysium Studios,info@elysiumstudios.tv,r7801498825981127183
2026-09-02,oce_asia,Kapow Pictures,producer@kapowpictures.com,r-2417314967429357877
2026-09-02,oce_asia,Yukfoo Animation,work@yukfoo.net,r-6794333647290478796
2026-09-02,oce_asia,Hipster Whale,jobs@hipsterwhale.com,r7754703766637827509
2026-09-02,oce_asia,Rising Sun Pictures,recruitment@rsp.com.au,r-5579301546841468421
2026-09-02,oce_asia,Wētā Workshop,recruitment@wetaworkshop.co.nz,r-4927387066980998408
2026-09-02,oce_asia,Wētā FX,recruitment@wetafx.co.nz,r7642113785231384133
2026-09-02,oce_asia,Grinding Gear Games,jobs@grindinggear.com,r4731087655829114622
2026-09-02,oce_asia,Flux Animation Studio,talent@fluxmedia.co.nz,r-3022278295648709349
2026-09-02,oce_asia,Cirkus,work@cirkus.nz,r-4435642062124646169
2026-09-02,oce_asia,Runaway Play,kylie@runawayplay.com,r4763927955243887900
2026-09-02,oce_asia,CerebralFix,info@cerebralfix.com,r-2458436293650198167
2026-09-02,oce_asia,GIANTSTEP,jobs@giantstep.co.kr,r-5032709373722244941
2026-09-02,oce_asia,SHIFT UP,recruit@shiftup.co.kr,r-5288325063703505933
2026-09-02,oce_asia,Pearl Abyss,recruit@pearlabyss.com,r-7211629089419446159
2026-09-02,oce_asia,Devsisters,career@devsisters.com,r3950381943837873308
2026-09-02,oce_asia,HOUND13,hr@hound13.com,r-5826399343896627494
2026-09-02,oce_asia,KOG,KOG@KOG.CO.KR,r-456884340226492649
2026-09-02,oce_asia,Sparky Animation,jobs@sparkyanim.com,r976656915608542801
2026-09-02,oce_asia,Infinite Studios,work@infinitestudios.com.sg,r-2386374173844242597
2026-09-02,oce_asia,Artzee,talents@artzee.sg,r1111934621914356965
2026-09-02,oce_asia,Robot Playground Media,hello@robotplaygroundmedia.com,r5629097114029135932
2026-09-02,r2-eu_west,Bossa Studios,jobs@bossastudios.com,r5817778715899853681
2026-09-02,r2-eu_west,4J Studios,jobs@4jstudios.com,r7728647433097806311
2026-09-02,r2-eu_west,Milk VFX,recruitment@milk-vfx.com,r-5996229280614196459
2026-09-02,r2-eu_west,Freefolk,jobs.ldn@freefolk.com,r7127428478601112278
2026-09-02,r2-eu_west,Flickerpix,jobs@flickerpix.com,r-5261636654026323622
2026-09-02,r2-eu_west,Supamonks,contact@supamonks.com,r3133522855816352545
2026-09-02,r2-eu_south,The Thinklab,info@thethinklab.com,r-5914837260059594527
2026-09-02,r2-eu_south,Mago Production,jobs@magoproduction.com,r8921104895480649808
2026-09-02,r2-eu_south,AAA Game Art Studio,hr@aaagameartstudio.com,r-9177280753647873102
2026-09-02,r2-eu_south,Mundfish,hr@mundfish.com,r-8147633818480011287
2026-09-02,r2-eu_south,IXOR,info@ixorvfx.com,r4446341696063234720
2026-09-02,r2-eu_south,Mascista,info@mascista.com,r-8958723698985601305
2026-09-02,r2-eu_south,Monigotes Estudio,info@monigotestudio.es,r-1111236124846971510
2026-09-02,r2-eu_south,Twin Pines,info@twinpines.es,r7368693051215319043
2026-09-02,r2-eu_south,User T38,jobs@usert38.com,r6415692548481428484
2026-09-02,r2-eu_south,Dibulitoon Studio,dibu@dibulitoon.com,r-7408636062281955432
2026-09-02,r2-eu_south,Red Monk Studio,info@redmonkstudio.com,r8895160516587348418
2026-09-02,r2-eu_south,Proxima Milano,jobs@proximamilano.com,r3933709972863180607
2026-09-02,r2-eu_south,AIM Creative Studios,jobs@aimcreativestudios.com,r9060442107745192029
2026-09-02,r2-eu_south,Tessera Studios,info@tesserastudios.com,r4540402433276428924
2026-09-02,r2-eu_south,Atent Games,contact@atentgames.com,r-2214325918685953057
2026-09-02,r2-eu_north,Lumatic,info@lumatic.xyz,r3680490780040746821
2026-09-02,r2-eu_north,DAYWALKER Studios,info@daywalker-studios.de,r-8481551679833677836
2026-09-02,r2-na,Artjail,jobs.toronto@artjail.com,r-52390055481563991
2026-09-02,r2-na,Visual Creatures,info@visualcreatures.com,r8415870770916794521
2026-09-02,r2-na,Hybride,cv@hybride.com,r914605254773654367
2026-09-02,r2-na,Day For Nite,contact@dayfornite.com,r5926097842816067668
2026-09-02,r2-na,Playfight,hello@playfight.com,r-5006911009523021988
2026-09-02,r2-na,Reactiv,hiring@getreactiv.com,r-5615558599318181139
2026-09-02,r2-na,DrinkBox Studios,jobs@drinkboxstudios.com,r-4421947573735260440
2026-09-02,r2-na,Cold Iron Studios,info@coldironstudios.com,r5884633675087685643
2026-09-02,r2-na,13AM Games,contact@13amgames.com,r-966119092160927032
2026-09-02,r2-na,Cut to Bits,info@cuttobits.com,r2183104235023504030
2026-09-02,r2-na,Tic Toc Games,jobs@tictocgames.com,r-1585924039711064696
2026-09-02,r2-na,Siege Camp,jobs@siegecamp.com,r-5197627497329486021
2026-09-02,r2-na,Cyan Worlds,info@cyan.com,r663773628200118165
2026-09-02,r2-na,Look North World,resumes@looknorth.world,r-4646910692133455526
2026-09-02,r2-na,Harebrained Schemes,info@hbs-studios.com,r7395346583225444576
2026-09-02,r2-na,HB Studios,jobs@hb-studios.com,r-2302839800550064092
2026-09-02,r2-na,Bossfight Entertainment,info@bossfightentertainment.com,r-3048996243709975775
2026-09-02,r2-na,Babaroga,contact@babaroga.com,r8271237025698186257
2026-09-02,r2-na,HiFi 3D,staffing@hifi3d.com,r7148628366667139224
2026-09-02,r2-na,The Juggernaut,contact@thejuggernaut.ca,r-1273399724860348078
2026-09-02,r2-na,Red Meat Games,meat@redmeatgames.ca,r8404726354635312925
2026-09-02,r2-eu_north,Cinemotion,info@cinemotion.bg,r4916364498240297540
2026-09-02,r2-eu_north,CAOZ,info@caoz.com,r-2275109179994952640
2026-09-02,r2-eu_north,Krillbite Studio,application@krillbite.com,r880442733142161762
2026-09-02,r2-eu_north,Jo-Mei Games,info@jo-mei.com,r3516506211202449739
2026-09-02,r2-eu_north,Digital Rain Studios,office@digitalrain.at,r1852620099093988248
2026-09-02,r2-eu_north,Hahn Film,info@hahnfilm.com,r5599711024617841290
2026-09-02,r2-eu_north,SnowDog Studio,info@snowdogfx.com,r198443193318775956
2026-09-02,r2-eu_north,Rarebyte,jobs@rarebyte.com,r4362638768793289813
2026-09-02,r2-eu_north,Gunzilla Games,job@gunzillagames.com,r-805871223935178340
2026-09-02,r2-eu_north,SEHSUCHT,contact@sehsucht.de,r-7117258447622607244
2026-09-02,r2-eu_north,Polynoid,contact@polynoid.tv,r29448736995271917
2026-09-02,r2-eu_north,NOLABEL,office@nolabel.com.pl,r-6421749896391405774
2026-09-02,r2-eu_north,Badi Badi,hello@badibadi.com,r8339126210510987395
2026-09-02,r2-eu_north,LUGUNDTRUG,jobs@lugundtrug.net,r5477633502619895748
2026-09-02,r2-eu_north,viennaFX,office@vfx.at,r461668978503182651
2026-09-02,r2-eu_north,About Fun,hr@about-fun.com,r-3670846077461726151
2026-09-02,r2-oce_asia,Mirage VFX,jobs@mirage-vfx.com,r-7815392118436100301
2026-09-02,r2-oce_asia,Macrograph,info@macrograph.co.kr,r-9111727062234606793
2026-09-02,r2-oce_asia,Witch Beam,info@witchbeam.com.au,r7757212714224765654
2026-09-02,r2-oce_asia,Divine Studios,hello@divinestudios.io,r-771090743423482784
2026-09-02,r2-oce_asia,Flightless,info@flightless.co.nz,r-7143854861038005365
2026-09-02,r2-oce_asia,Trust Studio,truststudio@truststudio.co.kr,r2301188916909353731
2026-09-02,r2-oce_asia,Resin,production@resin.com.au,r-7562217921116568190
2026-09-02,r2-oce_asia,Alt.VFX,recruitment@altvfx.com,r1622333865402823666
2026-09-02,r2-oce_asia,FIN Design + Effects,careers@findesign.com.au,r-8657290978358034541
2026-09-02,r2-oce_asia,Nabi Studios,hampus@nabistudios.com,r5645485731607998304
2026-09-02,r2-oce_asia,ThunderRoar Studio,enquiry@thunder-roar.com,r3526922120668115887
