nome,pais,site,dominio,token,classe
Acclaim Studios London,United Kingdom,,,acclaimstudioslondon,jogos
Acclaim Studios Teesside,United Kingdom,,,acclaimstudiosteesside,jogos
Accolade,United States,,,accolade,jogos
Aces Studio,,,,acesstudio,jogos
Acheron Design,Australia,http://acherondesign.com/,acherondesign.com,acherondesign,jogos
Acid Nerve,United Kingdom,https://www.acidnerve.com/,acidnerve.com,acidnerve,jogos
Acid Software,New Zealand,http://acid.co.nz,acid.co.nz,acidsoftware,jogos
Ackk Studios,United States,https://www.ackkstudios.com/,ackkstudios.com,ackkstudios,jogos
Acme Gamestudio,,,,acmegamestudio,jogos
Acornsoft,United Kingdom,http://acornsoft.co.uk/,acornsoft.co.uk,acornsoft,jogos
Acram Digital,Poland,https://acram.eu/,acram.eu,acramdigital,jogos
Acronym,Canada,http://www.acronymonline.com,acronymonline.com,acronym,jogos
Acrued Insolence,,,,acruedinsolence,jogos
Action Button Entertainment,United States,http://www.actionbutton.com/,actionbutton.com,actionbuttonentertainment,jogos
Action Forms,Ukraine,,,actionforms,jogos
Action Graphics,United States,,,actiongraphics,jogos
Action Square,South Korea,https://www.action2quare.com/,action2quare.com,actionsquare,jogos
Active Cues B.V.,Netherlands,,,activecuesbv,jogos
Active Enterprises,,,,activeenterprises,jogos
Actos Games,United States,http://actosgames.com/,actosgames.com,actosgames,jogos
Actress,,,,actress,jogos
Actual Humans,Canada,http://actualhumans.com/,actualhumans.com,actualhumans,jogos
AdHoc Studio,United States,https://www.adhocstudio.com,adhocstudio.com,adhocstudio,jogos
Adage Games,Canada,,,adagegames,jogos
AdamVision Studios,,http://www.adamvisionstudios.com/,adamvisionstudios.com,adamvisionstudios,jogos
Adept Studios GD,,,,adeptstudiosgd,jogos
Adikus,,https://www.adikus.com/,adikus.com,adikus,jogos
Adrenalin Entertainment,United States,,,adrenalinentertainment,jogos
Adria Games,Poland,https://adriagames.com/,adriagames.com,adriagames,jogos
Adriaan de Jongh & Friends,Netherlands,,,adriaandejonghfriends,jogos
Advance Studio Games,,https://advance-games.ru,advance-games.ru,advancestudiogames,jogos
Adventure Soft,United Kingdom,http://www.adventuresoft.com,adventuresoft.com,adventuresoft,jogos
Adventure Works,United States,https://adventure.works/,adventure.works,adventureworks,jogos
Aerie Gaming Studios,United States,,,aeriegamingstudios,jogos
Aerosoft,Germany,http://www.aerosoft.com,aerosoft.com,aerosoft,jogos
Aesir Interactive,Germany,http://aesir-interactive.com/,aesir-interactive.com,aesirinteractive,jogos
Aeternum Game Studios,Spain,,,aeternumgamestudios,jogos
Aether Studios,United States,https://aetherstudios.com,aetherstudios.com,aetherstudios,jogos
Aethon Collective,United States,,,aethoncollective,jogos
Affect,,,,affect,jogos
Affordance Studio,,https://affordancestudio.com/fr/,affordancestudio.com,affordancestudio,jogos
Affray Studios,,https://affraystudios.com/,affraystudios.com,affraystudios,jogos
"AfreecaTV Co., Ltd.",,,,afreecatvcoltd,jogos
Agens,Norway,https://agens.no,agens.no,agens,jogos
Agetec,United States,https://web.archive.org/web/20161206185154/https://www.agetec.com/,web.archive.org,agetec,jogos
Agnaes Software,Germany,https://agnaes.io/,agnaes.io,agnaessoftware,jogos
Agora Games,United States,http://www.agoragames.com,agoragames.com,agoragames,jogos
Ahegames,,http://www.ahegames.com/,ahegames.com,ahegames,jogos
Aidem Media,Poland,http://www.aidemmedia.pl/,aidemmedia.pl,aidemmedia,jogos
Airship Syndicate,United States,http://www.airshipsyndicate.com,airshipsyndicate.com,airshipsyndicate,jogos
Airtight Games,United States,http://www.airtightgames.com/,airtightgames.com,airtightgames,jogos
Akaoni Studio,Spain,http://www.akaonistudio.com,akaonistudio.com,akaonistudio,jogos
Akies Games,United Kingdom,http://www.akies.co.uk/,akies.co.uk,akiesgames,jogos
Alawar Stargaze,,,,alawarstargaze,jogos
Albino Moose Games,United States,https://albinomoosegames.com/about/,albinomoosegames.com,albinomoosegames,jogos
Alcachofa Soft,Spain,http://www.alcachofasoft.com,alcachofasoft.com,alcachofasoft,jogos
Alcatraz Entertainment Software,Austria,,,alcatrazentertainmentsoftware,jogos
Alchemical Works,Germany,https://www.alchemical-works.com/,alchemical-works.com,alchemicalworks,jogos
Alderon Games,Australia,https://alderongames.com,alderongames.com,alderongames,jogos
Aldorlea Games,,https://www.aldorlea.org/,aldorlea.org,aldorleagames,jogos
Alekstudio,,,,alekstudio,jogos
Algomedia Studio,,,,algomediastudio,jogos
Alice & Smith,Canada,http://aliceetsmith.com,aliceetsmith.com,alicesmith,jogos
Alien Pixel Studios,Romania,,,alienpixelstudios,jogos
Alientrap,,http://www.alientrap.org/,alientrap.org,alientrap,jogos
Alike Studio,Spain,https://alikestudio.com/,alikestudio.com,alikestudio,jogos
Alkterios Games,United States,https://www.alkteriosgames.com/,alkteriosgames.com,alkteriosgames,jogos
All Aboard,,,,allaboard,jogos
Allied Kingdoms,United States,,,alliedkingdoms,jogos
Allied's,United States,,,allieds,jogos
Alligator Pit,,,,alligatorpit,jogos
Almost Human,Finland,,,almosthuman,jogos
Aloft Studio,United States,https://www.aloftstudio.com/,aloftstudio.com,aloftstudio,jogos
Alpha Blend Interactive,Germany,,,alphablendinteractive,jogos
Alpha Helix,,,,alphahelix,jogos
Alpha Wave Entertainment,,,,alphawaveentertainment,jogos
AlphaRedux,United States,https://alpha-redux.com/,alpha-redux.com,alpharedux,jogos
AlphaSim,,http://www.alphasim.co.uk/,alphasim.co.uk,alphasim,jogos
Alpine Studios,,,,alpinestudios,jogos
Alt Shift,,http://www.altshift.fr/,altshift.fr,altshift,jogos
Altar Games,,http://www.altargames.com,altargames.com,altargames,jogos
Altari Games,South Korea,,,altarigames,jogos
Alternative Games,,http://www.alternativegames.net/,alternativegames.net,alternativegames,jogos
Alternative Software,United Kingdom,http://alternativesoft.co.uk,alternativesoft.co.uk,alternativesoftware,jogos
"Alzan Studios, LLC",,,,alzanstudiosllc,jogos
Amanita Design,Czech Republic,https://amanita-design.net/,amanita-design.net,amanitadesign,jogos
Amanotes,Singapore,https://amanotes.com/,amanotes.com,amanotes,jogos
Amaze Entertainment,United States,http://www.amazeentertainment.com/,amazeentertainment.com,amazeentertainment,jogos
Amazing Games,,,,amazinggames,jogos
Amazing Studio,France,http://www.amazing.fr/,amazing.fr,amazingstudio,jogos
Ambiera,Austria,https://www.ambiera.com/,ambiera.com,ambiera,jogos
Ambition,,,,ambition,jogos
Ambrosia Software,United States,,,ambrosiasoftware,jogos
Amegami,,,,amegami,jogos
American Game Cartridges,United States,,,americangamecartridges,jogos
American Video Entertainment,United States,,,americanvideoentertainment,jogos
Amfich,,,,amfich,jogos
Amicable Animal,,,,amicableanimal,jogos
Amistech Games,Finland,https://amistech.com/,amistech.com,amistechgames,jogos
Ammobox Studios,,,,ammoboxstudios,jogos
AmnesiaGames,,http://www.AmnesiaGames.cl/,amnesiagames.cl,amnesiagames,jogos
Amuze,Sweden,,,amuze,jogos
Anachronia,,,,anachronia,jogos
Analgesic Productions,,https://analgesic.productions/,analgesic.productions,analgesicproductions,jogos
Anamik Majumdar,,,,anamikmajumdar,jogos
Anarch Entertainment,United States,,,anarchentertainment,jogos
Anarchy Enterprises,United States,http://www.anarchyent.com/,anarchyent.com,anarchyenterprises,jogos
Anate Studio,Ukraine,http://anatestudio.net/,anatestudio.net,anatestudio,jogos
Anawiki Games,,,,anawikigames,jogos
Ancient Forge,Poland,https://ancientforgestudio.com/,ancientforgestudio.com,ancientforge,jogos
Andrade Games,Germany,https://www.andrade-games.com/,andrade-games.com,andradegames,jogos
Andromeda Software,United Kingdom,,,andromedasoftware,jogos
Anduo Games,,https://anduogames.wordpress.com/,anduogames.wordpress.com,anduogames,jogos
Angelsoft,United States,,,angelsoft,jogos
Angry Demon Studio,Sweden,https://angrydemonstudio.com,angrydemonstudio.com,angrydemonstudio,jogos
Angry Mob Games,,,,angrymobgames,jogos
Anic,South Korea,https://www.anic.co.kr/,anic.co.kr,anic,jogos
Anima Project,Spain,,,animaproject,jogos
Animagic,Spain,,,animagic,jogos
Animation F/X,,,,animationfx,jogos
Animation Magic,United States,,,animationmagic,jogos
Animu Game,,http://animugame.com,animugame.com,animugame,jogos
Anino Games,,http://www.aninogames.com/,aninogames.com,aninogames,jogos
Anirog Software,United Kingdom,,,anirogsoftware,jogos
Anisoptera Games,,,,anisopteragames,jogos
Aniware AB,Sweden,,,aniwareab,jogos
Ankama Canada,,,,ankamacanada,jogos
Ankama Games,France,https://www.ankama.com,ankama.com,ankamagames,jogos
Anomalous Games,,,,anomalousgames,jogos
Anomaly Games,Germany,,,anomalygames,jogos
Another Axiom,,https://www.anotheraxiom.com/,anotheraxiom.com,anotheraxiom,jogos
Anshar Studios,Poland,https://ansharstudios.com,ansharstudios.com,ansharstudios,jogos
Ant Software,United States,https://www.antsoftware.com/,antsoftware.com,antsoftware,jogos
Ant Workshop,United Kingdom,https://www.ant-workshop.com/,ant-workshop.com,antworkshop,jogos
Antab Studio,,,,antabstudio,jogos
Antagonist,,,,antagonist,jogos
Antidote Entertainment,Canada,,,antidoteentertainment,jogos
Antimatter Games,United Kingdom,,,antimattergames,jogos
Anvate Games,,,,anvategames,jogos
Ape Law,,,,apelaw,jogos
Ape Marina,Italy,http://apemarina.altervista.org/index.html,apemarina.altervista.org,apemarina,jogos
Apex Computer Productions,United Kingdom,,,apexcomputerproductions,jogos
Apogee Entertainment,,https://www.apogeeent.com,apogeeent.com,apogeeentertainment,jogos
Apogee Software,United States,,,apogeesoftware,jogos
Appeal,Belgium,https://www.appeal-studios.com,appeal-studios.com,appeal,jogos
Appelmoes,Netherlands,https://appelmoes.games/,appelmoes.games,appelmoes,jogos
Apple Cider,,http://apple-cider.co/,apple-cider.co,applecider,jogos
Appy Entertainment,United States,http://www.appyentertainment.com/home.html,appyentertainment.com,appyentertainment,jogos
Apskeppet,,https://apskeppet.se/,apskeppet.se,apskeppet,jogos
Arc Games,United States,https://www.arcgames.com,arcgames.com,arcgames,jogos
ArcAngels,Switzerland,,,arcangels,jogos
Arcade Distillery,,,,arcadedistillery,jogos
Arcade Moon,Slovakia,,,arcademoon,jogos
Arcade Zone,United Kingdom,,,arcadezone,jogos
Arcane Circus,Netherlands,https://arcanecircus.com,arcanecircus.com,arcanecircus,jogos
Arcane Kids,,https://arcanekids.com/,arcanekids.com,arcanekids,jogos
Arcen Games,United States,http://www.arcengames.com/,arcengames.com,arcengames,jogos
Archetype Entertainment,United States,http://www.archetype-entertainment.com,archetype-entertainment.com,archetypeentertainment,jogos
Archetype Interactive,United States,,,archetypeinteractive,jogos
Archimage,United States,https://www.archimage.com/,archimage.com,archimage,jogos
Archive Entertainment,,,,archiveentertainment,jogos
ArenaNet,United States,http://www.arena.net/,arena.net,arenanet,jogos
Argonaut Games,United Kingdom,https://www.argonautgames.com/,argonautgames.com,argonautgames,jogos
Argonica,,,,argonica,jogos
Ariel Jurkowski Games,,https://arielek.com,arielek.com,arieljurkowskigames,jogos
Ariolasoft,Germany,,,ariolasoft,jogos
Arizona,,,,arizona,jogos
Ark Heiral,Germany,,,arkheiral,jogos
Arkane Studios,France,http://www.arkane-studios.com,arkane-studios.com,arkanestudios,jogos
Arkedo Studio,France,http://www.arkedo.com,arkedo.com,arkedostudio,jogos
Arkhouse Telegraph,Lithuania,,,arkhousetelegraph,jogos
Armogaste,,,,armogaste,jogos
Armstrong Powerhouse,,,,armstrongpowerhouse,jogos
Art & Magic,Belgium,,,artmagic,jogos
Art Data Interactive,United States,,,artdatainteractive,jogos
Art Games Studio,Poland,https://art-games.com/,art-games.com,artgamesstudio,jogos
Art in Heart,,,,artinheart,jogos
ArtGame,Hungary,,,artgame,jogos
Artech Digital Entertainment,Canada,,,artechdigitalentertainment,jogos
Artefacts Studio,France,https://www.artefacts-studio.fr,artefacts-studio.fr,artefactsstudio,jogos
Artifex Mundi,Poland,https://www.artifexmundi.com,artifexmundi.com,artifexmundi,jogos
Artifice Studio,,http://artificestudio.com,artificestudio.com,artificestudio,jogos
"Artificial Life, Inc.",,http://www.artificial-life.com/,artificial-life.com,artificiallifeinc,jogos
Artificial Studios,,http://artificialstudios.com/index.php,artificialstudios.com,artificialstudios,jogos
Artisan Studios,Canada,https://www.artisangamestudios.com/,artisangamestudios.com,artisanstudios,jogos
Artix Entertainment,,http://www.artix.com/,artix.com,artixentertainment,jogos
Artless Games,,,,artlessgames,jogos
Artplant,Norway,http://www.artplant.no/,artplant.no,artplant,jogos
Artworx,United States,,,artworx,jogos
Aruma Studios,Spain,https://arumastudios.com/,arumastudios.com,arumastudios,jogos
Arush Entertainment,United States,http://www.3drealms.com/,3drealms.com,arushentertainment,jogos
Arvydas Žemaitis,,,,arvydasemaitis,jogos
Arxel Tribe,,,,arxeltribe,jogos
Ascaron,Germany,http://www.ascaron.com,ascaron.com,ascaron,jogos
Ascendant Studios,United States,https://ascendantstudios.com/,ascendantstudios.com,ascendantstudios,jogos
Ashborne Games,Czech Republic,https://ashbornegames.com/,ashbornegames.com,ashbornegames,jogos
Asobo Studio,France,http://www.asobostudio.com/,asobostudio.com,asobostudio,jogos
Aspyr,United States,http://www.aspyr.com,aspyr.com,aspyr,jogos
Asteroid Base,Canada,,,asteroidbase,jogos
Asteroid Lab,Switzerland,,,asteroidlab,jogos
Astronomic Games,,,,astronomicgames,jogos
Astrosaurus Games,Canada,,,astrosaurusgames,jogos
Astrosnout,,,,astrosnout,jogos
Asylum Square,Germany,https://asylumsquare.com,asylumsquare.com,asylumsquare,jogos
Asymmetric Publications,,http://asymmetric.net/,asymmetric.net,asymmetricpublications,jogos
AtGames,United States,http://www.atgames.net/,atgames.net,atgames,jogos
Atari Games,United States,https://www.atari.com/,atari.com,atarigames,jogos
Atari Interactive,United States,https://atari.com/,atari.com,atariinteractive,jogos
Atari SA,France,https://www.atari.com/,atari.com,atarisa,jogos
"Atari, Inc.",United States,,,atariinc,jogos
Atay Games,United Kingdom,https://ataygames.com,ataygames.com,ataygames,jogos
Atelier 801,France,https://atelier801.com,atelier801.com,atelier801,jogos
Atelier Kaguya,,http://www.a-kaguya.com/,a-kaguya.com,atelierkaguya,jogos
Aterdux Entertainment,,,,aterduxentertainment,jogos
Atmos Games,United States,http://atmosgames.com/,atmosgames.com,atmosgames,jogos
Atom Team,Latvia,,,atomteam,jogos
Atomic Antelope,,http://www.atomicantelope.com/,atomicantelope.com,atomicantelope,jogos
Atomic Games,United States,http://www.atomicgames.com/,atomicgames.com,atomicgames,jogos
Atomic Motion,,,,atomicmotion,jogos
Atomic Planet Entertainment,United Kingdom,,,atomicplanetentertainment,jogos
Atomic Raccoon Studio,France,https://www.atomic-raccoon.com/,atomic-raccoon.com,atomicraccoonstudio,jogos
AtomicTorch Studio,Singapore,https://atomictorch.com/,atomictorch.com,atomictorchstudio,jogos
Atooi,United States,http://www.atooi.com/,atooi.com,atooi,jogos
Attention to Detail,United Kingdom,,,attentiontodetail,jogos
Attic Entertainment Software,Germany,http://www.attic.de/,attic.de,atticentertainmentsoftware,jogos
Atypique Studio,France,https://atypique-studio.fr/,atypique-studio.fr,atypiquestudio,jogos
AudioGaming,France,http://www.audiogaming.net/,audiogaming.net,audiogaming,jogos
Audiogenic,United Kingdom,http://www.audiogenic.com,audiogenic.com,audiogenic,jogos
Audiokinetic,,https://www.audiokinetic.com/,audiokinetic.com,audiokinetic,jogos
Auroch Digital,United Kingdom,https://www.aurochdigital.com/,aurochdigital.com,aurochdigital,jogos
AurumDust,,https://aurumdust.com/,aurumdust.com,aurumdust,jogos
Automata UK,United Kingdom,,,automatauk,jogos
Autumn Moon Entertainment,United States,http://www.amegames.com/,amegames.com,autumnmoonentertainment,jogos
Auxbrain,,http://www.auxbrain.com,auxbrain.com,auxbrain,jogos
Avalanche Software,United States,https://www.avalanchesoftware.com/,avalanchesoftware.com,avalanchesoftware,jogos
Avalanche Studios Group,Sweden,http://avalanchestudios.com,avalanchestudios.com,avalanchestudiosgroup,jogos
Avalon Digital,,,,avalondigital,jogos
Avatar Creations,,,,avatarcreations,jogos
Avatar Reality,United States,http://www.avatar-reality.com/,avatar-reality.com,avatarreality,jogos
Aventurine SA,Greece,http://www.aventurine.gr/,aventurine.gr,aventurinesa,jogos
Aviary Films,United Kingdom,https://www.aviaryfilms.co.uk/,aviaryfilms.co.uk,aviaryfilms,jogos
Aviary Interactive,,https://aviaryinteractive.com/,aviaryinteractive.com,aviaryinteractive,jogos
Awaceb,France,https://www.awaceb.com/,awaceb.com,awaceb,jogos
Awaken Realms,Poland,https://awakenrealms.com/,awakenrealms.com,awakenrealms,jogos
Awe Interactive,United Kingdom,https://www.aweinteractive.com/,aweinteractive.com,aweinteractive,jogos
AweKteaM,Spain,,,awekteam,jogos
Awesome Games Studio,Poland,http://www.awesomegamesstudio.com/,awesomegamesstudio.com,awesomegamesstudio,jogos
Awesome Play,United Kingdom,,,awesomeplay,jogos
AwesomeBlade,,,,awesomeblade,jogos
Awfully Nice Studios,Austria,https://www.awfullynicestudios.com/,awfullynicestudios.com,awfullynicestudios,jogos
Axis Games,United States,,,axisgames,jogos
Axlebolt,,,,axlebolt,jogos
Axlon,,,,axlon,jogos
Axolot Games,Sweden,http://www.axolotgames.com,axolotgames.com,axolotgames,jogos
Ayeah Games,United States,http://AyeahGames.com/,ayeahgames.com,ayeahgames,jogos
Ayelet Studios,,,,ayeletstudios,jogos
Azerion,Netherlands,https://www.azerion.com/,azerion.com,azerion,jogos
"Azeroth, Inc.",United States,,,azerothinc,jogos
B-evil,,,,bevil,jogos
B2B Games,,http://www.b2b-games.com/,b2b-games.com,b2bgames,jogos
BAD MARINES STUDIO SAS,France,https://www.batllecorp.com,batllecorp.com,badmarinesstudiosas,jogos
BGaming,Malta,https://bgaming.com,bgaming.com,bgaming,jogos
BKOM Studios,,https://www.bkomstudios.com,bkomstudios.com,bkomstudios,jogos
BS Studios,,,,bsstudios,jogos
BUG-Studio,,https://bug-studio.net/,bug-studio.net,bugstudio,jogos
Babaroga,United States,http://www.babaroga.com,babaroga.com,babaroga,jogos
Babylon Software,,,,babylonsoftware,jogos
BackGames,,https://sites.google.com/view/backgamesoff/%D0%B3%D0%BB%D0%B0%D0%B2%D0%BD%D0%B0%D1%8F-%D1%81%D1%82%D1%80%D0%B0%D0%BD%D0%B8%D1%86%D0%B0,sites.google.com,backgames,jogos
Backbone Emeryville,United States,,,backboneemeryville,jogos
Backflip Studios,United States,http://www.backflipstudios.com,backflipstudios.com,backflipstudios,jogos
Backwoods Entertainment,Germany,http://www.backwoods-entertainment.com,backwoods-entertainment.com,backwoodsentertainment,jogos
Bad Dream Games,United States,https://www.baddreamgames.com/,baddreamgames.com,baddreamgames,jogos
Bad Robot Games,,https://www.badrobotgames.com/,badrobotgames.com,badrobotgames,jogos
Bad Vices Games,Italy,,,badvicesgames,jogos
"BadFly Interactive, a.s.",,,,badflyinteractiveas,jogos
Badim,,,,badim,jogos
Badland Studio,,,,badlandstudio,jogos
Baggy Cat Entertainment,United Kingdom,https://www.baggycat.com/,baggycat.com,baggycatentertainment,jogos
Bajoum,Sweden,http://bajoum.se/,bajoum.se,bajoum,jogos
Balancing Monkey Games,New Zealand,https://www.balancingmonkeygames.com/,balancingmonkeygames.com,balancingmonkeygames,jogos
Balio Studio,Belgium,https://baliostudio.com/,baliostudio.com,baliostudio,jogos
Baltoro Games,Poland,https://baltorogames.com/,baltorogames.com,baltorogames,jogos
Bamboo Bandit,United States,,,bamboobandit,jogos
BancyCo,,,,bancyco,jogos
Bandai Namco Entertainment Romania,,https://www.bandainamcoent.ro/,bandainamcoent.ro,bandainamcoentertainmentromania,jogos
Bandai Namco Studios Vancouver,,,,bandainamcostudiosvancouver,jogos
Bantam City Games,,https://www.bantamcity.com/,bantamcity.com,bantamcitygames,jogos
Barkers Crest Studio,,,,barkerscreststudio,jogos
Baroque Decay,,https://baroquedecay.com/,baroquedecay.com,baroquedecay,jogos
Barrel Roll Games,,,,barrelrollgames,jogos
Barry McCabe,,,,barrymccabe,jogos
Basenji Apps Limited,Cyprus,https://basenjiapps.com/,basenjiapps.com,basenjiappslimited,jogos
Basilisk Games,United States,http://basiliskgames.com/,basiliskgames.com,basiliskgames,jogos
Batholith Entertainment,,,,batholithentertainment,jogos
