# FILA DE PORTAS DO JHON, refeita em 06/09 depois que o Vini disse "duvido que seja so isso".
# A varredura anterior achava 16 estudios porque procurava UM formato: <form> com campo de
# arquivo E campo type=email na mesma pagina estatica. Esta relê as mesmas 7.978 paginas
# procurando SEIS portas: ATS que a campanha nunca olhou, formulario hospedado em terceiro,
# formulario proprio com upload, motor de formulario no site, mailto de vaga, e pagina que
# fala em candidatura mas monta a porta so em JavaScript.
# Ordenada pela prioridade que o Vini deu em 06/09: Canada anglofono, depois Europa.
# Os 116 dominios de dominios-sem-email.csv ja estao fora.
faixa,porta,dominio,estudio,pais,detalhe
4-pais desconhecido,JS-SO,passion-animation.com,,?,"join,join-us"
4-pais desconhecido,JS-SO,shedmtl.com,,?,jobs
4-pais desconhecido,JS-SO,trixter.de,,?,jobs
4-pais desconhecido,JS-SO,zoicstudios.com,,?,join
4-pais desconhecido,MAILTO,blinkink.co.uk,,?,jobs@blinkink.co.uk
4-pais desconhecido,MAILTO,buck.co,,?,careers@buck.co
4-pais desconhecido,MAILTO,goldenwolf.tv,,?,jobs@goldenwolf.tv
4-pais desconhecido,MOTOR,9story.com,,?,"Contact Form 7,Gravity Forms,WPForms"
4-pais desconhecido,MOTOR,benuts.be,,?,Gravity Forms
4-pais desconhecido,MOTOR,digitaldomain.com,,?,Contact Form 7
4-pais desconhecido,MOTOR,folksvfx.com,,?,Contact Form 7
4-pais desconhecido,MOTOR,frimastudio.com,,?,Contact Form 7
4-pais desconhecido,MOTOR,giantanimation.ie,,?,Contact Form 7
4-pais desconhecido,MOTOR,interferencepattern.com,,?,Contact Form 7
4-pais desconhecido,MOTOR,mrxfx.com,,?,Contact Form 7
4-pais desconhecido,MOTOR,theartery.com,,?,Contact Form 7
4-pais desconhecido,MOTOR,titmouse.net,,?,WPForms
4-pais desconhecido,MOTOR,tonicdna.com,,?,"Caldera,Contact Form 7,Gravity Forms"
4-pais desconhecido,MOTOR,woodblock.tv,,?,Contact Form 7
4-pais desconhecido,MOTOR,yowzaanimation.com,,?,Contact Form 7
4-pais desconhecido,PROPRIO,digitaldimension.com,,?,careers
4-pais desconhecido,PROPRIO,passion-pictures.com,,?,"career,careers,jobs,join,join-us,opportunities,vacancies,work-with-us"
4-pais desconhecido,PROPRIO,prologue.com,,?,"join-us,vacancies"
4-pais desconhecido,PROPRIO,thepitchagency.com,,?,"careers,jobs,join,join-us,opportunities,vacancies,work-with-us"
