nome,pais,token,familia,url,vagas
Gravity Corporation,South Korea,gravity,ashby,https://jobs.ashbyhq.com/gravity,1
Interplay Entertainment,United States,interplay,bamboohr,https://interplay.bamboohr.com/careers,1
Mind's Eye Productions,United Kingdom,mindseye,smartrecruiters,https://jobs.smartrecruiters.com/mindseye,1
Pingo Entertainment,South Korea,pingo,ashby,https://jobs.ashbyhq.com/pingo,1
Uken Games,Canada,uken,bamboohr,https://uken.bamboohr.com/careers,1
Arcana Studio,Canada,arcana,bamboohr,https://arcana.bamboohr.com/careers,0
Bumble Holding Limited,United States,bumble,ashby,https://jobs.ashbyhq.com/bumble,0
NEXON Korea,South Korea,company,greenhouse,https://job-boards.greenhouse.io/company,0
NEXON Korea,South Korea,company,bamboohr,https://company.bamboohr.com/careers,0
Code Headquarters LLC,United States,codehq,bamboohr,https://codehq.bamboohr.com/careers,0
Frontier Developments,United Kingdom,frontier,ashby,https://jobs.ashbyhq.com/frontier,0
Imperia Online JSC,,imperiaonline,teamtailor,https://imperiaonline.teamtailor.com/jobs,0
Klei Entertainment,Canada,klei,bamboohr,https://klei.bamboohr.com/careers,0
Merryweather Media,Singapore,linktree,bamboohr,https://linktree.bamboohr.com/careers,0
London Studio,United Kingdom,playstationlondonstudio,greenhouse,https://job-boards.greenhouse.io/playstationlondonstudio,0
Poppy Works,,poppy,recruitee,https://poppy.recruitee.com/,0
Presto Studios,United States,presto,bamboohr,https://presto.bamboohr.com/careers,0
Red Hook Studios,Canada,redhookgames,bamboohr,https://redhookgames.bamboohr.com/careers,0
Triangle,,route2,greenhouse,https://job-boards.greenhouse.io/route2,0
Revolution Software,United Kingdom,revolution,teamtailor,https://revolution.teamtailor.com/jobs,0
Rotu Entertainment,United States,rotu,bamboohr,https://rotu.bamboohr.com/careers,0
Skybound Games,United States,skybound,bamboohr,https://skybound.bamboohr.com/careers,0
Skydance Animation,United States,skydance,bamboohr,https://skydance.bamboohr.com/careers,0
Smoking Gun Interactive,Canada,smokingguninc,bamboohr,https://smokingguninc.bamboohr.com/careers,0
System Era Softworks,United States,systemera,bamboohr,https://systemera.bamboohr.com/careers,0
"Titmouse, Inc.",United States,titmouse,bamboohr,https://titmouse.bamboohr.com/careers,0
Woodland Games,Poland,woodland,bamboohr,https://woodland.bamboohr.com/careers,0
