slug,http,posicoes,estado,nota
fishlabs,307,0,NAO-E-LOCATARIO,"307 com location: https://personio.com"
flaregames,307,0,NAO-E-LOCATARIO,"307 com location: https://personio.com"
gameforge,307,0,NAO-E-LOCATARIO,"307 com location: https://personio.com"
gentlytroll,307,0,NAO-E-LOCATARIO,"307 com location: https://personio.com"
goodgamestudios,307,0,NAO-E-LOCATARIO,"307 com location: https://personio.com"
grimlore,307,0,NAO-E-LOCATARIO,"307 com location: https://personio.com"
grimloregames,307,0,NAO-E-LOCATARIO,"307 com location: https://personio.com"
handygames,307,0,NAO-E-LOCATARIO,"307 com location: https://personio.com"
infected,307,0,NAO-E-LOCATARIO,"307 com location: https://personio.com"
kalypso,307,0,NAO-E-LOCATARIO,"307 com location: https://personio.com"
kalypsomedia,307,0,NAO-E-LOCATARIO,"307 com location: https://personio.com"
klonk,307,0,NAO-E-LOCATARIO,"307 com location: https://personio.com"
koboldgames,307,0,NAO-E-LOCATARIO,"307 com location: https://personio.com"
kolibrigames,307,0,NAO-E-LOCATARIO,"307 com location: https://personio.com"
luxx,307,0,NAO-E-LOCATARIO,"307 com location: https://personio.com"
maschinenmensch,307,0,NAO-E-LOCATARIO,"307 com location: https://personio.com"
nhb,307,0,NAO-E-LOCATARIO,"307 com location: https://personio.com"
nukklear,307,0,NAO-E-LOCATARIO,"307 com location: https://personio.com"
osmoticstudios,307,0,NAO-E-LOCATARIO,"307 com location: https://personio.com"
paintbucket,307,0,NAO-E-LOCATARIO,"307 com location: https://personio.com"
piranhabytes,307,0,NAO-E-LOCATARIO,"307 com location: https://personio.com"
playagames,307,0,NAO-E-LOCATARIO,"307 com location: https://personio.com"
polycular,307,0,NAO-E-LOCATARIO,"307 com location: https://personio.com"
rarebyte,307,0,NAO-E-LOCATARIO,"307 com location: https://personio.com"
rise,307,0,NAO-E-LOCATARIO,"307 com location: https://personio.com"
rotorfilm,307,0,NAO-E-LOCATARIO,"307 com location: https://personio.com"
sandboxinteractive,307,0,NAO-E-LOCATARIO,"307 com location: https://personio.com"
scopas,307,0,NAO-E-LOCATARIO,"307 com location: https://personio.com"
sehsucht,307,0,NAO-E-LOCATARIO,"307 com location: https://personio.com"
slaughterhouse,307,0,NAO-E-LOCATARIO,"307 com location: https://personio.com"
sproing,307,0,NAO-E-LOCATARIO,"307 com location: https://personio.com"
strayfawn,307,0,NAO-E-LOCATARIO,"307 com location: https://personio.com"
strayfawnstudio,307,0,NAO-E-LOCATARIO,"307 com location: https://personio.com"
studiorakete,307,0,NAO-E-LOCATARIO,"307 com location: https://personio.com"
sunnyatnight,307,0,NAO-E-LOCATARIO,"307 com location: https://personio.com"
thqnordic,307,0,NAO-E-LOCATARIO,"307 com location: https://personio.com"
threegates,307,0,NAO-E-LOCATARIO,"307 com location: https://personio.com"
travian,307,0,NAO-E-LOCATARIO,"307 com location: https://personio.com"
trickstudio,307,0,NAO-E-LOCATARIO,"307 com location: https://personio.com"
twinsails,307,0,NAO-E-LOCATARIO,"307 com location: https://personio.com"
unexpected,307,0,NAO-E-LOCATARIO,"307 com location: https://personio.com"
upjers,307,0,NAO-E-LOCATARIO,"307 com location: https://personio.com"
virtualrepublic,307,0,NAO-E-LOCATARIO,"307 com location: https://personio.com"
wildcard,307,0,NAO-E-LOCATARIO,"307 com location: https://personio.com"
wunderwerk,307,0,NAO-E-LOCATARIO,"307 com location: https://personio.com"
yagerdevelopment,307,0,NAO-E-LOCATARIO,"307 com location: https://personio.com"
zsoftware,307,0,NAO-E-LOCATARIO,"307 com location: https://personio.com"
